roto_name,name,team,date
,Dante Cunningham,SAN ANTONIO SPURS,3
,Jakob Poeltl,SAN ANTONIO SPURS,3
,LaMarcus Aldridge,SAN ANTONIO SPURS,3
,Marco Belinelli,SAN ANTONIO SPURS,3
,Patty Mills,SAN ANTONIO SPURS,3
,Quincy Pondexter,SAN ANTONIO SPURS,3
,Chasson Randle,WASHINGTON WIZARDS,3
,B.J. Johnson,ATLANTA HAWKS,2
,Deyonta Davis,ATLANTA HAWKS,2
,Jaylen Adams,ATLANTA HAWKS,2
,Justin Anderson,ATLANTA HAWKS,2
,Kent Bazemore,ATLANTA HAWKS,2
,Daniel Theis,BOSTON CELTICS,2
,Jaylen Brown,BOSTON CELTICS,2
,Jayson Tatum,BOSTON CELTICS,2
,Kyrie Irving,BOSTON CELTICS,2
,Marcus Morris,BOSTON CELTICS,2
,Marcus Smart,BOSTON CELTICS,2
,Semi Ojeleye,BOSTON CELTICS,2
,Terry Rozier,BOSTON CELTICS,2
,Allen Crabbe,BROOKLYN NETS,2
,D'Angelo Russell,BROOKLYN NETS,2
,DeMarre Carroll,BROOKLYN NETS,2
,Ed Davis,BROOKLYN NETS,2
,Cody Zeller,CHARLOTTE HORNETS,2
,Devonte' Graham,CHARLOTTE HORNETS,2
,Dwayne Bacon,CHARLOTTE HORNETS,2
,Frank Kaminsky,CHARLOTTE HORNETS,2
,Michael Kidd-Gilchrist,CHARLOTTE HORNETS,2
,Nik Stauskas,CLEVELAND CAVALIERS,2
,Brandon Goodwin,DENVER NUGGETS,2
,Gary Harris,DENVER NUGGETS,2
,Paul Millsap,DENVER NUGGETS,2
,Tyler Lydon,DENVER NUGGETS,2
,Khyri Thomas,DETROIT PISTONS,2
,Thon Maker,DETROIT PISTONS,2
,Wayne Ellington,DETROIT PISTONS,2
,Andrew Bogut,GOLDEN STATE WARRIORS,2
,Jordan Bell,GOLDEN STATE WARRIORS,2
,Shaun Livingston,GOLDEN STATE WARRIORS,2
,Austin Rivers,HOUSTON ROCKETS,2
,James Ennis,HOUSTON ROCKETS,2
,Nene Hilario,HOUSTON ROCKETS,2
,Vince Edwards,HOUSTON ROCKETS,2
,Davon Reed,INDIANA PACERS,2
,Avery Bradley,LOS ANGELES CLIPPERS,2
,Boban Marjanovic,LOS ANGELES CLIPPERS,2
,Garrett Temple,LOS ANGELES CLIPPERS,2
,Ivica Zubac,LOS ANGELES CLIPPERS,2
,JaMychal Green,LOS ANGELES CLIPPERS,2
,Landry Shamet,LOS ANGELES CLIPPERS,2
,Garrett Temple,MEMPHIS GRIZZLIES,2
,Ivan Rabb,MEMPHIS GRIZZLIES,2
,JaMychal Green,MEMPHIS GRIZZLIES,2
,Jaren Jackson,MEMPHIS GRIZZLIES,2
,Marc Gasol,MEMPHIS GRIZZLIES,2
,Mike Conley,MEMPHIS GRIZZLIES,2
,Shelvin Mack,MEMPHIS GRIZZLIES,2
,Donte DiVincenzo,MILWAUKEE BUCKS,2
,Tim Frazier,MILWAUKEE BUCKS,2
