slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
johnswe01,Wesley Johnson,SMALL FORWARD,31,WASHINGTON WIZARDS,12,0,157,10,40,6,26,7,10,2,16,7,2,5,6,18
jokicni01,Nikola Jokic,CENTER,23,DENVER NUGGETS,77,77,2414,593,1159,81,259,284,344,220,613,567,102,53,241,215
jonesda03,Damian Jones,CENTER,23,GOLDEN STATE WARRIORS,24,22,410,53,74,0,0,24,37,31,44,28,12,25,16,63
jonesde02,Derrick Jones,SMALL FORWARD,21,MIAMI HEAT,57,14,1088,153,312,28,90,68,113,94,139,36,46,41,42,119
jonesja04,Jalen Jones,SMALL FORWARD,25,CLEVELAND CAVALIERS,16,0,214,26,62,10,28,19,27,11,23,7,9,2,8,27
jonesje01,Jemerrio Jones,SMALL FORWARD,23,LOS ANGELES LAKERS,2,0,7,1,3,0,2,0,0,1,0,0,1,0,0,0
joneste01,Terrence Jones,POWER FORWARD,27,HOUSTON ROCKETS,2,0,5,1,4,0,2,0,1,0,4,0,0,0,1,1
jonesty01,Tyus Jones,POINT GUARD,22,MINNESOTA TIMBERWOLVES,64,19,1432,167,406,39,117,54,65,23,98,292,77,5,46,72
jordade01,DeAndre Jordan,CENTER,30,DALLAS MAVERICKS,50,50,1554,208,323,0,0,135,198,161,525,99,33,53,111,125
jordade01,DeAndre Jordan,CENTER,30,NEW YORK KNICKS,19,19,493,78,123,0,0,51,66,64,152,57,9,20,42,42
josepco01,Cory Joseph,POINT GUARD,27,INDIANA PACERS,79,8,1999,216,524,52,164,28,41,38,231,307,91,21,79,127
kaminfr01,Frank Kaminsky,CENTER,25,CHARLOTTE HORNETS,43,0,650,116,251,43,119,61,84,36,103,55,11,11,36,58
kanteen01,Enes Kanter,CENTER,26,NEW YORK KNICKS,44,23,1128,251,468,7,22,105,129,171,290,84,18,17,79,106
kanteen01,Enes Kanter,CENTER,26,PORTLAND TRAIL BLAZERS,20,5,410,99,172,2,11,44,60,68,94,25,12,9,31,51
kennalu01,Luke Kennard,SHOOTING GUARD,22,DETROIT PISTONS,59,10,1347,211,485,96,246,46,56,11,159,106,25,10,50,84
kiddgmi01,Michael Kidd-Gilchrist,POWER FORWARD,25,CHARLOTTE HORNETS,62,2,1152,155,328,14,44,93,121,88,156,58,31,38,41,154
kingge03,George King,SMALL FORWARD,25,PHOENIX SUNS,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
klebima01,Maxi Kleber,POWER FORWARD,27,DALLAS MAVERICKS,69,17,1461,172,376,75,213,56,70,86,228,68,36,77,51,140
knighbr03,Brandon Knight,POINT GUARD,27,HOUSTON ROCKETS,12,0,118,11,47,5,32,9,11,1,8,9,2,0,5,14
knighbr03,Brandon Knight,POINT GUARD,27,CLEVELAND CAVALIERS,23,22,501,76,174,31,81,11,14,6,32,53,16,1,20,40
knoxke01,Kevin Knox,POWER FORWARD,19,NEW YORK KNICKS,71,53,2032,320,858,119,339,149,203,58,248,74,42,23,108,170
korkmfu01,Furkan Korkmaz,SHOOTING GUARD,21,PHILADELPHIA 76ERS,46,6,654,94,234,46,139,35,42,16,89,51,28,2,25,59
kornelu01,Luke Kornet,POWER FORWARD,23,NEW YORK KNICKS,42,15,662,91,242,62,168,37,44,23,85,45,26,30,22,37
korveky01,Kyle Korver,POWER FORWARD,37,CLEVELAND CAVALIERS,16,0,251,35,76,25,54,13,16,0,29,17,3,2,17,22
korveky01,Kyle Korver,SHOOTING GUARD,37,UTAH JAZZ,54,0,1083,166,407,113,294,47,57,9,124,64,22,10,42,84
koufoko01,Kosta Koufos,CENTER,29,SACRAMENTO KINGS,40,1,474,66,142,0,0,10,23,49,121,35,15,17,24,65
kurucro01,Rodions Kurucs,SMALL FORWARD,20,BROOKLYN NETS,60,43,1226,191,410,54,163,68,87,49,176,47,39,25,75,141
kuzmaky01,Kyle Kuzma,POWER FORWARD,23,LOS ANGELES LAKERS,70,68,2314,496,1087,128,422,188,250,60,322,178,41,26,133,170
labissk01,Skal Labissiere,POWER FORWARD,22,SACRAMENTO KINGS,13,0,113,13,30,4,11,6,11,4,20,6,2,3,7,21
labissk01,Skal Labissiere,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,8,0,23,1,2,0,0,0,2,1,3,4,1,2,2,3
lambje01,Jeremy Lamb,SHOOTING GUARD,26,CHARLOTTE HORNETS,75,55,2136,402,930,105,310,215,242,61,351,158,80,31,78,136
lavinza01,Zach LaVine,SHOOTING GUARD,23,CHICAGO BULLS,63,62,2171,530,1135,120,321,312,375,40,254,283,60,26,215,140
laymaja01,Jake Layman,SMALL FORWARD,24,PORTLAND TRAIL BLAZERS,67,32,1239,202,393,54,170,47,66,56,151,49,29,30,42,107
leaftj01,T.J. Leaf,POWER FORWARD,21,INDIANA PACERS,55,0,458,84,152,8,29,15,26,34,73,21,7,15,12,31
leeco01,Courtney Lee,SHOOTING GUARD,33,NEW YORK KNICKS,12,2,160,21,47,5,16,9,14,6,21,16,8,2,5,13
leeco01,Courtney Lee,SHOOTING GUARD,33,DALLAS MAVERICKS,19,2,201,17,55,6,28,5,7,1,17,11,8,1,7,14
leeda03,Damion Lee,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,27,0,298,41,95,19,51,12,15,7,38,6,10,0,10,26
lemonwa01,Walt Lemon,POINT GUARD,26,CHICAGO BULLS,3,2,91,22,43,0,1,5,8,1,8,19,9,1,5,7
lenal01,Alex Len,CENTER,25,ATLANTA HAWKS,74,28,1457,298,599,64,179,132,199,148,254,77,26,64,96,191
leonaka01,Kawhi Leonard,SMALL FORWARD,27,TORONTO RAPTORS,57,57,1947,533,1078,104,282,355,412,78,345,190,104,23,118,84
leoname01,Meyers Leonard,CENTER,26,PORTLAND TRAIL BLAZERS,59,1,829,124,229,49,109,41,49,45,176,72,13,9,40,99
leuerjo01,Jon Leuer,POWER FORWARD,29,DETROIT PISTONS,40,1,398,65,112,1,11,23,31,27,69,14,12,4,23,60
leverca01,Caris LeVert,SMALL FORWARD,24,BROOKLYN NETS,37,24,989,187,450,43,145,78,112,32,109,144,40,13,65,71
lillada01,Damian Lillard,POINT GUARD,28,PORTLAND TRAIL BLAZERS,77,77,2725,663,1484,229,616,448,492,66,291,530,85,33,206,144
linje01,Jeremy Lin,POINT GUARD,30,ATLANTA HAWKS,51,1,1003,180,386,44,132,142,168,16,103,181,38,7,98,96
linje01,Jeremy Lin,POINT GUARD,30,TORONTO RAPTORS,21,3,404,56,145,11,51,30,38,5,50,45,8,6,23,45
livinsh01,Shaun Livingston,POINT GUARD,33,GOLDEN STATE WARRIORS,61,0,931,105,205,0,2,40,49,40,73,112,30,26,38,69
loftoza01,Zach Lofton,SHOOTING GUARD,26,DETROIT PISTONS,1,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0
looneke01,Kevon Looney,CENTER,22,GOLDEN STATE WARRIORS,75,24,1417,200,320,1,10,65,105,183,217,116,42,53,50,205
lopezbr01,Brook Lopez,CENTER,30,MILWAUKEE BUCKS,78,78,2237,346,757,185,497,108,129,29,345,94,50,171,80,179
lopezro01,Robin Lopez,CENTER,30,CHICAGO BULLS,71,33,1524,289,507,6,26,88,121,135,141,85,11,76,95,122
loveke01,Kevin Love,POWER FORWARD,30,CLEVELAND CAVALIERS,21,21,585,107,279,52,144,103,114,33,202,46,5,5,42,54
lowryky01,Kyle Lowry,POINT GUARD,32,TORONTO RAPTORS,63,63,2135,297,718,155,440,156,188,41,257,548,88,31,177,160
loydjo01,Jordan Loyd,POINT GUARD,25,TORONTO RAPTORS,11,0,47,6,14,3,7,8,10,1,7,6,0,0,2,5
lucaska01,Kalin Lucas,POINT GUARD,29,DETROIT PISTONS,1,0,6,0,1,0,1,2,2,0,3,1,0,0,0,1
luwawti01,Timothe Luwawu-Cabarrot,SMALL FORWARD,23,OKLAHOMA CITY THUNDER,21,1,123,13,43,5,22,4,6,4,14,4,4,1,5,14
luwawti01,Timothe Luwawu-Cabarrot,SMALL FORWARD,23,CHICAGO BULLS,26,4,465,56,142,27,79,19,25,7,58,20,14,6,16,49
lydonty01,Tyler Lydon,POWER FORWARD,22,DENVER NUGGETS,24,0,90,8,17,4,10,1,3,6,11,5,2,0,4,10
lylestr01,Trey Lyles,POWER FORWARD,23,DENVER NUGGETS,63,1,1093,201,483,48,193,81,115,41,196,85,30,23,66,90
machasc01,Scott Machado,POINT GUARD,28,LOS ANGELES LAKERS,4,0,19,4,6,1,1,1,1,0,0,3,1,0,0,2
macksh01,Shelvin Mack,POINT GUARD,28,MEMPHIS GRIZZLIES,53,3,1204,161,389,46,128,53,75,18,84,182,45,4,62,81
macksh01,Shelvin Mack,POINT GUARD,28,CHARLOTTE HORNETS,4,0,42,2,14,0,2,5,9,0,2,1,2,0,4,3
maconda01,Daryl Macon,SHOOTING GUARD,23,DALLAS MAVERICKS,6,0,36,3,11,0,1,0,0,1,2,4,1,0,3,5
macurjp01,J.P. Macura,SHOOTING GUARD,23,CHARLOTTE HORNETS,1,0,14,2,8,0,4,0,0,0,2,2,0,0,0,0
mahinia01,Ian Mahinmi,CENTER,32,WASHINGTON WIZARDS,32,6,453,42,86,1,13,41,60,40,69,24,24,15,20,76
