slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1893,14,20,7,12,10,10,0,5,1,0,2,1,1,38.8
lavinza01,Zach LaVine,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,1766,14,17,5,8,2,5,0,2,1,1,0,0,5,27.8
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,2200,7,13,3,4,7,7,2,6,15,0,0,4,3,26.2
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1780,9,13,0,0,7,7,6,4,5,0,0,2,4,24.8
drumman01,Andre Drummond,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,2122,9,16,0,0,7,12,9,9,0,2,1,2,1,24.7
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1861,7,8,0,1,7,7,0,3,9,0,0,2,2,22.6
greenda02,Danny Green,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1684,6,9,6,8,0,0,1,5,3,3,1,0,2,21.3
loveke01,Kevin Love,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1650,8,17,3,8,2,2,3,8,4,2,2,1,2,21.2
bradlav01,Avery Bradley,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,2345,11,20,5,13,0,0,0,3,1,4,1,1,4,21.1
haywago01,Gordon Hayward,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,1911,9,14,3,4,1,1,1,6,5,2,0,2,2,21.0
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,2212,10,20,1,3,6,7,0,9,5,0,1,1,4,20.9
dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,1618,10,13,0,0,1,3,6,3,1,1,1,1,2,20.8
kanteen01,Enes Kanter,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1378,10,16,0,1,3,3,7,3,0,0,2,2,1,20.6
noelne01,Nerlens Noel,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,LOSS,1685,9,11,0,0,2,4,3,4,4,1,1,1,5,19.9
hoodro01,Rodney Hood,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,1870,8,16,4,9,4,4,0,4,4,1,0,1,1,19.6
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,2028,8,15,0,0,3,3,2,11,5,0,3,2,1,19.6
