slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
rosste01,Terrence Ross,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,2633,16,29,10,17,9,10,3,6,1,1,0,3,4,37.7
crawfja01,Jamal Crawford,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,1919,12,23,5,11,8,8,1,2,11,2,0,1,1,35.3
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,2639,12,17,1,4,7,7,1,13,10,2,1,3,4,34.6
jeffeal01,Al Jefferson,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,2259,15,26,1,1,1,2,3,10,1,0,3,3,2,23.5
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,2364,10,18,0,0,10,13,2,3,2,1,0,0,5,22.9
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1983,12,16,0,0,1,2,3,8,1,1,5,5,2,22.1
knighbr03,Brandon Knight,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,2154,11,15,5,7,0,0,0,4,5,1,1,4,4,21.7
kanteen01,Enes Kanter,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1827,11,13,0,0,2,2,1,4,2,0,0,1,3,20.4
martike02,Kevin Martin,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2472,11,22,6,10,2,4,1,3,2,0,1,0,4,20.3
millspa01,Paul Millsap,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1734,8,14,0,2,4,6,2,6,4,2,0,1,1,19.2
pekovni01,Nikola Pekovic,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2085,9,18,0,0,5,5,3,8,2,0,0,0,2,19.1
augusdj01,D.J. Augustin,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,2631,9,19,6,12,4,6,0,1,3,2,0,2,3,18.7
stephla01,Lance Stephenson,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,2418,10,16,1,2,2,2,2,8,7,1,0,6,4,17.9
