slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
turneev01,Evan Turner,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,1678,2,10,0,0,0,0,2,8,1,1,1,0,3,2.8
collini01,Nick Collison,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,1179,1,4,0,0,0,0,3,1,2,1,1,1,4,2.5
anderch01,Chris Andersen,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1096,1,1,0,0,0,0,0,2,1,0,1,1,1,2.3
bonnema01,Matt Bonner,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1170,2,6,1,4,0,0,0,3,0,0,0,0,1,2.1
hilarne01,Nene Hilario,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1890,3,9,0,0,2,3,1,8,0,1,0,3,4,2.0
smithjr01,J.R. Smith,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,884,3,8,2,3,0,0,0,1,0,0,0,2,1,1.5
arthuda01,Darrell Arthur,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,965,2,7,0,0,0,0,1,2,1,1,1,1,3,1.4
harrial01,Al Harrington,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,304,2,3,1,1,0,0,0,0,0,0,0,2,2,0.9
vasqugr01,Greivis Vasquez,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,617,1,2,0,0,0,2,0,0,3,0,0,1,1,0.9
cookda02,Daequan Cook,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,506,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
howarju01,Juwan Howard,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
haddaha01,Hamed Haddadi,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ilgauzy01,Zydrunas Ilgauskas,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,267,0,1,0,0,0,0,2,0,0,0,0,1,0,-0.3
battito01,Tony Battie,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,280,0,2,0,0,0,0,0,1,0,0,1,0,0,-0.4
houseed01,Eddie House,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,527,0,3,0,1,0,0,1,0,0,1,0,0,2,-1.2
bibbymi01,Mike Bibby,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,267,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.4
willilo02,Lou Williams,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,1270,2,8,0,1,0,1,0,0,0,0,0,2,1,-3.6
