slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
ellismo01,Monta Ellis,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,2492,12,22,3,7,3,4,1,3,9,1,1,2,0,26.6
jeffeal01,Al Jefferson,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2027,13,22,0,0,4,5,0,8,2,1,4,2,2,24.2
butleca01,Caron Butler,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1496,10,14,6,6,3,4,0,3,1,2,1,2,4,23.5
thomais02,Isaiah Thomas,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,2377,10,15,3,7,4,5,0,4,5,1,0,2,2,23.0
salmojo01,John Salmons,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1953,9,12,2,4,3,3,1,5,4,0,0,0,1,22.8
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2124,7,14,0,3,5,5,0,1,9,5,0,2,1,21.2
ilyaser01,Ersan Ilyasova,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1607,9,12,3,3,3,4,0,5,2,0,0,0,2,20.9
ginobma01,Manu Ginobili,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1517,6,12,2,5,6,6,1,4,5,0,0,1,1,18.0
collida01,Darren Collison,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1954,9,13,0,0,0,0,0,5,8,1,0,3,0,17.6
thompja02,Jason Thompson,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1921,8,11,0,0,4,8,3,3,0,1,2,1,3,17.1
duncati01,Tim Duncan,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1717,7,14,0,0,4,4,2,8,2,0,3,1,2,16.5
parketo01,Tony Parker,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1997,10,17,0,1,1,1,0,5,9,0,0,4,1,16.5
garneke01,Kevin Garnett,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,1679,7,13,0,0,2,2,1,11,6,0,0,1,2,16.1
terryja01,Jason Terry,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,1983,7,12,2,4,4,4,1,2,0,1,0,1,1,15.3
princta01,Tayshaun Prince,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2080,8,16,0,2,4,4,0,2,2,0,0,0,0,14.0
crawfja01,Jamal Crawford,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1775,7,16,1,5,4,4,2,2,3,2,0,2,2,13.9
couside01,DeMarcus Cousins,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1868,4,12,0,0,4,4,2,8,10,1,0,2,5,13.0
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1801,4,7,0,0,6,8,0,6,1,0,3,0,4,12.9
brandel01,Elton Brand,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1419,7,11,0,0,0,0,3,7,1,0,0,0,3,12.8
johnsja01,James Johnson,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1316,3,5,1,1,3,3,1,5,3,2,3,3,2,12.3
drumman01,Andre Drummond,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1168,4,4,0,0,0,0,2,5,0,1,2,0,2,11.3
kamanch01,Chris Kaman,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1244,6,12,0,0,1,2,4,5,2,0,0,0,3,11.1
haywago01,Gordon Hayward,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1669,5,15,1,4,5,5,2,3,2,2,0,2,1,10.8
piercpa01,Paul Pierce,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,1524,8,15,4,8,0,0,0,1,3,0,0,3,4,10.5
sullija01,Jared Sullinger,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,1401,2,5,0,0,6,6,2,4,1,1,0,0,3,10.4
favorde01,Derrick Favors,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1722,3,6,0,0,5,6,1,6,3,1,1,2,4,10.3
maxieja01,Jason Maxiell,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1580,5,8,0,0,0,0,3,7,3,0,0,2,1,10.3
monrogr01,Greg Monroe,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1712,6,12,0,0,2,3,4,6,2,0,0,3,2,9.8
splitti01,Tiago Splitter,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1632,4,9,0,0,5,6,1,5,1,2,0,3,0,9.8
tinslja01,Jamaal Tinsley,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1592,3,7,1,3,1,2,0,1,11,2,0,5,0,8.9
fredeji01,Jimmer Fredette,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1348,4,9,2,3,0,0,0,1,5,0,0,0,1,8.7
jacksst02,Stephen Jackson,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1580,2,3,1,2,3,3,0,4,1,0,0,0,0,8.6
villach01,Charlie Villanueva,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1301,4,8,3,7,0,0,0,3,1,1,0,1,0,8.6
