slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
willide01,Deron Williams,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2468,10,20,5,8,9,10,1,3,9,0,0,4,6,25.1
willima02,Marvin Williams,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2296,8,10,0,0,6,6,2,2,0,1,2,0,3,21.4
anthoca01,Carmelo Anthony,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2694,7,19,0,2,12,15,2,9,3,2,0,1,2,20.7
horfoal01,Al Horford,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2423,11,21,1,1,2,2,4,7,2,0,2,1,5,19.4
boozeca01,Carlos Boozer,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2524,12,20,0,0,1,1,3,13,2,0,1,3,4,19.3
millspa01,Paul Millsap,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1947,7,13,0,0,2,4,4,5,3,2,3,0,3,18.2
billuch01,Chauncey Billups,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1702,6,13,2,5,7,8,0,1,4,3,1,2,4,17.1
jennibr01,Brandon Jennings,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,2566,8,20,2,7,7,8,1,3,3,1,1,2,2,16.4
ridnolu01,Luke Ridnour,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1060,5,7,1,1,4,4,0,2,1,4,0,1,0,16.4
martike01,Kenyon Martin,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2073,6,9,0,0,6,8,3,6,2,2,0,3,5,15.6
salmojo01,John Salmons,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,2713,6,17,2,3,5,6,2,4,5,1,1,2,3,13.7
smithjr01,J.R. Smith,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1880,5,9,4,5,3,4,0,1,3,0,0,1,2,12.9
anderch01,Chris Andersen,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1592,3,5,0,0,4,6,2,5,0,0,3,0,3,10.7
smithjo03,Josh Smith,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2229,3,8,0,1,1,1,1,8,4,0,3,0,2,9.8
afflaar01,Arron Afflalo,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1186,5,5,2,2,0,0,0,2,0,0,0,1,2,9.3
ilyaser01,Ersan Ilyasova,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1326,3,5,1,1,0,0,4,3,1,1,0,0,3,8.9
matthwe02,Wesley Matthews,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2363,4,10,1,5,6,8,0,0,1,0,1,2,3,7.0
delfica01,Carlos Delfino,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,2056,2,7,2,5,1,2,1,4,3,0,0,1,1,5.1
johnsjo02,Joe Johnson,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2212,6,16,0,3,1,1,3,3,6,0,0,4,6,5.0
lawsoty01,Ty Lawson,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1178,2,6,1,3,1,1,1,1,3,2,0,2,2,4.9
mbahalu01,Luc Mbah a Moute,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1739,4,8,0,1,1,3,1,4,0,0,0,0,3,4.9
hilarne01,Nene Hilario,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,854,1,2,0,0,0,0,0,1,4,0,0,0,1,3.7
evansma01,Maurice Evans,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,772,2,3,0,0,0,0,1,1,0,1,0,1,1,3.3
milescj01,C.J. Miles,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2135,4,10,1,3,0,0,2,2,1,1,0,3,5,2.3
stackje01,Jerry Stackhouse,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,824,0,3,0,1,5,6,0,2,0,1,0,2,0,2.1
thomaku01,Kurt Thomas,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1277,0,1,0,0,0,0,0,6,3,1,0,1,4,1.6
fesenky01,Kyrylo Fesenko,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1224,1,1,0,0,1,2,2,4,1,0,0,3,3,1.4
petrojo01,Johan Petro,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1185,2,5,0,0,0,0,1,5,1,1,1,3,4,1.3
pachuza01,Zaza Pachulia,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,457,1,1,0,0,1,2,1,2,0,0,0,2,1,1.2
brezepr01,Primoz Brezec,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,178,0,1,0,0,0,0,0,1,0,1,0,0,0,0.6
