slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,2519,14,33,3,13,12,12,0,12,7,3,0,6,2,30.2
marshke01,Kendall Marshall,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2632,6,13,2,7,0,1,0,7,17,1,0,3,1,18.5
kamanch01,Chris Kaman,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2103,7,13,0,0,5,7,3,7,6,0,1,2,2,18.2
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2762,6,8,0,0,2,2,0,5,4,3,2,1,2,17.7
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,2003,6,10,0,0,2,3,3,10,7,0,2,2,4,16.8
fishede01,Derek Fisher,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,1316,4,9,2,7,2,2,0,4,2,3,0,0,1,12.5
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,2152,4,9,0,0,2,2,2,5,2,0,5,0,3,11.9
gibsota01,Taj Gibson,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1856,7,14,0,1,2,3,1,4,2,0,2,1,3,11.1
dunlemi02,Mike Dunleavy,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1896,4,11,3,7,3,3,2,3,1,3,1,2,4,11.0
sefolth01,Thabo Sefolosha,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,1750,3,4,1,2,0,0,1,3,3,3,0,1,1,10.7
willish03,Shawne Williams,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2106,6,16,3,8,0,0,3,6,0,1,2,1,2,10.7
hinriki01,Kirk Hinrich,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1960,3,8,0,2,3,4,1,2,7,1,0,1,2,9.6
garneke01,Kevin Garnett,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1474,2,3,0,0,0,0,1,6,3,3,2,1,3,9.5
lambje01,Jeremy Lamb,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,1327,3,10,2,4,3,4,0,1,3,4,1,0,6,9.5
jacksre01,Reggie Jackson,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,1778,7,15,0,2,2,2,1,4,3,0,0,3,0,9.3
boozeca01,Carlos Boozer,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1655,7,13,0,0,1,1,2,8,0,0,0,2,4,8.9
johnswe01,Wesley Johnson,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2519,8,13,1,2,2,4,0,0,0,1,0,3,5,8.3
blakest01,Steve Blake,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2254,4,10,3,8,2,3,0,6,2,2,0,4,2,7.6
piercpa01,Paul Pierce,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1644,4,11,2,5,5,7,0,3,0,0,1,1,5,6.7
blatcan01,Andray Blatche,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1406,3,9,0,2,2,2,1,0,1,2,0,0,0,6.3
livinsh01,Shaun Livingston,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1540,4,6,0,0,2,4,0,2,1,0,0,1,2,6.1
kirilan01,Andrei Kirilenko,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1283,3,3,1,1,1,3,1,1,0,1,0,2,1,5.9
anderal01,Alan Anderson,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,819,2,5,2,3,0,0,0,1,1,0,0,0,1,3.9
augusdj01,D.J. Augustin,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,1654,1,4,1,3,5,5,0,3,5,0,0,5,3,3.8
hilljo01,Jordan Hill,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1135,4,8,0,0,2,2,0,4,0,0,0,3,1,3.8
willide01,Deron Williams,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,2515,4,14,0,4,5,5,0,4,4,1,1,6,3,3.3
sacrero01,Robert Sacre,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,676,3,4,0,0,0,0,1,3,2,1,0,4,3,3.2
