number,name,position,height,weight,birth_date,experience,college,team
12,Steven Adams,C,7-0,265,"July 20, 1993",R,University of Pittsburgh,OKLAHOMA CITY THUNDER
2,Caron Butler,SF,6-7,228,"March 13, 1980",11,University of Connecticut,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",9,University of Kansas,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",6,University of Texas at Austin,OKLAHOMA CITY THUNDER
6,Derek Fisher,SG,6-1,200,"August 9, 1974",17,University of Arkansas at Little Rock,OKLAHOMA CITY THUNDER
8,Ryan Gomes,SF,6-7,250,"September 1, 1982",7,Providence College,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",4,,OKLAHOMA CITY THUNDER
7,Royal Ivey,SG,6-3,200,"December 20, 1981",9,University of Texas at Austin,OKLAHOMA CITY THUNDER
15,Reggie Jackson,PG,6-3,208,"April 16, 1990",2,Boston College,OKLAHOMA CITY THUNDER
3,Perry Jones,PF,6-11,235,"September 24, 1991",1,Baylor University,OKLAHOMA CITY THUNDER
11,Jeremy Lamb,SG,6-5,185,"May 30, 1992",1,University of Connecticut,OKLAHOMA CITY THUNDER
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",10,,OKLAHOMA CITY THUNDER
21,Andre Roberson,SG,6-7,210,"December 4, 1991",R,University of Colorado,OKLAHOMA CITY THUNDER
25,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",7,,OKLAHOMA CITY THUNDER
22,Mustafa Shakur,PG,6-3,190,"August 18, 1984",1,University of Arizona,OKLAHOMA CITY THUNDER
34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",4,University of Connecticut,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",5,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
14,Reggie Williams,SF,6-6,205,"September 14, 1986",4,Virginia Military Institute,OKLAHOMA CITY THUNDER
12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",7,University of Texas at Austin,PORTLAND TRAIL BLAZERS
5,Will Barton,SG,6-6,190,"January 6, 1991",1,University of Memphis,PORTLAND TRAIL BLAZERS
88,Nicolas Batum,SF,6-8,200,"December 14, 1988",5,,PORTLAND TRAIL BLAZERS
18,Victor Claver,SF,6-9,224,"August 30, 1988",1,,PORTLAND TRAIL BLAZERS
23,Allen Crabbe,SG,6-6,212,"April 9, 1992",R,University of California,PORTLAND TRAIL BLAZERS
19,Joel Freeland,C,6-10,250,"February 7, 1987",1,,PORTLAND TRAIL BLAZERS
11,Meyers Leonard,C,7-1,255,"February 27, 1992",1,University of Illinois at Urbana-Champaign,PORTLAND TRAIL BLAZERS
0,Damian Lillard,PG,6-3,195,"July 15, 1990",1,Weber State University,PORTLAND TRAIL BLAZERS
42,Robin Lopez,C,7-0,275,"April 1, 1988",5,Stanford University,PORTLAND TRAIL BLAZERS
2,Wesley Matthews,SG,6-5,220,"October 14, 1986",4,Marquette University,PORTLAND TRAIL BLAZERS
3,CJ McCollum,SG,6-3,190,"September 19, 1991",R,Lehigh University,PORTLAND TRAIL BLAZERS
41,Thomas Robinson,PF,6-10,237,"March 17, 1991",1,University of Kansas,PORTLAND TRAIL BLAZERS
17,Earl Watson,PG,6-1,195,"June 12, 1979",12,"University of California, Los Angeles",PORTLAND TRAIL BLAZERS
25,Mo Williams,PG,6-1,198,"December 19, 1982",10,University of Alabama,PORTLAND TRAIL BLAZERS
1,Dorell Wright,SF,6-9,205,"December 2, 1985",9,,PORTLAND TRAIL BLAZERS
11,J.J. Barea,PG,6-0,185,"June 26, 1984",7,Northeastern University,MINNESOTA TIMBERWOLVES
13,Corey Brewer,SF,6-9,186,"March 5, 1986",6,University of Florida,MINNESOTA TIMBERWOLVES
10,Chase Budinger,SF,6-7,209,"May 22, 1988",4,University of Arizona,MINNESOTA TIMBERWOLVES
33,Dante Cunningham,PF,6-8,230,"April 22, 1987",4,Villanova University,MINNESOTA TIMBERWOLVES
5,Gorgui Dieng,C,6-11,252,"January 18, 1990",R,University of Louisville,MINNESOTA TIMBERWOLVES
6,Robbie Hummel,SF,6-8,215,"March 8, 1989",R,Purdue University,MINNESOTA TIMBERWOLVES
0,Othyus Jeffers,SG,6-5,200,"August 5, 1985",2,"University of Illinois at Chicago, Robert Morris University (IL)",MINNESOTA TIMBERWOLVES
42,Kevin Love,PF,6-10,251,"September 7, 1988",5,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
23,Kevin Martin,SG,6-7,199,"February 1, 1983",9,Western Carolina University,MINNESOTA TIMBERWOLVES
12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",5,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
15,Shabazz Muhammad,SG,6-6,223,"November 13, 1992",R,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
14,Nikola Pekovic,C,6-11,307,"January 3, 1986",3,,MINNESOTA TIMBERWOLVES
22,A.J. Price,SG,6-2,181,"October 7, 1986",4,University of Connecticut,MINNESOTA TIMBERWOLVES
9,Ricky Rubio,PG,6-4,190,"October 21, 1990",2,,MINNESOTA TIMBERWOLVES
1,Alexey Shved,SG,6-6,190,"December 16, 1988",1,,MINNESOTA TIMBERWOLVES
32,Ronny Turiaf,C,6-10,249,"January 13, 1983",8,Gonzaga University,MINNESOTA TIMBERWOLVES
7,Derrick Williams,PF,6-8,240,"May 25, 1991",2,University of Arizona,MINNESOTA TIMBERWOLVES
00,Darrell Arthur,SF,6-9,235,"March 25, 1988",4,University of Kansas,DENVER NUGGETS
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",5,University of Oregon,DENVER NUGGETS
21,Wilson Chandler,SF,6-9,225,"May 10, 1987",6,DePaul University,DENVER NUGGETS
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",2,Morehead State University,DENVER NUGGETS
94,Evan Fournier,SG,6-7,205,"October 29, 1992",1,,DENVER NUGGETS
4,Randy Foye,SG,6-4,213,"September 24, 1983",7,Villanova University,DENVER NUGGETS
1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",2,University of Texas at Austin,DENVER NUGGETS
7,J.J. Hickson,PF,6-9,242,"September 4, 1988",5,North Carolina State University,DENVER NUGGETS
3,Ty Lawson,PG,5-11,195,"November 3, 1987",4,University of North Carolina,DENVER NUGGETS
34,JaVale McGee,C,7-0,270,"January 19, 1988",5,"University of Nevada, Reno",DENVER NUGGETS
24,Andre Miller,SG,6-3,200,"March 19, 1976",14,University of Utah,DENVER NUGGETS
30,Quincy Miller,PF,6-9,210,"November 18, 1992",1,Baylor University,DENVER NUGGETS
25,Timofey Mozgov,C,7-1,275,"July 16, 1986",3,,DENVER NUGGETS
15,Anthony Randolph,PF,6-10,205,"July 15, 1989",5,Louisiana State University,DENVER NUGGETS
10,Nate Robinson,PG,5-9,180,"May 31, 1984",8,University of Washington,DENVER NUGGETS
24,Jan Vesely,PF,6-11,240,"April 24, 1990",2,,DENVER NUGGETS
11,Andris Biedrins,C,6-11,240,"April 2, 1986",9,,UTAH JAZZ
3,Trey Burke,PG,6-1,175,"November 12, 1992",R,University of Michigan,UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",2,University of Colorado,UTAH JAZZ
21,Ian Clark,SG,6-3,175,"March 7, 1991",R,Belmont University,UTAH JAZZ
