number,name,position,height,weight,birth_date,experience,college,team
6,Arron Afflalo,SG,6-5,210,"October 15, 1985",2,"University of California, Los Angeles",DENVER NUGGETS
30,Malik Allen,PF,6-10,255,"June 27, 1978",8,Villanova University,DENVER NUGGETS
11,Chris Andersen,PF,6-10,245,"July 7, 1978",7,Blinn College,DENVER NUGGETS
15,Carmelo Anthony,SF,6-8,240,"May 29, 1984",6,Syracuse University,DENVER NUGGETS
32,Renaldo Balkman,SF,6-8,208,"July 14, 1984",3,University of South Carolina,DENVER NUGGETS
1,Chauncey Billups,PG,6-3,202,"September 25, 1976",12,University of Colorado,DENVER NUGGETS
25,Anthony Carter,PG,6-1,190,"June 16, 1975",10,University of Hawaii,DENVER NUGGETS
14,Joey Graham,SF,6-7,225,"June 11, 1982",4,"University of Central Florida, Oklahoma State University",DENVER NUGGETS
31,Nene Hilario,C,6-11,250,"September 13, 1982",7,,DENVER NUGGETS
3,Ty Lawson,PG,5-11,195,"November 3, 1987",R,University of North Carolina,DENVER NUGGETS
4,Kenyon Martin,PF,6-9,234,"December 30, 1977",9,University of Cincinnati,DENVER NUGGETS
27,Johan Petro,C,7-0,247,"January 27, 1986",4,,DENVER NUGGETS
5,J.R. Smith,SG,6-6,225,"September 9, 1985",5,,DENVER NUGGETS
5,Carlos Boozer,PF,6-9,258,"November 20, 1981",7,Duke University,UTAH JAZZ
9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",3,University of Arkansas,UTAH JAZZ
44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",2,,UTAH JAZZ
15,Sundiata Gaines,PG,6-1,185,"April 18, 1986",R,University of Georgia,UTAH JAZZ
6,Othyus Jeffers,SG,6-5,200,"August 5, 1985",R,"University of Illinois at Chicago, Robert Morris University (IL)",UTAH JAZZ
47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",8,,UTAH JAZZ
26,Kyle Korver,SG,6-7,212,"March 17, 1981",6,Creighton University,UTAH JAZZ
41,Kosta Koufos,C,7-0,245,"February 24, 1989",1,Ohio State University,UTAH JAZZ
23,Wesley Matthews,SG,6-5,220,"October 14, 1986",R,Marquette University,UTAH JAZZ
3,Eric Maynor,PG,6-3,175,"June 11, 1987",R,Virginia Commonwealth University,UTAH JAZZ
34,C.J. Miles,SF,6-6,220,"March 18, 1987",4,,UTAH JAZZ
24,Paul Millsap,PF,6-8,246,"February 10, 1985",3,Louisiana Tech University,UTAH JAZZ
13,Mehmet Okur,C,6-11,249,"May 26, 1979",7,,UTAH JAZZ
17,Ronnie Price,PG,6-2,190,"June 21, 1983",4,"Nicholls State University, Utah Valley State College",UTAH JAZZ
8,Deron Williams,PG,6-3,200,"June 26, 1984",4,University of Illinois at Urbana-Champaign,UTAH JAZZ
12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",3,University of Texas at Austin,PORTLAND TRAIL BLAZERS
31,Jeff Ayres,C,6-9,240,"April 29, 1987",R,Arizona State University,PORTLAND TRAIL BLAZERS
88,Nicolas Batum,SF,6-8,200,"December 14, 1988",1,,PORTLAND TRAIL BLAZERS
4,Jerryd Bayless,SG,6-3,200,"August 20, 1988",1,University of Arizona,PORTLAND TRAIL BLAZERS
2,Steve Blake,PG,6-3,172,"February 26, 1980",6,University of Maryland,PORTLAND TRAIL BLAZERS
21,Marcus Camby,C,6-11,220,"March 22, 1974",13,University of Massachusetts Amherst,PORTLAND TRAIL BLAZERS
33,Dante Cunningham,PF,6-8,230,"April 22, 1987",R,Villanova University,PORTLAND TRAIL BLAZERS
27,Travis Diener,PG,6-1,175,"March 1, 1982",4,Marquette University,PORTLAND TRAIL BLAZERS
5,Rudy Fernandez,SG,6-6,185,"April 4, 1985",1,,PORTLAND TRAIL BLAZERS
6,Juwan Howard,C,6-9,240,"February 7, 1973",15,University of Michigan,PORTLAND TRAIL BLAZERS
24,Andre Miller,PG,6-3,200,"March 19, 1976",10,University of Utah,PORTLAND TRAIL BLAZERS
8,Patty Mills,PG,6-0,180,"August 11, 1988",R,Saint Mary's College of California,PORTLAND TRAIL BLAZERS
52,Greg Oden,C,7-0,250,"January 22, 1988",1,Ohio State University,PORTLAND TRAIL BLAZERS
25,Travis Outlaw,SF,6-9,210,"September 18, 1984",6,,PORTLAND TRAIL BLAZERS
10,Joel Przybilla,C,7-1,255,"October 10, 1979",9,University of Minnesota,PORTLAND TRAIL BLAZERS
42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",4,Duke University,PORTLAND TRAIL BLAZERS
7,Brandon Roy,SG,6-6,215,"July 23, 1984",3,University of Washington,PORTLAND TRAIL BLAZERS
44,Anthony Tolliver,PF,6-8,250,"June 1, 1985",1,Creighton University,PORTLAND TRAIL BLAZERS
23,Martell Webster,SF,6-7,230,"December 4, 1986",4,,PORTLAND TRAIL BLAZERS
8,Antonio Anderson,SF,6-6,215,"June 5, 1985",R,University of Memphis,OKLAHOMA CITY THUNDER
40,Ryan Bowen,SF,6-7,215,"November 20, 1975",9,University of Iowa,OKLAHOMA CITY THUNDER
4,Nick Collison,C,6-10,255,"October 26, 1980",5,University of Kansas,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",2,University of Texas at Austin,OKLAHOMA CITY THUNDER
22,Jeff Green,PF,6-9,235,"August 28, 1986",2,Georgetown University,OKLAHOMA CITY THUNDER
13,James Harden,SG,6-5,220,"August 26, 1989",R,Arizona State University,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",R,,OKLAHOMA CITY THUNDER
12,Nenad Krstic,C,7-0,240,"July 25, 1983",5,,OKLAHOMA CITY THUNDER
14,Shaun Livingston,PG,6-7,192,"September 11, 1985",4,,OKLAHOMA CITY THUNDER
6,Eric Maynor,PG,6-3,175,"June 11, 1987",R,Virginia Commonwealth University,OKLAHOMA CITY THUNDER
23,Byron Mullens,PF,7-0,275,"February 14, 1989",R,Ohio State University,OKLAHOMA CITY THUNDER
7,Kevin Ollie,PG,6-4,195,"December 27, 1972",12,University of Connecticut,OKLAHOMA CITY THUNDER
2,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",3,,OKLAHOMA CITY THUNDER
36,Etan Thomas,C,6-9,256,"April 1, 1978",7,Syracuse University,OKLAHOMA CITY THUNDER
5,Kyle Weaver,SG,6-6,201,"February 18, 1986",1,Washington State University,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",1,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
3,D.J. White,PF,6-9,251,"August 31, 1986",1,Indiana University,OKLAHOMA CITY THUNDER
29,Mike Wilks,PG,5-10,185,"May 7, 1979",6,Rice University,OKLAHOMA CITY THUNDER
22,Corey Brewer,SG,6-9,186,"March 5, 1986",2,University of Florida,MINNESOTA TIMBERWOLVES
14,Brian Cardinal,PF,6-8,245,"May 2, 1977",9,Purdue University,MINNESOTA TIMBERWOLVES
19,Wayne Ellington,SG,6-5,200,"November 29, 1987",R,University of North Carolina,MINNESOTA TIMBERWOLVES
10,Jonny Flynn,PG,6-0,185,"February 6, 1989",R,Syracuse University,MINNESOTA TIMBERWOLVES
8,Ryan Gomes,SF,6-7,250,"September 1, 1982",4,Providence College,MINNESOTA TIMBERWOLVES
6,Jason Hart,PG,6-3,185,"April 29, 1978",8,Syracuse University,MINNESOTA TIMBERWOLVES
1,Ryan Hollins,C,7-0,240,"October 10, 1984",3,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
15,Nathan Jawai,C,6-10,280,"October 10, 1986",1,Midland College,MINNESOTA TIMBERWOLVES
25,Al Jefferson,C,6-10,289,"January 4, 1985",5,,MINNESOTA TIMBERWOLVES
42,Kevin Love,PF,6-10,251,"September 7, 1988",1,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
31,Darko Milicic,C,7-0,250,"June 20, 1985",6,,MINNESOTA TIMBERWOLVES
11,Sasha Pavlovic,SF,6-8,220,"November 15, 1983",6,,MINNESOTA TIMBERWOLVES
4,Oleksiy Pecherov,C,7-0,232,"December 8, 1985",2,,MINNESOTA TIMBERWOLVES
7,Ramon Sessions,PG,6-3,190,"April 11, 1986",2,"University of Nevada, Reno",MINNESOTA TIMBERWOLVES
29,Alando Tucker,SF,6-6,205,"February 11, 1984",2,University of Wisconsin,MINNESOTA TIMBERWOLVES
3,Damien Wilkins,SF,6-6,225,"January 11, 1980",5,"North Carolina State University, University of Georgia",MINNESOTA TIMBERWOLVES
12,Shannon Brown,SG,6-4,205,"November 29, 1985",3,Michigan State University,LOS ANGELES LAKERS
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",13,,LOS ANGELES LAKERS
17,Andrew Bynum,C,7-0,285,"October 27, 1987",4,,LOS ANGELES LAKERS
1,Jordan Farmar,PG,6-2,180,"November 30, 1986",3,"University of California, Los Angeles",LOS ANGELES LAKERS
