number,name,position,height,weight,birth_date,experience,college,team
12,Steven Adams,C,7-0,265,"July 20, 1993",2,University of Pittsburgh,OKLAHOMA CITY THUNDER
14,D.J. Augustin,PG,6-0,183,"November 10, 1987",7,University of Texas at Austin,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",11,University of Kansas,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",8,University of Texas at Austin,OKLAHOMA CITY THUNDER
6,Randy Foye,SG,6-4,213,"September 24, 1983",9,Villanova University,OKLAHOMA CITY THUNDER
34,Josh Huestis,PF,6-7,230,"December 19, 1991",R,Stanford University,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",6,,OKLAHOMA CITY THUNDER
11,Enes Kanter,C,6-11,250,"May 20, 1992",4,,OKLAHOMA CITY THUNDER
33,Mitch McGary,PF,6-10,255,"June 6, 1992",1,University of Michigan,OKLAHOMA CITY THUNDER
13,Nazr Mohammed,C,6-10,221,"September 5, 1977",17,University of Kentucky,OKLAHOMA CITY THUNDER
2,Anthony Morrow,SG,6-5,210,"September 27, 1985",7,Georgia Institute of Technology,OKLAHOMA CITY THUNDER
6,Steve Novak,PF,6-10,225,"June 13, 1983",9,Marquette University,OKLAHOMA CITY THUNDER
22,Cameron Payne,PG,6-3,190,"August 8, 1994",R,Murray State University,OKLAHOMA CITY THUNDER
21,Andre Roberson,SG,6-7,210,"December 4, 1991",2,University of Colorado,OKLAHOMA CITY THUNDER
5,Kyle Singler,SF,6-8,228,"May 4, 1988",3,Duke University,OKLAHOMA CITY THUNDER
3,Dion Waiters,SG,6-4,215,"December 10, 1991",3,Syracuse University,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",7,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
34,Cliff Alexander,PF,6-8,245,"November 16, 1995",R,University of Kansas,PORTLAND TRAIL BLAZERS
8,Al-Farouq Aminu,SF,6-9,220,"September 21, 1990",5,Wake Forest University,PORTLAND TRAIL BLAZERS
5,Pat Connaughton,SG,6-4,209,"January 6, 1993",R,University of Notre Dame,PORTLAND TRAIL BLAZERS
23,Allen Crabbe,SG,6-6,212,"April 9, 1992",2,University of California,PORTLAND TRAIL BLAZERS
17,Ed Davis,PF,6-10,225,"June 5, 1989",5,University of North Carolina,PORTLAND TRAIL BLAZERS
10,Tim Frazier,PG,6-1,170,"November 1, 1990",1,Pennsylvania State University,PORTLAND TRAIL BLAZERS
4,Maurice Harkless,SF,6-9,220,"May 11, 1993",3,St. John's University,PORTLAND TRAIL BLAZERS
9,Gerald Henderson,SG,6-5,215,"December 9, 1987",6,Duke University,PORTLAND TRAIL BLAZERS
35,Chris Kaman,C,7-0,265,"April 28, 1982",12,Central Michigan University,PORTLAND TRAIL BLAZERS
11,Meyers Leonard,PF,7-1,255,"February 27, 1992",3,University of Illinois at Urbana-Champaign,PORTLAND TRAIL BLAZERS
0,Damian Lillard,PG,6-3,195,"July 15, 1990",3,Weber State University,PORTLAND TRAIL BLAZERS
3,CJ McCollum,SG,6-3,190,"September 19, 1991",2,Lehigh University,PORTLAND TRAIL BLAZERS
44,Luis Montero,SG,6-7,185,"April 6, 1993",R,Westchester CC,PORTLAND TRAIL BLAZERS
24,Mason Plumlee,C,6-11,235,"March 5, 1990",2,Duke University,PORTLAND TRAIL BLAZERS
2,Brian Roberts,PG,6-1,173,"December 3, 1985",3,University of Dayton,PORTLAND TRAIL BLAZERS
21,Noah Vonleh,PF,6-9,250,"August 24, 1995",1,Indiana University,PORTLAND TRAIL BLAZERS
33,Trevor Booker,PF,6-8,228,"November 25, 1987",5,Clemson University,UTAH JAZZ
3,Trey Burke,PG,6-1,175,"November 12, 1992",2,University of Michigan,UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",4,University of Colorado,UTAH JAZZ
15,Derrick Favors,PF,6-10,265,"July 15, 1991",5,Georgia Institute of Technology,UTAH JAZZ
27,Rudy Gobert,C,7-1,245,"June 26, 1992",2,,UTAH JAZZ
18,Erick Green,PG,6-4,185,"May 9, 1991",1,Virginia Polytechnic Institute and State University,UTAH JAZZ
20,Gordon Hayward,SF,6-8,225,"March 23, 1990",5,Butler University,UTAH JAZZ
5,Rodney Hood,SG,6-8,206,"October 20, 1992",1,"Mississippi State University, Duke University",UTAH JAZZ
2,Joe Ingles,SF,6-8,226,"October 2, 1987",1,,UTAH JAZZ
23,Chris Johnson,SF,6-6,206,"April 29, 1990",3,University of Dayton,UTAH JAZZ
