number,name,position,height,weight,birth_date,experience,college,team
45,Cole Aldrich,C,6-11,250,"October 31, 1988",1,University of Kansas,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",7,University of Kansas,OKLAHOMA CITY THUNDER
14,Daequan Cook,SG,6-5,205,"April 28, 1987",4,Ohio State University,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",4,University of Texas at Austin,OKLAHOMA CITY THUNDER
37,Derek Fisher,PG,6-1,200,"August 9, 1974",15,University of Arkansas at Little Rock,OKLAHOMA CITY THUNDER
13,James Harden,SG,6-5,220,"August 26, 1989",2,Arizona State University,OKLAHOMA CITY THUNDER
11,Lazar Hayward,SF,6-6,225,"November 26, 1986",1,Marquette University,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",2,,OKLAHOMA CITY THUNDER
7,Royal Ivey,SG,6-3,200,"December 20, 1981",7,University of Texas at Austin,OKLAHOMA CITY THUNDER
15,Reggie Jackson,PG,6-3,208,"April 16, 1990",R,Boston College,OKLAHOMA CITY THUNDER
6,Eric Maynor,PG,6-3,175,"June 11, 1987",2,Virginia Commonwealth University,OKLAHOMA CITY THUNDER
8,Nazr Mohammed,C,6-10,221,"September 5, 1977",13,University of Kentucky,OKLAHOMA CITY THUNDER
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",8,,OKLAHOMA CITY THUNDER
33,Ryan Reid,PF,6-8,232,"October 30, 1986",R,Florida State University,OKLAHOMA CITY THUNDER
2,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",5,,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",3,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
6,Arron Afflalo,SG,6-5,210,"October 15, 1985",4,"University of California, Los Angeles",DENVER NUGGETS
11,Chris Andersen,C,6-10,245,"July 7, 1978",9,Blinn College,DENVER NUGGETS
13,Corey Brewer,SF,6-9,186,"March 5, 1986",4,University of Florida,DENVER NUGGETS
0,DeMarre Carroll,PF,6-8,215,"July 27, 1986",2,"Vanderbilt University, University of Missouri",DENVER NUGGETS
21,Wilson Chandler,SF,6-9,225,"May 10, 1987",4,DePaul University,DENVER NUGGETS
35,Kenneth Faried,PF,6-8,220,"November 19, 1989",R,Morehead State University,DENVER NUGGETS
5,Rudy Fernandez,SG,6-6,185,"April 4, 1985",3,,DENVER NUGGETS
8,Danilo Gallinari,SF,6-10,225,"August 8, 1988",3,,DENVER NUGGETS
1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",R,University of Texas at Austin,DENVER NUGGETS
7,Al Harrington,PF,6-9,230,"February 17, 1980",13,,DENVER NUGGETS
31,Nene Hilario,C,6-11,250,"September 13, 1982",9,,DENVER NUGGETS
41,Kosta Koufos,C,7-0,245,"February 24, 1989",3,Ohio State University,DENVER NUGGETS
3,Ty Lawson,PG,5-11,195,"November 3, 1987",2,University of North Carolina,DENVER NUGGETS
34,JaVale McGee,C,7-0,270,"January 19, 1988",3,"University of Nevada, Reno",DENVER NUGGETS
24,Andre Miller,SG,6-3,200,"March 19, 1976",12,University of Utah,DENVER NUGGETS
25,Timofey Mozgov,C,7-1,275,"July 16, 1986",1,,DENVER NUGGETS
10,Julyan Stone,SG,6-6,200,"December 7, 1988",R,University of Texas at El Paso,DENVER NUGGETS
2,Blake Ahearn,PG,6-2,190,"May 27, 1984",2,Missouri State University,UTAH JAZZ
19,Raja Bell,SG,6-5,204,"September 19, 1976",11,"Boston University, Florida International University",UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",R,University of Colorado,UTAH JAZZ
3,DeMarre Carroll,SF,6-8,215,"July 27, 1986",2,"Vanderbilt University, University of Missouri",UTAH JAZZ
40,Jeremy Evans,SF,6-9,200,"October 24, 1987",1,Western Kentucky University,UTAH JAZZ
15,Derrick Favors,PF,6-10,265,"July 15, 1991",1,Georgia Institute of Technology,UTAH JAZZ
5,Devin Harris,PG,6-3,185,"February 27, 1983",7,University of Wisconsin,UTAH JAZZ
20,Gordon Hayward,SF,6-8,225,"March 23, 1990",1,Butler University,UTAH JAZZ
8,Josh Howard,SF,6-7,210,"April 28, 1980",8,Wake Forest University,UTAH JAZZ
25,Al Jefferson,C,6-10,289,"January 4, 1985",7,,UTAH JAZZ
0,Enes Kanter,C,6-11,250,"May 20, 1992",R,,UTAH JAZZ
34,C.J. Miles,SG,6-6,220,"March 18, 1987",6,,UTAH JAZZ
24,Paul Millsap,PF,6-8,246,"February 10, 1985",5,Louisiana Tech University,UTAH JAZZ
6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",8,Iowa State University,UTAH JAZZ
11,Earl Watson,PG,6-1,195,"June 12, 1979",10,"University of California, Los Angeles",UTAH JAZZ
12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",5,University of Texas at Austin,PORTLAND TRAIL BLAZERS
8,Luke Babbitt,SF,6-9,225,"June 20, 1989",1,"University of Nevada, Reno",PORTLAND TRAIL BLAZERS
88,Nicolas Batum,SF,6-8,200,"December 14, 1988",3,,PORTLAND TRAIL BLAZERS
23,Marcus Camby,C,6-11,220,"March 22, 1974",15,University of Massachusetts Amherst,PORTLAND TRAIL BLAZERS
11,Jamal Crawford,PG,6-5,185,"March 20, 1980",11,University of Michigan,PORTLAND TRAIL BLAZERS
5,Raymond Felton,PG,6-1,205,"June 26, 1984",6,University of North Carolina,PORTLAND TRAIL BLAZERS
3,Jonny Flynn,PG,6-0,185,"February 6, 1989",2,Syracuse University,PORTLAND TRAIL BLAZERS
21,J.J. Hickson,PF,6-9,242,"September 4, 1988",3,North Carolina State University,PORTLAND TRAIL BLAZERS
1,Armon Johnson,PG,6-3,195,"February 23, 1989",1,"University of Nevada, Reno",PORTLAND TRAIL BLAZERS
17,Chris Johnson,C,6-11,210,"July 15, 1985",1,Louisiana State University,PORTLAND TRAIL BLAZERS
2,Wesley Matthews,SG,6-5,220,"October 14, 1986",2,Marquette University,PORTLAND TRAIL BLAZERS
10,Joel Przybilla,C,7-1,255,"October 10, 1979",11,University of Minnesota,PORTLAND TRAIL BLAZERS
83,Craig Smith,PF,6-7,250,"November 10, 1983",5,Boston College,PORTLAND TRAIL BLAZERS
4,Nolan Smith,PG,6-2,185,"July 25, 1988",R,Duke University,PORTLAND TRAIL BLAZERS
34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",2,University of Connecticut,PORTLAND TRAIL BLAZERS
40,Kurt Thomas,C,6-9,230,"October 4, 1972",16,Texas Christian University,PORTLAND TRAIL BLAZERS
3,Gerald Wallace,SF,6-7,215,"July 23, 1982",10,University of Alabama,PORTLAND TRAIL BLAZERS
9,Elliot Williams,SG,6-5,190,"June 20, 1989",R,"Duke University, University of Memphis",PORTLAND TRAIL BLAZERS
11,J.J. Barea,PG,6-0,185,"June 26, 1984",5,Northeastern University,MINNESOTA TIMBERWOLVES
8,Michael Beasley,SF,6-9,235,"January 9, 1989",3,Kansas State University,MINNESOTA TIMBERWOLVES
22,Wayne Ellington,SG,6-5,200,"November 29, 1987",2,University of North Carolina,MINNESOTA TIMBERWOLVES
4,Wesley Johnson,SF,6-7,215,"July 11, 1987",1,"Iowa State University, Syracuse University",MINNESOTA TIMBERWOLVES
3,Malcolm Lee,SG,6-5,200,"May 22, 1990",R,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
42,Kevin Love,PF,6-10,251,"September 7, 1988",3,"University of California, Los Angeles",MINNESOTA TIMBERWOLVES
31,Darko Milicic,C,7-0,250,"June 20, 1985",8,,MINNESOTA TIMBERWOLVES
52,Brad Miller,C,6-11,244,"April 12, 1976",13,Purdue University,MINNESOTA TIMBERWOLVES
14,Nikola Pekovic,C,6-11,307,"January 3, 1986",1,,MINNESOTA TIMBERWOLVES
15,Anthony Randolph,PF,6-10,205,"July 15, 1989",3,Louisiana State University,MINNESOTA TIMBERWOLVES
13,Luke Ridnour,SG,6-2,175,"February 13, 1981",8,University of Oregon,MINNESOTA TIMBERWOLVES
9,Ricky Rubio,PG,6-4,190,"October 21, 1990",R,,MINNESOTA TIMBERWOLVES
44,Anthony Tolliver,SF,6-8,250,"June 1, 1985",3,Creighton University,MINNESOTA TIMBERWOLVES
5,Martell Webster,SF,6-7,230,"December 4, 1986",6,,MINNESOTA TIMBERWOLVES
7,Derrick Williams,PF,6-8,240,"May 25, 1991",R,University of Arizona,MINNESOTA TIMBERWOLVES
9,Matt Barnes,SF,6-7,226,"March 9, 1980",8,"University of California, Los Angeles",LOS ANGELES LAKERS
5,Steve Blake,PG,6-3,172,"February 26, 1980",8,University of Maryland,LOS ANGELES LAKERS
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",15,,LOS ANGELES LAKERS
17,Andrew Bynum,C,7-0,285,"October 27, 1987",6,,LOS ANGELES LAKERS
3,Devin Ebanks,SG,6-9,215,"October 28, 1989",1,West Virginia University,LOS ANGELES LAKERS
88,Christian Eyenga,SF,6-5,210,"June 22, 1989",1,,LOS ANGELES LAKERS
2,Derek Fisher,PG,6-1,200,"August 9, 1974",15,University of Arkansas at Little Rock,LOS ANGELES LAKERS
16,Pau Gasol,PF,7-0,250,"July 6, 1980",10,,LOS ANGELES LAKERS
0,Andrew Goudelock,SG,6-3,200,"December 7, 1988",R,College of Charleston,LOS ANGELES LAKERS
27,Jordan Hill,C,6-10,235,"July 27, 1987",2,University of Arizona,LOS ANGELES LAKERS
28,Jason Kapono,SG,6-8,213,"February 4, 1981",8,"University of California, Los Angeles",LOS ANGELES LAKERS
6,Josh McRoberts,PF,6-10,240,"February 28, 1987",4,Duke University,LOS ANGELES LAKERS
1,Darius Morris,PG,6-4,190,"January 3, 1991",R,University of Michigan,LOS ANGELES LAKERS
14,Troy Murphy,PF,6-11,245,"May 2, 1980",10,University of Notre Dame,LOS ANGELES LAKERS
7,Ramon Sessions,PG,6-3,190,"April 11, 1986",4,"University of Nevada, Reno",LOS ANGELES LAKERS
4,Luke Walton,SF,6-8,235,"March 28, 1980",8,University of Arizona,LOS ANGELES LAKERS
15,Metta World Peace,SF,6-6,260,"November 13, 1979",12,St. John's University,LOS ANGELES LAKERS
1,Chauncey Billups,SG,6-3,202,"September 25, 1976",14,University of Colorado,LOS ANGELES CLIPPERS
12,Eric Bledsoe,PG,6-1,205,"December 9, 1989",1,University of Kentucky,LOS ANGELES CLIPPERS
5,Caron Butler,SF,6-7,228,"March 13, 1980",9,University of Connecticut,LOS ANGELES CLIPPERS
34,Brian Cook,PF,6-9,234,"December 4, 1980",8,University of Illinois at Urbana-Champaign,LOS ANGELES CLIPPERS
30,Reggie Evans,PF,6-8,245,"May 18, 1980",9,University of Iowa,LOS ANGELES CLIPPERS
17,Courtney Fortson,PG,5-11,185,"May 23, 1988",R,University of Arkansas,LOS ANGELES CLIPPERS
4,Randy Foye,SG,6-4,213,"September 24, 1983",5,Villanova University,LOS ANGELES CLIPPERS
15,Ryan Gomes,SF,6-7,250,"September 1, 1982",6,Providence College,LOS ANGELES CLIPPERS
32,Blake Griffin,PF,6-10,250,"March 16, 1989",1,University of Oklahoma,LOS ANGELES CLIPPERS
21,Solomon Jones,PF,6-10,230,"July 16, 1984",5,University of South Florida,LOS ANGELES CLIPPERS
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",3,Texas A&M University,LOS ANGELES CLIPPERS
23,Travis Leslie,SG,6-4,205,"March 29, 1990",R,University of Georgia,LOS ANGELES CLIPPERS
2,Kenyon Martin,PF,6-9,234,"December 30, 1977",11,University of Cincinnati,LOS ANGELES CLIPPERS
3,Chris Paul,PG,6-0,175,"May 6, 1985",6,Wake Forest University,LOS ANGELES CLIPPERS
21,Bobby Simmons,SF,6-7,210,"June 2, 1980",9,DePaul University,LOS ANGELES CLIPPERS
33,Trey Thompkins,C,6-10,245,"May 20, 1990",R,University of Georgia,LOS ANGELES CLIPPERS
25,Mo Williams,SG,6-1,198,"December 19, 1982",8,University of Alabama,LOS ANGELES CLIPPERS
11,Nick Young,SG,6-7,210,"June 1, 1985",4,University of Southern California,LOS ANGELES CLIPPERS
26,Shannon Brown,SG,6-4,205,"November 29, 1985",5,Michigan State University,PHOENIX SUNS
1,Josh Childress,SF,6-8,210,"June 20, 1983",5,Stanford University,PHOENIX SUNS
3,Jared Dudley,SG,6-7,237,"July 10, 1985",4,Boston College,PHOENIX SUNS
8,Channing Frye,PF,7-0,255,"May 17, 1983",6,University of Arizona,PHOENIX SUNS
4,Marcin Gortat,C,6-11,240,"February 17, 1984",4,,PHOENIX SUNS
33,Grant Hill,SF,6-8,225,"October 5, 1972",16,Duke University,PHOENIX SUNS
15,Robin Lopez,C,7-0,275,"April 1, 1988",3,Stanford University,PHOENIX SUNS
11,Markieff Morris,PF,6-10,245,"September 2, 1989",R,University of Kansas,PHOENIX SUNS
13,Steve Nash,PG,6-3,195,"February 7, 1974",15,Santa Clara University,PHOENIX SUNS
