number,name,position,height,weight,birth_date,experience,college,team
4,Arron Afflalo,SG,6-5,210,"October 15, 1985",7,"University of California, Los Angeles",PORTLAND TRAIL BLAZERS
12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",8,University of Texas at Austin,PORTLAND TRAIL BLAZERS
5,Will Barton,SG,6-6,190,"January 6, 1991",2,University of Memphis,PORTLAND TRAIL BLAZERS
88,Nicolas Batum,SF,6-8,200,"December 14, 1988",6,,PORTLAND TRAIL BLAZERS
5,Steve Blake,PG,6-3,172,"February 26, 1980",11,University of Maryland,PORTLAND TRAIL BLAZERS
18,Victor Claver,SF,6-9,224,"August 30, 1988",2,,PORTLAND TRAIL BLAZERS
23,Allen Crabbe,SG,6-6,212,"April 9, 1992",1,University of California,PORTLAND TRAIL BLAZERS
10,Tim Frazier,PG,6-1,170,"November 1, 1990",R,Pennsylvania State University,PORTLAND TRAIL BLAZERS
19,Joel Freeland,C,6-10,250,"February 7, 1987",2,,PORTLAND TRAIL BLAZERS
33,Alonzo Gee,SF,6-6,225,"May 29, 1987",5,University of Alabama,PORTLAND TRAIL BLAZERS
35,Chris Kaman,C,7-0,265,"April 28, 1982",11,Central Michigan University,PORTLAND TRAIL BLAZERS
11,Meyers Leonard,C,7-1,255,"February 27, 1992",2,University of Illinois at Urbana-Champaign,PORTLAND TRAIL BLAZERS
0,Damian Lillard,PG,6-3,195,"July 15, 1990",2,Weber State University,PORTLAND TRAIL BLAZERS
42,Robin Lopez,C,7-0,275,"April 1, 1988",6,Stanford University,PORTLAND TRAIL BLAZERS
2,Wesley Matthews,SG,6-5,220,"October 14, 1986",5,Marquette University,PORTLAND TRAIL BLAZERS
3,CJ McCollum,SG,6-3,190,"September 19, 1991",1,Lehigh University,PORTLAND TRAIL BLAZERS
41,Thomas Robinson,PF,6-10,237,"March 17, 1991",2,University of Kansas,PORTLAND TRAIL BLAZERS
1,Dorell Wright,SF,6-9,205,"December 2, 1985",10,,PORTLAND TRAIL BLAZERS
12,Steven Adams,C,7-0,265,"July 20, 1993",1,University of Pittsburgh,OKLAHOMA CITY THUNDER
14,D.J. Augustin,PG,6-0,183,"November 10, 1987",6,University of Texas at Austin,OKLAHOMA CITY THUNDER
4,Nick Collison,PF,6-10,255,"October 26, 1980",10,University of Kansas,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",7,University of Texas at Austin,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",5,,OKLAHOMA CITY THUNDER
15,Reggie Jackson,PG,6-3,208,"April 16, 1990",3,Boston College,OKLAHOMA CITY THUNDER
7,Grant Jerrett,PF,6-10,235,"July 8, 1993",R,University of Arizona,OKLAHOMA CITY THUNDER
3,Perry Jones,SF,6-11,235,"September 24, 1991",2,Baylor University,OKLAHOMA CITY THUNDER
34,Enes Kanter,C,6-11,250,"May 20, 1992",3,,OKLAHOMA CITY THUNDER
11,Jeremy Lamb,SG,6-5,185,"May 30, 1992",2,University of Connecticut,OKLAHOMA CITY THUNDER
33,Mitch McGary,PF,6-10,255,"June 6, 1992",R,University of Michigan,OKLAHOMA CITY THUNDER
2,Anthony Morrow,SG,6-5,210,"September 27, 1985",6,Georgia Institute of Technology,OKLAHOMA CITY THUNDER
6,Steve Novak,PF,6-10,225,"June 13, 1983",8,Marquette University,OKLAHOMA CITY THUNDER
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",11,,OKLAHOMA CITY THUNDER
21,Andre Roberson,SG,6-7,210,"December 4, 1991",1,University of Colorado,OKLAHOMA CITY THUNDER
5,Kyle Singler,SF,6-8,228,"May 4, 1988",2,Duke University,OKLAHOMA CITY THUNDER
8,Ish Smith,PG,6-0,175,"July 5, 1988",4,Wake Forest University,OKLAHOMA CITY THUNDER
31,Sebastian Telfair,PG,6-0,165,"June 9, 1985",9,,OKLAHOMA CITY THUNDER
42,Lance Thomas,SF,6-8,240,"April 24, 1988",3,Duke University,OKLAHOMA CITY THUNDER
23,Dion Waiters,SG,6-4,215,"December 10, 1991",2,Syracuse University,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",6,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
22,Jerrelle Benimon,PF,6-8,245,"August 1, 1991",R,"Georgetown University, Towson University",UTAH JAZZ
33,Trevor Booker,PF,6-8,228,"November 25, 1987",4,Clemson University,UTAH JAZZ
3,Trey Burke,PG,6-1,175,"November 12, 1992",1,University of Michigan,UTAH JAZZ
10,Alec Burks,SG,6-6,214,"July 20, 1991",3,University of Colorado,UTAH JAZZ
19,Patrick Christopher,SG,6-5,209,"June 3, 1988",R,University of California,UTAH JAZZ
21,Ian Clark,SG,6-3,175,"March 7, 1991",1,Belmont University,UTAH JAZZ
45,Jack Cooley,C,6-9,260,"April 4, 1991",R,University of Notre Dame,UTAH JAZZ
8,Bryce Cotton,PG,6-1,165,"August 11, 1992",R,Providence College,UTAH JAZZ
40,Jeremy Evans,SF,6-9,200,"October 24, 1987",4,Western Kentucky University,UTAH JAZZ
11,Dante Exum,PG,6-6,190,"July 13, 1995",R,,UTAH JAZZ
