number,name,position,height,weight,birth_date,experience,college,team
45,Cole Aldrich,C,6-11,250,"October 31, 1988",R,University of Kansas,OKLAHOMA CITY THUNDER
4,Nick Collison,C,6-10,255,"October 26, 1980",6,University of Kansas,OKLAHOMA CITY THUNDER
14,Daequan Cook,SG,6-5,205,"April 28, 1987",3,Ohio State University,OKLAHOMA CITY THUNDER
35,Kevin Durant,SF,6-9,240,"September 29, 1988",3,University of Texas at Austin,OKLAHOMA CITY THUNDER
22,Jeff Green,PF,6-9,235,"August 28, 1986",3,Georgetown University,OKLAHOMA CITY THUNDER
13,James Harden,SG,6-5,220,"August 26, 1989",1,Arizona State University,OKLAHOMA CITY THUNDER
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",1,,OKLAHOMA CITY THUNDER
7,Royal Ivey,SG,6-3,200,"December 20, 1981",6,University of Texas at Austin,OKLAHOMA CITY THUNDER
12,Nenad Krstic,C,7-0,240,"July 25, 1983",6,,OKLAHOMA CITY THUNDER
6,Eric Maynor,PG,6-3,175,"June 11, 1987",1,Virginia Commonwealth University,OKLAHOMA CITY THUNDER
8,Nazr Mohammed,C,6-10,221,"September 5, 1977",12,University of Kentucky,OKLAHOMA CITY THUNDER
23,Byron Mullens,PF,7-0,275,"February 14, 1989",1,Ohio State University,OKLAHOMA CITY THUNDER
5,Kendrick Perkins,C,6-10,270,"November 10, 1984",7,,OKLAHOMA CITY THUNDER
42,Morris Peterson,SG,6-7,218,"August 26, 1977",10,Michigan State University,OKLAHOMA CITY THUNDER
3,Nate Robinson,PG,5-9,180,"May 31, 1984",5,University of Washington,OKLAHOMA CITY THUNDER
2,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",4,,OKLAHOMA CITY THUNDER
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",2,"University of California, Los Angeles",OKLAHOMA CITY THUNDER
3,D.J. White,PF,6-9,251,"August 31, 1986",2,Indiana University,OKLAHOMA CITY THUNDER
6,Arron Afflalo,SG,6-5,210,"October 15, 1985",3,"University of California, Los Angeles",DENVER NUGGETS
11,Chris Andersen,C,6-10,245,"July 7, 1978",8,Blinn College,DENVER NUGGETS
15,Carmelo Anthony,SF,6-8,240,"May 29, 1984",7,Syracuse University,DENVER NUGGETS
32,Renaldo Balkman,SF,6-8,208,"July 14, 1984",4,University of South Carolina,DENVER NUGGETS
1,Chauncey Billups,PG,6-3,202,"September 25, 1976",13,University of Colorado,DENVER NUGGETS
25,Anthony Carter,PG,6-1,190,"June 16, 1975",11,University of Hawaii,DENVER NUGGETS
21,Wilson Chandler,SF,6-9,225,"May 10, 1987",3,DePaul University,DENVER NUGGETS
34,Melvin Ely,C,6-10,260,"May 2, 1978",7,"California State University, Fresno",DENVER NUGGETS
20,Raymond Felton,SG,6-1,205,"June 26, 1984",5,University of North Carolina,DENVER NUGGETS
0,Gary Forbes,SF,6-7,220,"February 25, 1985",R,"University of Virginia, University of Massachusetts Amherst",DENVER NUGGETS
8,Danilo Gallinari,SF,6-10,225,"August 8, 1988",2,,DENVER NUGGETS
7,Al Harrington,PF,6-9,230,"February 17, 1980",12,,DENVER NUGGETS
31,Nene Hilario,C,6-11,250,"September 13, 1982",8,,DENVER NUGGETS
41,Kosta Koufos,C,7-0,245,"February 24, 1989",2,Ohio State University,DENVER NUGGETS
3,Ty Lawson,PG,5-11,195,"November 3, 1987",1,University of North Carolina,DENVER NUGGETS
4,Kenyon Martin,PF,6-9,234,"December 30, 1977",10,University of Cincinnati,DENVER NUGGETS
25,Timofey Mozgov,C,7-1,275,"July 16, 1986",R,,DENVER NUGGETS
5,J.R. Smith,SF,6-6,225,"September 9, 1985",6,,DENVER NUGGETS
23,Shelden Williams,PF,6-9,250,"October 21, 1983",4,Duke University,DENVER NUGGETS
12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",4,University of Texas at Austin,PORTLAND TRAIL BLAZERS
11,Luke Babbitt,SF,6-9,225,"June 20, 1989",R,"University of Nevada, Reno",PORTLAND TRAIL BLAZERS
40,Earl Barron,C,7-0,250,"August 14, 1981",4,University of Memphis,PORTLAND TRAIL BLAZERS
88,Nicolas Batum,SF,6-8,200,"December 14, 1988",2,,PORTLAND TRAIL BLAZERS
23,Marcus Camby,C,6-11,220,"March 22, 1974",14,University of Massachusetts Amherst,PORTLAND TRAIL BLAZERS
31,Jarron Collins,C,6-11,255,"December 2, 1978",9,Stanford University,PORTLAND TRAIL BLAZERS
33,Dante Cunningham,PF,6-8,230,"April 22, 1987",1,Villanova University,PORTLAND TRAIL BLAZERS
5,Rudy Fernandez,SG,6-6,185,"April 4, 1985",2,,PORTLAND TRAIL BLAZERS
1,Armon Johnson,PG,6-3,195,"February 23, 1989",R,"University of Nevada, Reno",PORTLAND TRAIL BLAZERS
17,Chris Johnson,C,6-11,210,"July 15, 1985",R,Louisiana State University,PORTLAND TRAIL BLAZERS
