slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
martike02,Kevin Martin,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,WIN,2010,12,19,3,6,13,14,0,2,2,0,0,1,1,31.7
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,2340,10,12,3,4,8,11,1,14,4,0,1,3,1,30.4
wadedw01,Dwyane Wade,MIAMI HEAT,AWAY,SACRAMENTO KINGS,WIN,2137,15,23,1,2,5,9,3,3,6,1,1,3,2,29.4
bayleje01,Jerryd Bayless,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,2016,10,12,1,2,10,12,0,5,7,1,0,4,2,28.4
willide01,Deron Williams,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2435,12,22,2,4,8,9,2,1,6,2,0,1,4,28.3
wallabe01,Ben Wallace,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,2344,10,13,1,1,2,4,9,5,4,5,0,4,3,27.5
jamisan01,Antawn Jamison,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1985,9,15,3,3,3,3,1,4,2,2,1,0,2,22.3
rosede01,Derrick Rose,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1771,8,10,5,6,0,0,1,2,7,0,1,3,1,20.7
barbole01,Leandro Barbosa,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1628,8,13,3,4,3,3,0,3,7,1,0,2,1,20.5
loveke01,Kevin Love,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,LOSS,1934,9,15,3,5,2,2,3,12,1,1,1,3,2,20.4
stuckro01,Rodney Stuckey,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,2187,8,17,0,2,7,8,0,1,12,1,1,3,3,20.1
crawfja01,Jamal Crawford,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2006,7,16,2,5,9,11,0,3,3,0,1,0,1,19.1
jamesle01,LeBron James,MIAMI HEAT,AWAY,SACRAMENTO KINGS,WIN,2111,10,19,2,3,3,5,1,9,3,2,0,3,1,19.0
smithjo03,Josh Smith,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2082,6,13,0,2,9,10,2,5,4,2,2,4,2,18.2
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,2349,6,11,0,0,5,5,2,6,4,3,2,3,3,17.9
denglu01,Luol Deng,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1771,7,11,2,5,3,3,1,3,3,1,0,1,1,17.4
horfoal01,Al Horford,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2400,7,20,0,0,2,4,3,13,8,2,0,1,0,16.6
dunlemi02,Mike Dunleavy,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,2327,6,8,4,6,0,0,0,9,3,1,2,4,2,15.2
gordoer01,Eric Gordon,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,LOSS,2443,7,15,2,5,9,10,1,1,4,0,0,4,4,15.1
butleca01,Caron Butler,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,2040,6,9,4,5,0,0,0,4,3,2,0,2,1,15.0
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,LOSS,1999,5,9,0,0,0,0,8,6,0,1,4,2,0,14.9
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1672,3,8,0,0,3,6,3,7,3,2,6,1,0,14.9
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,LOSS,2341,9,18,0,0,1,2,3,8,5,1,1,3,4,14.7
bargnan01,Andrea Bargnani,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,2272,8,13,4,6,2,2,0,5,2,0,0,4,2,14.2
millspa01,Paul Millsap,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2115,6,13,0,0,4,6,2,6,2,3,0,0,5,14.1
stevede01,DeShawn Stevenson,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1315,5,9,5,7,2,2,0,1,4,1,0,2,2,14.0
willima01,Mo Williams,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1862,6,13,1,4,5,6,0,2,9,0,0,3,2,14.0
casspom01,Omri Casspi,SACRAMENTO KINGS,HOME,MIAMI HEAT,LOSS,1605,7,13,5,7,1,2,1,2,1,0,0,0,4,13.7
garneke01,Kevin Garnett,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,1406,6,10,0,0,1,2,1,10,1,1,1,0,1,13.7
gibsoda01,Daniel Gibson,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,1903,3,9,2,3,4,4,1,3,3,4,0,0,4,13.0
randoza01,Zach Randolph,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,2402,9,20,0,1,0,0,4,9,2,1,0,1,4,12.9
boshch01,Chris Bosh,MIAMI HEAT,AWAY,SACRAMENTO KINGS,WIN,2158,6,13,0,0,2,2,2,15,2,0,1,2,3,12.1
millebr01,Brad Miller,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,WIN,1841,4,5,1,2,0,0,1,9,4,0,2,2,2,11.9
allenra02,Ray Allen,BOSTON CELTICS,AWAY,CHARLOTTE BOBCATS,WIN,1800,4,11,2,4,6,6,1,5,2,2,0,3,2,11.7
mohamna01,Nazr Mohammed,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,1004,7,11,0,0,0,0,2,3,0,2,2,2,3,11.6
