slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2475,11,16,0,3,6,9,1,3,8,1,0,0,2,27.4
barnema02,Matt Barnes,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2202,11,14,6,7,2,3,1,9,0,1,0,1,4,26.0
allento01,Tony Allen,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1842,5,9,0,0,9,11,4,3,6,4,0,0,3,24.6
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1896,4,7,3,4,12,17,0,4,7,0,0,1,4,21.2
martike02,Kevin Martin,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,2380,7,13,3,5,8,8,0,3,3,1,0,1,3,20.5
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,2593,11,23,3,9,2,2,1,7,6,2,1,4,2,20.2
hardeja01,James Harden,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2604,7,22,4,10,8,11,2,4,7,2,2,4,1,18.7
shumpim01,Iman Shumpert,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2267,6,9,3,3,2,2,3,3,1,2,1,0,3,18.3
randoza01,Zach Randolph,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,2060,8,12,0,0,7,8,1,4,4,0,0,3,5,17.1
parsoch01,Chandler Parsons,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2770,8,14,6,8,3,4,0,7,3,0,0,5,1,16.8
jacksre01,Reggie Jackson,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,2670,7,15,1,6,2,2,1,6,8,1,1,2,3,15.9
hillge01,George Hill,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,2134,7,14,2,5,5,7,1,6,2,2,0,4,3,13.9
westda01,David West,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,2517,9,21,0,0,3,4,0,8,2,0,4,2,1,13.7
horfoal01,Al Horford,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,2516,6,12,0,0,3,4,1,6,3,0,0,0,1,12.8
anthoca01,Carmelo Anthony,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2395,7,23,1,6,6,6,1,6,5,2,1,3,3,12.2
asikom01,Omer Asik,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2444,3,7,0,0,7,12,5,8,0,1,2,2,4,12.0
garneke01,Kevin Garnett,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,2476,7,10,0,0,1,2,1,9,3,2,0,5,3,11.7
chandty01,Tyson Chandler,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2005,4,8,0,0,1,2,9,3,0,1,2,1,4,11.6
collini01,Nick Collison,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,1316,4,8,0,0,2,2,4,5,1,1,1,0,3,11.5
princta01,Tayshaun Prince,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,2464,4,12,0,2,3,4,0,6,5,1,2,0,0,11.5
hibbero01,Roy Hibbert,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,2264,8,14,0,0,1,2,3,8,0,0,2,3,4,11.3
stephla01,Lance Stephenson,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,2035,3,5,1,1,1,2,0,11,6,1,0,2,2,11.0
prigipa01,Pablo Prigioni,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,1405,5,9,4,6,0,0,0,5,3,0,0,2,1,10.9
terryja01,Jason Terry,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,1452,4,6,3,5,3,4,0,4,0,0,0,1,1,10.8
fishede01,Derek Fisher,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,1591,4,6,3,5,0,0,0,4,1,2,0,0,4,10.7
garcifr01,Francisco Garcia,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2205,4,9,3,6,0,0,0,6,5,1,0,0,5,10.6
bradlav01,Avery Bradley,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,1625,4,6,0,0,2,2,1,1,1,3,0,1,3,9.9
bayleje01,Jerryd Bayless,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1423,6,13,3,8,3,3,0,2,3,0,0,3,3,9.8
greenje02,Jeff Green,BOSTON CELTICS,HOME,NEW YORK KNICKS,LOSS,2571,4,12,2,5,11,14,0,5,1,1,0,5,6,8.8
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,2367,4,8,0,0,2,2,0,7,1,1,1,0,5,8.5
korveky01,Kyle Korver,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,2042,3,11,0,7,6,6,0,4,1,0,1,0,2,7.3
harride01,Devin Harris,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,2304,5,14,2,7,2,2,0,4,3,2,0,2,6,7.1
pondequ01,Quincy Pondexter,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1178,3,7,2,5,2,2,1,0,1,1,0,1,2,6.9
