slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2158,11,19,4,6,6,6,1,4,10,2,0,2,3,30.8
hardeja01,James Harden,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2098,9,16,2,7,16,19,1,4,7,0,1,4,4,29.1
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,WIN,2239,11,25,2,5,9,11,1,4,7,3,0,1,4,26.3
gortama01,Marcin Gortat,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2202,12,19,0,0,3,4,4,12,2,1,4,3,2,25.9
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,2106,8,14,0,1,9,9,3,13,2,1,3,2,4,25.3
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,2084,10,19,1,6,3,3,1,5,5,3,0,0,2,22.6
thomala01,Lance Thomas,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1593,9,9,3,3,3,3,1,1,2,1,0,3,0,21.7
vucevni01,Nikola Vucevic,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,2134,13,19,0,0,0,0,2,7,2,0,1,1,2,21.7
haywago01,Gordon Hayward,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,2160,8,16,2,9,6,6,0,3,4,2,1,1,1,21.0
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,WIN,2308,10,24,1,7,3,4,1,8,7,2,2,2,1,19.8
templga01,Garrett Temple,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2509,8,17,5,10,2,2,0,5,3,2,0,0,4,18.3
lopezbr01,Brook Lopez,BROOKLYN NETS,AWAY,CHICAGO BULLS,WIN,2110,8,18,0,0,5,6,3,9,2,2,3,3,3,17.3
butleji01,Jimmy Butler,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,2309,11,20,1,6,1,3,1,2,4,1,1,2,1,17.0
plumlma01,Mason Plumlee,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,1600,3,3,0,0,5,6,3,7,6,1,1,2,2,17.0
lopezro01,Robin Lopez,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,2067,6,6,0,0,0,0,2,6,2,0,2,0,0,16.2
harrito02,Tobias Harris,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,2218,7,14,3,6,3,3,0,3,1,3,0,0,4,16.0
thomais02,Isaiah Thomas,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2086,3,9,0,2,2,2,0,7,12,4,0,1,1,16.0
youngth01,Thaddeus Young,BROOKLYN NETS,AWAY,CHICAGO BULLS,WIN,1871,8,15,0,0,0,0,6,7,2,3,0,3,1,16.0
olynyke01,Kelly Olynyk,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,1727,7,10,3,3,2,4,2,3,1,0,1,1,3,15.5
hilljo01,Jordan Hill,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,1506,7,10,0,0,1,2,5,4,1,0,0,0,1,15.4
schrode01,Dennis Schroder,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1041,7,10,3,4,1,2,0,1,3,1,0,1,1,15.4
crowdja01,Jae Crowder,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,1814,8,13,2,4,0,3,0,10,2,0,2,1,1,15.3
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,WIN,2144,8,13,0,2,1,2,2,6,1,2,0,1,1,15.2
knighbr03,Brandon Knight,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,2118,8,17,2,8,8,8,1,1,2,0,0,3,4,15.1
walljo01,John Wall,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2360,4,15,1,3,3,3,0,2,19,4,0,5,3,14.8
teletmi01,Mirza Teletovic,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1235,5,6,3,4,4,4,0,7,0,0,0,1,3,14.7
couside01,DeMarcus Cousins,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1909,8,22,1,3,5,7,3,5,3,3,1,3,2,14.6
joneste01,Terrence Jones,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,1445,7,11,0,1,3,5,2,4,0,0,2,0,2,14.5
gasolpa01,Pau Gasol,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,1979,8,16,0,0,4,6,2,7,3,0,2,3,2,14.4
favorde01,Derrick Favors,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1957,6,12,0,0,6,8,4,5,2,0,2,3,3,14.1
anthoca01,Carmelo Anthony,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,2377,10,17,2,3,1,2,0,4,6,0,0,5,3,13.9
hoodro01,Rodney Hood,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,2084,3,8,2,4,6,8,0,4,1,3,1,0,2,13.6
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,2033,8,17,1,4,9,10,0,3,0,0,0,3,4,13.2
collida01,Darren Collison,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1853,4,8,1,3,4,5,2,1,8,0,0,2,3,12.7
gibsota01,Taj Gibson,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,1969,5,9,0,0,0,0,6,3,4,0,1,1,2,12.5
lavinza01,Zach LaVine,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,1548,7,12,0,2,3,5,0,3,2,1,0,1,1,12.5
jerebjo01,Jonas Jerebko,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,1502,4,7,3,3,1,2,2,5,3,0,0,1,0,12.3
gayru01,Rudy Gay,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,2044,6,17,0,3,4,5,3,4,0,2,1,0,0,12.1
ellinwa01,Wayne Ellington,BROOKLYN NETS,AWAY,CHICAGO BULLS,WIN,1680,5,9,3,5,0,0,0,4,2,1,0,0,1,11.9
fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,1897,6,14,3,6,1,2,1,5,1,3,0,1,3,11.9
humphkr01,Kris Humphries,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1014,4,7,3,3,4,4,0,1,0,0,1,0,2,11.9
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1671,7,12,1,1,0,0,0,1,4,0,0,0,2,11.7
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1624,4,11,0,0,2,2,3,6,1,3,1,0,2,11.4
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,956,2,4,0,0,0,0,3,5,8,0,2,0,3,11.4
stuckro01,Rodney Stuckey,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,1590,6,11,2,4,2,3,0,4,4,0,0,3,0,11.3
teaguje01,Jeff Teague,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1862,4,12,0,4,5,6,0,2,8,2,0,2,2,11.2
sefolth01,Thabo Sefolosha,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1554,5,6,1,1,2,4,0,6,1,1,0,2,1,11.1
booketr01,Trevor Booker,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1583,4,7,1,1,0,0,5,3,2,2,0,1,4,10.9
dudleja01,Jared Dudley,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2488,5,8,3,5,0,0,0,4,3,1,0,2,2,10.9
davised01,Ed Davis,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,1199,4,4,0,0,0,0,4,4,2,0,0,1,1,10.8
mahinia01,Ian Mahinmi,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,1442,4,6,0,0,1,2,4,7,0,1,1,1,2,10.8
splitti01,Tiago Splitter,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1158,3,4,0,0,2,2,1,2,2,2,0,0,1,10.7
linje01,Jeremy Lin,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1306,4,6,1,3,4,7,1,0,5,0,0,1,5,10.4
sessira01,Ramon Sessions,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1839,7,13,0,1,1,2,0,4,2,0,0,0,2,10.1
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1758,4,10,2,6,2,2,1,6,1,1,0,0,2,10.0
diawbo01,Boris Diaw,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1529,7,9,0,1,0,0,2,6,1,0,0,4,1,10.0
reedwi02,Willie Reed,BROOKLYN NETS,AWAY,CHICAGO BULLS,WIN,770,4,5,0,0,3,3,3,2,0,0,0,1,2,10.0
scottmi01,Mike Scott,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1375,5,9,1,3,2,2,0,1,1,0,1,0,1,10.0
leeda02,David Lee,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,1346,5,11,0,0,3,4,5,3,3,0,1,3,3,9.9
kaminfr01,Frank Kaminsky,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1353,4,8,2,5,2,3,0,5,0,0,1,0,0,9.8
crabbal01,Allen Crabbe,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,1906,8,18,1,5,2,5,1,3,2,0,1,2,1,9.7
harklma01,Maurice Harkless,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,1409,6,10,2,6,0,0,0,3,1,1,0,2,1,9.6
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2022,3,3,0,0,2,4,2,8,0,0,1,1,1,9.4
duncati01,Tim Duncan,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1372,3,6,0,0,1,1,1,4,3,2,2,1,3,9.2
