position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
C,"Hill, Jordan",27,"$4,300",INDIANA PACERS,@ orl, 105-102,16:26,   13pt 10rb 2as 1to 6-10fg 1-2ft
C,"Gobert, Rudy^",26.6,"$7,400",UTAH JAZZ,@ por, 111-115,35:49,   7pt 8rb 2as 5bl 3to 3-8fg 1-4ft
C,"Adams, Steven^",25.3,"$4,300",OKLAHOMA CITY THUNDER,v cle, 92-115,28:27,   9pt 9rb 1as 1st 2bl 2to 4-5fg 1-1ft
C,"Jefferson, Al",24.4,"$5,600",CHARLOTTE HORNETS,@ bkn, 104-96,24:05,   18pt 7rb 2to 9-13fg
C,"Pachulia, Zaza^",22.5,"$5,900",DALLAS MAVERICKS,v phi, 129-103,19:14,   9pt 10rb 1as 1st 2to 2-5fg 5-5ft
C,"Biyombo, Bismack",17.8,"$3,700",TORONTO RAPTORS,v mem, 98-85,16:43,   5pt 9rb 1st 1bl 2to 2-4fg 1-2ft
C,"Duncan, Tim^",16.6,"$5,700",SAN ANTONIO SPURS,@ pho, 118-111,16:54,   6pt 3rb 2as 1st 1bl 1-5fg 4-6ft
C,"Mejri, Salah",15.2,"$3,500",DALLAS MAVERICKS,v phi, 129-103,14:28,   4pt 6rb 1st 1bl 2-4fg
C,"Zeller, Tyler",14.8,"$3,500",BOSTON CELTICS,@ den, 121-101,15:21,   9pt 4rb 1st 1to 4-9fg 1-2ft
C,"Mozgov, Timofey",14,"$3,700",CLEVELAND CAVALIERS,@ okc, 115-92,17:37,   11pt 5rb 3to 5-7fg 1-2ft
C,"Hibbert, Roy^",11.6,"$3,500",LOS ANGELES LAKERS,@ chi, 115-126,21:09,   6pt 3rb 1bl 3-5fg
C,"Kanter, Enes",10.8,"$5,200",OKLAHOMA CITY THUNDER,v cle, 92-115,18:03,   5pt 4rb 1st 1to 2-5fg 1-2ft
C,"Ajinca, Alexis",6.6,"$3,500",NEW ORLEANS PELICANS,@ det, 111-106,10:16,   4pt 3rb 1to 2-6fg
C,"Nurkic, Jusuf",6.4,"$3,900",DENVER NUGGETS,v bos, 101-121,11:57,   4pt 2rb 1st 1bl 4to 1-1fg 2-2ft
C,"Asik, Omer^",6.2,"$3,700",NEW ORLEANS PELICANS,@ det, 111-106,7:11,   5pt 1rb 2-3fg 1-2ft
C,"Andersen, Chris",6.1,"$3,500",MEMPHIS GRIZZLIES,@ tor, 85-98,9:14,   1pt 3rb 1as 1-2ft
C,"Baynes, Aron",6,"$3,800",DETROIT PISTONS,v nor, 106-111,12:39,   4pt 1bl 1-3fg 2-4ft
C,"Perkins, Kendrick",5.6,"$3,500",NEW ORLEANS PELICANS,@ det, 111-106,7:10,   0pt 3rb 1st
C,"Leonard, Meyers",5,"$3,500",PORTLAND TRAIL BLAZERS,v uta, 115-111,6:44,   3pt 1bl 1trey 1-3fg
C,"Wright, Brandan",4.9,"$3,600",MEMPHIS GRIZZLIES,@ tor, 85-98,20:38,   2pt 2rb 1as 1bl 3to 1-2fg
C,"Felicio, Cristiano",1.2,"$3,500",CHICAGO BULLS,v lal, 126-115,4:08,   0pt 1rb
C,"Lauvergne, Joffrey",0,"$3,800",DENVER NUGGETS,v bos, 101-121,2:20,   0pt
C,"Kaun, Sasha",0,"$3,500",CLEVELAND CAVALIERS,@ okc, 115-92,2:39,   0pt
C,"Chandler, Tyson",0,"$4,500",PHOENIX SUNS,v sas, 111-118,DNP,   0pt
C,"Marjanovic, Boban",0,"$3,500",SAN ANTONIO SPURS,@ pho, 118-111,DNP,   0pt
C,"Anthony, Joel",0,"$3,500",PHILADELPHIA 76ERS,@ dal, 103-129,DNP,   0pt
C,"Nogueira, Lucas",0,"$3,500",TORONTO RAPTORS,v mem, 98-85,DNP,   0pt
C,"Sacre, Robert",0,"$3,500",LOS ANGELES LAKERS,@ chi, 115-126,DNP,   0pt
C,"Kaman, Chris",0,"$3,500",PORTLAND TRAIL BLAZERS,v uta, 115-111,DNP,   0pt
C,"Withey, Jeff",0,"$3,500",UTAH JAZZ,@ por, 111-115,DNP,   0pt
C,"Black, Tarik",0,"$3,500",LOS ANGELES LAKERS,@ chi, 115-126,DNP,   0pt
C,"Dedmon, Dewayne",0,"$3,500",ORLANDO MAGIC,v ind, 102-105,DNP,   0pt
C,"Hawes, Spencer",0,"$4,100",CHARLOTTE HORNETS,@ bkn, 104-96,NA,   0pt
C,"Whittington, Shayne",0,"$3,500",INDIANA PACERS,@ orl, 105-102,NA,   0pt
C,"Blair, DeJuan",0,"$3,500",PHOENIX SUNS,v sas, 111-118,NA,   0pt
C,"Pleiss, Tibor",0,"$3,500",UTAH JAZZ,@ por, 111-115,NA,   0pt
C,"Olynyk, Kelly",0,"$4,400",BOSTON CELTICS,@ den, 121-101,NA,   0pt
C,"Bonner, Matt",0,"$3,500",SAN ANTONIO SPURS,@ pho, 118-111,NA,   0pt
C,"McGee, JaVale",0,"$3,500",DALLAS MAVERICKS,v phi, 129-103,NA,   
