position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Beasley, Malik",40.7,"$4,500",DENVER NUGGETS,v nyk, 115-108,29:56,   23pt 6rb 5as 1st 5trey 8-15fg 2-2ft
SG,"Hield, Buddy^",40,"$6,900",SACRAMENTO KINGS,v por, 108-113,39:02,   27pt 5rb 4as 1bl 2to 5trey 11-23fg
PG,"Lillard, Damian^",39.2,"$9,200",PORTLAND TRAIL BLAZERS,@ sac, 113-108,41:54,   25pt 6rb 6as 1st 5to 1trey 8-21fg 8-8ft
PG,"Simmons, Ben^",38.8,"$9,800",PHILADELPHIA 76ERS,@ lac, 119-113,32:50,   14pt 9rb 8as 1st 1bl 4to 6-13fg 2-6ft
SG,"Bogdanovic, Bogdan",37.5,"$6,100",SACRAMENTO KINGS,v por, 108-113,35:33,   19pt 5rb 5as 3st 4to 3trey 7-19fg 2-2ft
SG,"Williams, Louis",37.3,"$6,400",LOS ANGELES CLIPPERS,v phi, 113-119,30:48,   22pt 4rb 3as 3st 3to 1trey 8-19fg 5-9ft
PG,"Mudiay, Emmanuel^",37.1,"$5,700",NEW YORK KNICKS,@ den, 108-115,31:43,   15pt 3rb 9as 2st 1bl 4to 1trey 7-20fg 0-2ft
PG,"Bledsoe, Eric^",34.8,"$7,200",MILWAUKEE BUCKS,v det, 121-98,29:37,   18pt 4rb 6as 1st 7-14fg 4-4ft
PG,"Rubio, Ricky^",31.8,"$7,000",UTAH JAZZ,@ tor, 116-122,31:19,   14pt 4rb 8as 1bl 2to 6-17fg 2-3ft
SG,"Mitchell, Donovan^",31.3,"$7,500",UTAH JAZZ,@ tor, 116-122,35:04,   19pt 4rb 3as 1st 2trey 7-23fg 3-3ft
SG,"Butler, Jimmy^",30.2,"$8,500",PHILADELPHIA 76ERS,@ lac, 119-113,29:19,   16pt 6rb 4as 1bl 2to 1trey 5-13fg 5-6ft
PG,"McConnell, T.J.",29.9,"$4,300",PHILADELPHIA 76ERS,@ lac, 119-113,28:21,   11pt 2rb 3as 4st 1bl 3to 4-6fg 3-4ft
PG,"Curry, Seth",28.7,"$3,500",PORTLAND TRAIL BLAZERS,@ sac, 113-108,21:58,   18pt 1rb 1as 3st 1to 4trey 6-9fg 2-2ft
SG,"Middleton, Khris^",27,"$7,600",MILWAUKEE BUCKS,v det, 121-98,28:01,   22pt 5rb 2as 4to 1trey 9-14fg 3-4ft
SG,"Shumpert, Iman^",26.7,"$3,700",SACRAMENTO KINGS,v por, 108-113,24:36,   9pt 1rb 3as 3st 1bl 1trey 4-11fg
SG,"Brogdon, Malcolm^",24.3,"$5,800",MILWAUKEE BUCKS,v det, 121-98,25:32,   13pt 4rb 5as 1to 1trey 6-7fg
PG,"Murray, Jamal^",24.1,"$8,300",DENVER NUGGETS,v nyk, 115-108,32:21,   8pt 3rb 5as 1st 1bl 1to 4-12fg
PG,"Fox, De'Aaron^",22.4,"$9,100",SACRAMENTO KINGS,v por, 108-113,37:49,   13pt 2rb 2as 2st 2to 6-19fg 1-1ft
SG,"Craig, Torrey^",22.3,"$4,400",DENVER NUGGETS,v nyk, 115-108,24:37,   13pt 4rb 1as 1bl 2trey 5-10fg 1-2ft
SG,"McCollum, C.J.^",22.2,"$6,100",PORTLAND TRAIL BLAZERS,@ sac, 113-108,38:40,   16pt 1rb 2as 1bl 1to 8-19fg 0-2ft
