position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Westbrook, Russell^",76.8,"$12,100",OKLAHOMA CITY THUNDER,@ ind, 104-116,40,   54pt 9rb 8as 1st 2to 5trey 21-43fg 7-11ft
SG,"Harden, James^",41.7,"$11,100",HOUSTON ROCKETS,v nor, 121-114,38,   30pt 1rb 7as 1st 1bl 4to 1trey 10-18fg 9-9ft
SG,"McLemore, Ben^",40.5,"$4,300",SACRAMENTO KINGS,@ den, 111-122,38,   20pt 5rb 7as 4st 4to 2trey 6-12fg 6-8ft
SG,"Turner, Evan^",39.9,"$6,700",BOSTON CELTICS,v cle, 117-78,27,   15pt 7rb 5as 4st 1bl 1to 6-12fg 3-4ft
SG,"Bledsoe, Eric^",38.8,"$7,600",PHOENIX SUNS,@ sas, 91-107,41,   20pt 4rb 10as 1to 7-13fg 6-6ft
SG,"Antetokounmpo, Giannis^",38.3,"$6,800",MILWAUKEE BUCKS,v bkn, 96-73,30,   13pt 9rb 7as 1st 1bl 6-14fg 1-3ft
PG,"Wall, John^",38.3,"$9,600",WASHINGTON WIZARDS,v atl, 108-99,35,   24pt 4rb 9as 2st 1bl 10to 2trey 9-20fg 4-4ft
PG,"Clarkson, Jordan^",38.2,"$8,000",LOS ANGELES LAKERS,v dal, 106-120,39,   26pt 1rb 6as 2st 1bl 4to 3trey 9-19fg 5-5ft
PG,"Rondo, Rajon^",36.1,"$6,000",DALLAS MAVERICKS,@ lal, 120-106,30,   11pt 8rb 11as 1st 3to 1trey 4-11fg 2-2ft
PG,"Hill, George^",34.1,"$7,600",INDIANA PACERS,v okc, 116-104,40,   19pt 3rb 7as 1st 1to 2trey 6-10fg 5-7ft
PG,"Thomas, Isaiah",31.4,"$6,800",BOSTON CELTICS,v cle, 117-78,22,   17pt 2rb 6as 2st 1to 2trey 5-10fg 5-6ft
PG,"Carter-Williams, Michael^",31.3,"$7,100",MILWAUKEE BUCKS,v bkn, 96-73,27,   12pt 4rb 5as 3st 1bl 1to 6-9fg 0-0ft
PG,"Mack, Shelvin",30.8,"$3,500",ATLANTA HAWKS,@ was, 99-108,26,   14pt 4rb 6as 2st 1to 5-12fg 4-4ft
SG,"Jenkins, John^",29.6,"$3,600",ATLANTA HAWKS,@ was, 99-108,35,   17pt 3rb 2as 3st 2trey 6-12fg 3-4ft
SG,"Meeks, Jodie",29.2,"$3,700",DETROIT PISTONS,v cha, 116-77,27,   24pt 1rb 3st 2to 4trey 8-12fg 4-5ft
SG,"Beal, Bradley^",28.1,"$6,400",WASHINGTON WIZARDS,v atl, 108-99,37,   17pt 3rb 1as 3st 1bl 2to 2trey 6-17fg 3-4ft
PG,"Evans, Tyreke^",28,"$7,900",NEW ORLEANS PELICANS,@ hou, 114-121,40,   12pt 5rb 8as 1st 4to 5-13fg 2-4ft
PG,"Jackson, Reggie^",27.3,"$8,600",DETROIT PISTONS,v cha, 116-77,30,   5pt 4rb 13as 2to 1-7fg 3-3ft
PG,"Lawson, Ty^",26.5,"$7,200",DENVER NUGGETS,v sac, 122-111,37,   10pt 11as 1st 2to 4-7fg 2-4ft
PG,"Holiday, Jrue",25.2,"$7,600",NEW ORLEANS PELICANS,@ hou, 114-121,15,   17pt 1rb 2as 2st 3trey 7-9fg 0-0ft
SG,"Stuckey, Rodney",24.9,"$5,100",INDIANA PACERS,v okc, 116-104,30,   8pt 7rb 5as 1st 1to 1trey 3-9fg 1-2ft
SG,"Shumpert, Iman^",24.5,"$4,200",CLEVELAND CAVALIERS,@ bos, 78-117,38,   15pt 10rb 3as 7to 1trey 6-15fg 2-4ft
SG,"Henderson, Gerald^",24.4,"$5,300",CHARLOTTE HORNETS,@ det, 77-116,26,   14pt 2rb 2as 3st 1to 6-16fg 2-3ft
SG,"Bazemore, Kent^",24.2,"$3,600",ATLANTA HAWKS,@ was, 99-108,28,   7pt 6rb 2as 3st 1bl 1to 2-8fg 3-4ft
SG,"Ginobili, Manu",23.6,"$3,900",SAN ANTONIO SPURS,v pho, 107-91,18,   9pt 3rb 4as 1st 2bl 1to 1trey 1-3fg 6-10ft
SG,"Gordon, Eric^",23.4,"$5,000",NEW ORLEANS PELICANS,@ hou, 114-121,32,   13pt 2rb 4as 1st 3trey 5-14fg 0-0ft
SG,"Mayo, O.J.",23.3,"$4,400",MILWAUKEE BUCKS,v bkn, 96-73,20,   17pt 4rb 1as 3st 6to 3trey 6-13fg 2-2ft
SG,"Waiters, Dion^",22.9,"$4,900",OKLAHOMA CITY THUNDER,@ ind, 104-116,39,   16pt 2rb 1as 1st 1bl 1to 2trey 7-16fg 0-4ft
