position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Oladipo, Victor^",69.4,"$9,600",INDIANA PACERS,v den, 126-116,45:03,   47pt 7rb 6as 2st 1bl 4to 6trey 15-28fg 11-13ft
PG,"Rondo, Rajon^",57.4,"$6,100",NEW ORLEANS PELICANS,v phi, 131-124,37:28,   13pt 2rb 18as 5st 1bl 3to 1trey 5-7fg 2-2ft
SG,"Holiday, Jrue^",52.3,"$7,300",NEW ORLEANS PELICANS,v phi, 131-124,41:11,   34pt 4rb 5as 2st 2bl 6to 5trey 11-21fg 7-8ft
SG,"Barton, Will^",46.7,"$7,600",DENVER NUGGETS,@ ind, 116-126,44:54,   21pt 6rb 9as 2st 1to 3trey 8-19fg 2-2ft
SG,"DeRozan, DeMar^",41.1,"$8,700",TORONTO RAPTORS,@ sac, 102-87,34:54,   25pt 3rb 9as 1to 9-15fg 7-11ft
PG,"Lowry, Kyle^",39.4,"$8,300",TORONTO RAPTORS,@ sac, 102-87,34:44,   15pt 12rb 6as 1st 2to 3trey 4-17fg 4-6ft
SG,"Redick, J.J.^",34.6,"$5,400",PHILADELPHIA 76ERS,@ nor, 124-131,35:19,   28pt 3rb 4as 3to 3trey 8-14fg 9-9ft
PG,"Smith, Ishmael",28.7,"$3,800",DETROIT PISTONS,v bos, 81-91,28:46,   11pt 6rb 5as 1st 5-13fg 1-2ft
SG,"Matthews, Wes^",27.8,"$4,800",DALLAS MAVERICKS,@ min, 92-97,37:56,   14pt 4rb 4as 1st 2trey 6-17fg
SG,"Harris, Gary^",26,"$6,300",DENVER NUGGETS,@ ind, 116-126,44:18,   21pt 5rb 2as 4to 3trey 8-18fg 2-2ft
PG,"Jack, Jarrett^",25.6,"$5,200",NEW YORK KNICKS,v atl, 111-107,26:07,   19pt 3rb 4as 3to 7-11fg 5-7ft
PG,"Schroder, Dennis^",24.7,"$8,300",ATLANTA HAWKS,@ nyk, 107-111,22:29,   21pt 1rb 3as 2to 9-14fg 3-3ft
PG,"Ferrell, Yogi^",22.3,"$4,000",DALLAS MAVERICKS,@ min, 92-97,32:35,   10pt 4rb 7as 3to 5-11fg
SG,"Barea, Jose",22.2,"$6,400",DALLAS MAVERICKS,@ min, 92-97,21:55,   16pt 1rb 4as 1to 2trey 5-9fg 4-5ft
PG,"Irving, Kyrie^",22.1,"$7,900",BOSTON CELTICS,@ det, 91-81,33:36,   16pt 3rb 3as 2to 3trey 4-12fg 5-5ft
SG,"Moore, E'Twaun^",22.1,"$4,600",NEW ORLEANS PELICANS,v phi, 131-124,37:28,   14pt 3rb 1as 1st 2trey 6-11fg
PG,"Baker, Ron",21.2,"$3,500",NEW YORK KNICKS,v atl, 111-107,31:28,   9pt 1rb 4as 2st 1to 1trey 2-5fg 4-4ft
PG,"Ntilikina, Frank",21.1,"$3,700",NEW YORK KNICKS,v atl, 111-107,26:18,   8pt 3rb 1as 3st 1to 1trey 2-7fg 3-4ft
PG,"Murray, Jamal^",20.7,"$5,400",DENVER NUGGETS,@ ind, 116-126,26:43,   13pt 1rb 1as 1st 1bl 1to 2trey 4-7fg 3-3ft
SG,"Hield, Buddy",20.6,"$5,200",SACRAMENTO KINGS,v tor, 87-102,28:05,   17pt 3rb 2as 1st 6to 3trey 7-13fg
SG,"Cleveland, Antonius",19.4,"$3,500",DALLAS MAVERICKS,@ min, 92-97,17:51,   2pt 2rb 3st 2bl 1-4fg
SG,"Crawford, Jamal",17.7,"$3,500",MINNESOTA TIMBERWOLVES,v dal, 97-92,19:39,   16pt 1rb 1as 1to 2trey 5-9fg 4-4ft
SG,"Bogdanovic, Bogdan^",17.7,"$4,200",SACRAMENTO KINGS,v tor, 87-102,29:40,   15pt 1rb 1as 4trey 5-10fg 1-2ft
SG,"Belinelli, Marco",17.6,"$4,300",ATLANTA HAWKS,@ nyk, 107-111,25:17,   13pt 3rb 2as 2to 2-9fg 9-9ft
PG,"Rozier, Terry",17.4,"$4,000",BOSTON CELTICS,@ det, 91-81,23:03,   6pt 7rb 2as 2trey 2-7fg
PG,"Teague, Jeff^",17.1,"$7,000",MINNESOTA TIMBERWOLVES,v dal, 97-92,35:53,   9pt 3rb 5as 3to 1trey 4-9fg
SG,"Bradley, Avery^",16.9,"$5,400",DETROIT PISTONS,v bos, 81-91,31:58,   12pt 2rb 1as 1bl 2to 2trey 5-16fg
SG,"Smart, Marcus",16.9,"$5,200",BOSTON CELTICS,@ det, 91-81,24:47,   12pt 2rb 3as 1st 5to 4-10fg 4-6ft
SG,"Bazemore, Kent^",16.4,"$5,400",ATLANTA HAWKS,@ nyk, 107-111,28:26,   9pt 2rb 4as 1st 4to 2-5fg 5-6ft
SG,"Wiggins, Andrew^",15.1,"$6,700",MINNESOTA TIMBERWOLVES,v dal, 97-92,35:36,   10pt 3rb 1as 1bl 3to 3-12fg 4-8ft
PG,"Jackson, Reggie^",13.7,"$5,900",DETROIT PISTONS,v bos, 81-91,19:14,   2pt 1rb 3as 2st 0-9fg 2-2ft
PG,"Mason III, Frank",12.9,"$4,000",SACRAMENTO KINGS,v tor, 87-102,24:38,   6pt 2rb 3as 1-10fg 4-5ft
PG,"Joseph, Cory^",12.1,"$5,200",INDIANA PACERS,v den, 126-116,31:29,   2pt 3rb 5as 1to 1-7fg
SG,"Kennard, Luke",11.4,"$3,500",DETROIT PISTONS,v bos, 81-91,24:04,   7pt 2rb 1st 1to 1trey 3-8fg
PG,"VanVleet, Fred",11.4,"$4,200",TORONTO RAPTORS,@ sac, 102-87,21:12,   4pt 2rb 2as 1st 1to 2-5fg
PG,"Bayless, Jerryd",10.7,"$3,900",PHILADELPHIA 76ERS,@ nor, 124-131,25:28,   3pt 1rb 1as 2st 1to 1trey 1-7fg
PG,"Larkin, Shane",10.1,"$3,500",BOSTON CELTICS,@ det, 91-81,12:41,   3pt 3rb 1as 1st 1to 1-2fg 1-2ft
PG,"Fox, De'Aaron^",9.2,"$4,800",SACRAMENTO KINGS,v tor, 87-102,23:22,   6pt 1rb 2as 2st 7to 3-8fg 0-2ft
SG,"Korkmaz, Furkan",9.1,"$3,500",PHILADELPHIA 76ERS,@ nor, 124-131,19:48,   5pt 3rb 1as 1to 1trey 2-6fg
SG,"Beasley, Malik",8.7,"$3,600",DENVER NUGGETS,@ ind, 116-126,16:48,   4pt 1rb 1as 1bl 1to 1-5fg 2-2ft
PG,"Mudiay, Emmanuel",6.2,"$4,300",DENVER NUGGETS,@ ind, 116-126,15:26,   3pt 1rb 4as 4to 1trey 1-4fg
PG,"Jones, Tyus",5.9,"$3,600",MINNESOTA TIMBERWOLVES,v dal, 97-92,12:07,   2pt 2rb 1as 1-2fg
SG,"Luwawu, Timothe^",4.7,"$3,500",PHILADELPHIA 76ERS,@ nor, 124-131,23:40,   4pt 1rb 1as 2to 2-10fg
SG,"Harris, Devin",4.7,"$4,300",DALLAS MAVERICKS,@ min, 92-97,16:21,   5pt 1rb 1as 3to 2-4fg 1-1ft
SG,"Temple, Garrett^",3,"$3,600",SACRAMENTO KINGS,v tor, 87-102,11:27,   0pt 1st
PG,"Clark, Ian",3,"$4,200",NEW ORLEANS PELICANS,v phi, 131-124,12:54,   3pt 1trey 1-4fg
PG,"Delaney, Malcolm",3,"$3,500",ATLANTA HAWKS,@ nyk, 107-111,8:17,   0pt 2as 0-2fg
PG,"Young, Joseph",2.4,"$3,500",INDIANA PACERS,v den, 126-116,12:40,   2pt 2rb 2to 1-2fg
SG,"Powell, Norman",1.2,"$3,500",TORONTO RAPTORS,@ sac, 102-87,9:01,   2pt 1rb 2to 1-3fg
PG,"Galloway, Langston",0.2,"$3,500",DETROIT PISTONS,v bos, 81-91,5:55,   0pt 1rb 1to 0-2fg
PG,"McConnell, T.J.",0,"$4,600",PHILADELPHIA 76ERS,@ nor, 124-131,DNP,   
PG,"Brooks, Aaron",0,"$3,500",MINNESOTA TIMBERWOLVES,v dal, 97-92,DNP,   
PG,"Brown, Lorenzo",0,"$3,500",TORONTO RAPTORS,@ sac, 102-87,DNP,   
SG,"Richardson, Malachi",0,"$3,500",SACRAMENTO KINGS,v tor, 87-102,DNP,   
SG,"Dotson, Damyean",0,"$3,500",NEW YORK KNICKS,v atl, 111-107,DNP,   
SG,"Wilkins, Damien",0,"$3,500",INDIANA PACERS,v den, 126-116,DNP,   
PG,"Nelson, Jameer",0,"$3,500",NEW ORLEANS PELICANS,v phi, 131-124,DNP,   
PG,"Dorsey, Tyler",0,"$3,500",ATLANTA HAWKS,@ nyk, 107-111,DNP,   
PG,"Morris, Monte",0,"$3,500",DENVER NUGGETS,@ ind, 116-126,DNP,   
PG,"Collison, Darren",0,"$5,900",INDIANA PACERS,v den, 126-116,DNP,   
SG,"Nader, Abdel",0,"$3,500",BOSTON CELTICS,@ det, 91-81,DNP,   
PG,"Allen, Kadeem",0,"$3,500",BOSTON CELTICS,@ det, 91-81,DNP,   
PG,"Sessions, Ramon",0,"$3,500",NEW YORK KNICKS,v atl, 111-107,DNP,   
SG,"Hardaway Jr., Tim",0,"$6,000",NEW YORK KNICKS,v atl, 111-107,NA,   
SG,"Curry, Seth",0,"$4,000",DALLAS MAVERICKS,@ min, 92-97,NA,   
PG,"Magette, Josh",0,"$3,500",ATLANTA HAWKS,@ nyk, 107-111,NA,   
PG,"Hill, George",0,"$4,000",SACRAMENTO KINGS,v tor, 87-102,NA,   
PG,"Sumner, Edmond",0,"$3,500",INDIANA PACERS,v den, 126-116,NA,   
PG,"Wright, Delon",0,"$3,500",TORONTO RAPTORS,@ sac, 102-87,NA,   
PG,"Buycks, Dwight",0,"$3,500",DETROIT PISTONS,v bos, 81-91,NA,   
PG,"Pullen, Jacob",0,"$3,500",PHILADELPHIA 76ERS,@ nor, 124-131,NA,   
SG,"Cooke, Charles",0,"$3,500",NEW ORLEANS PELICANS,v phi, 131-124,NA,   
SG,"Bird, Jabari",0,"$3,500",BOSTON CELTICS,@ det, 91-81,NA,   
PG,"Smith Jr., Dennis",0,"$5,400",DALLAS MAVERICKS,@ min, 92-97,NA,   
PF,"Davis, Anthony^",59.6,"$10,500",NEW ORLEANS PELICANS,v phi, 131-124,40:22,   29pt 8rb 4as 1st 5bl 3to 1trey 11-19fg 6-9ft
PF,"Porzingis, Kristaps^",55.6,"$9,500",NEW YORK KNICKS,v atl, 111-107,37:47,   30pt 8rb 2as 2st 3bl 2to 1trey 10-23fg 9-10ft
PF,"Simmons, Ben^",46,"$10,300",PHILADELPHIA 76ERS,@ nor, 124-131,35:53,   27pt 5rb 10as 1bl 5to 10-16fg 7-9ft
SF,"Butler, Jimmy^",44.1,"$9,000",MINNESOTA TIMBERWOLVES,v dal, 97-92,40:53,   22pt 8rb 5as 2st 1to 2trey 9-17fg 2-3ft
PF,"Ilyasova, Ersan^",37.8,"$5,500",ATLANTA HAWKS,@ nyk, 107-111,30:39,   20pt 4rb 2as 2st 2bl 2to 5trey 7-11fg 1-2ft
PF,"Randolph, Zach^",33.7,"$7,200",SACRAMENTO KINGS,v tor, 87-102,33:40,   19pt 11rb 1as 1st 3to 1trey 9-11fg 0-2ft
SF,"Chandler, Wilson^",33.1,"$4,100",DENVER NUGGETS,@ ind, 116-126,37:22,   18pt 8rb 1as 1st 1bl 2to 3trey 7-16fg 1-1ft
