position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Curry, Stephen^",54.4,"$10,900",GOLDEN STATE WARRIORS,@ ind, 131-123,35:39,   29pt 7rb 10as 3st 4to 3trey 11-23fg 4-6ft
SG,"Thompson, Klay^",54.4,"$6,100",GOLDEN STATE WARRIORS,@ ind, 131-123,34:28,   39pt 7rb 6as 1bl 4to 10trey 13-21fg 3-3ft
SG,"Thornton, Marcus",48.7,"$3,500",HOUSTON ROCKETS,@ bkn, 105-110,26:01,   32pt 6rb 3as 3st 1to 5trey 12-18fg 3-3ft
PG,"Lillard, Damian^",45.2,"$9,300",PORTLAND TRAIL BLAZERS,@ cle, 100-105,39:10,   33pt 6rb 6as 4to 4trey 14-27fg 1-1ft
PG,"Westbrook, Russell^",44,"$10,900",OKLAHOMA CITY THUNDER,@ mem, 125-88,24:56,   13pt 5rb 16as 2st 3to 1trey 5-7fg 2-2ft
SG,"Johnson, Joe^",44,"$5,400",BROOKLYN NETS,v hou, 110-105,43:23,   22pt 5rb 8as 3st 2to 2trey 9-15fg 2-3ft
PG,"Rondo, Rajon^",42.9,"$8,300",SACRAMENTO KINGS,v uta, 114-106,37:28,   17pt 7rb 13as 2st 6to 1trey 5-8fg 6-7ft
SG,"Barton, Will",38.3,"$5,700",DENVER NUGGETS,v orl, 74-85,37:32,   23pt 4rb 1as 4st 1bl 1to 3trey 9-23fg 2-4ft
SG,"McCollum, C.J.^",35.1,"$7,000",PORTLAND TRAIL BLAZERS,@ cle, 100-105,36:19,   24pt 3rb 5as 2st 4to 4trey 10-19fg
PG,"Jack, Jarrett^",30.5,"$6,100",BROOKLYN NETS,v hou, 110-105,37:26,   10pt 5rb 9as 3st 5to 4-8fg 2-2ft
PG,"Payton, Elfrid^",30,"$6,800",ORLANDO MAGIC,@ den, 85-74,32:12,   18pt 5rb 4as 1st 2to 8-15fg 2-2ft
SG,"Burks, Alec",26.3,"$5,500",UTAH JAZZ,@ sac, 106-114,30:10,   18pt 4rb 3as 1to 2trey 6-15fg 4-5ft
SG,"Harden, James^",26.1,"$10,800",HOUSTON ROCKETS,@ bkn, 105-110,35:21,   10pt 3rb 9as 3st 7to 1trey 2-9fg 5-6ft
PG,"Dellavedova, Matthew^",26.1,"$4,300",CLEVELAND CAVALIERS,v por, 105-100,36:42,   17pt 3rb 3as 1st 1to 3trey 7-12fg
PG,"Chalmers, Mario",25.9,"$4,500",MEMPHIS GRIZZLIES,v okc, 88-125,21:14,   19pt 2rb 1as 2st 1bl 3to 6-8fg 7-8ft
SG,"Oladipo, Victor",25.1,"$7,600",ORLANDO MAGIC,@ den, 85-74,33:07,   11pt 3rb 3as 1st 4bl 4to 5-14fg 1-2ft
SG,"Hood, Rodney^",23.9,"$4,500",UTAH JAZZ,@ sac, 106-114,33:56,   17pt 2rb 3as 1st 2to 5trey 6-12fg
SG,"Hill, Solomon",23.8,"$3,500",INDIANA PACERS,v gsw, 123-131,21:08,   6pt 9rb 2as 1st 1bl 3-8fg
PG,"Beverley, Patrick^",22.5,"$4,100",HOUSTON ROCKETS,@ bkn, 105-110,28:24,   10pt 3as 5st 2to 2trey 4-10fg
PG,"Nelson, Jameer",22.1,"$3,700",DENVER NUGGETS,v orl, 74-85,26:01,   6pt 3rb 5as 2st 1bl 1to 2trey 2-8fg
SG,"Roberson, Andre^",20.8,"$3,500",OKLAHOMA CITY THUNDER,@ mem, 125-88,21:57,   10pt 4rb 2st 1bl 4-7fg 2-3ft
PG,"Augustin, D.J.",20.7,"$3,500",OKLAHOMA CITY THUNDER,@ mem, 125-88,23:04,   13pt 1rb 3as 1st 3trey 4-7fg 2-2ft
SG,"Rush, Brandon^",19.1,"$3,500",GOLDEN STATE WARRIORS,@ ind, 131-123,24:33,   13pt 3rb 1as 1bl 1to 3trey 5-10fg
PG,"Burke, Trey",18.9,"$4,800",UTAH JAZZ,@ sac, 106-114,20:55,   12pt 2rb 3as 1st 2to 2trey 5-14fg
SG,"McLemore, Ben^",18.4,"$3,900",SACRAMENTO KINGS,v uta, 114-106,26:16,   10pt 2rb 2as 2st 1to 2trey 4-6fg
SG,"Crabbe, Allen",18.1,"$3,600",PORTLAND TRAIL BLAZERS,@ cle, 100-105,34:02,   14pt 3rb 1as 1to 1trey 6-11fg 1-1ft
SG,"Smith, J.R.^",17.4,"$5,300",CLEVELAND CAVALIERS,v por, 105-100,25:07,   8pt 2rb 2as 2st 2trey 3-9fg
SG,"Ellis, Monta^",16.9,"$5,800",INDIANA PACERS,v gsw, 123-131,38:08,   9pt 2rb 5as 1st 1bl 6to 4-11fg 1-2ft
