position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",55.7,"$10,200",HOUSTON ROCKETS,v phi, 88-87,41,   35pt 6rb 7as 3st 1bl 5to 1trey 10-24fg 14-16ft
PG,"Jennings, Brandon^",48.5,"$7,200",DETROIT PISTONS,@ okc, 96-89,36,   29pt 5rb 5as 2st 1bl 5trey 10-18fg 4-5ft
PG,"Irving, Kyrie^",47.3,"$7,800",CLEVELAND CAVALIERS,@ bos, 122-121,41,   27pt 4rb 5as 3st 1bl 3trey 8-16fg 8-9ft
SG,"Bledsoe, Eric^",45.7,"$6,700",PHOENIX SUNS,v cha, 95-103,38,   22pt 11rb 5as 1st 1bl 1to 3trey 8-17fg 3-3ft
PG,"Rondo, Rajon^",42.6,"$8,500",BOSTON CELTICS,v cle, 121-122,31,   6pt 8rb 16as 3st 3to 3-10fg 0-0ft
PG,"Jackson, Reggie^",40.8,"$8,100",OKLAHOMA CITY THUNDER,v det, 89-96,44,   20pt 4rb 12as 1st 4to 2trey 9-17fg 0-2ft
SG,"Evans, Tyreke^",39.7,"$7,600",NEW ORLEANS PELICANS,v min, 139-91,26,   16pt 6rb 7as 4st 2to 1trey 6-11fg 3-6ft
PG,"Chalmers, Mario",37.7,"$4,600",MIAMI HEAT,@ atl, 103-114,40,   23pt 1rb 11as 3to 1trey 7-11fg 8-8ft
PG,"Knight, Brandon^",37.7,"$7,200",MILWAUKEE BUCKS,@ orl, 85-101,34,   24pt 6rb 5as 1st 3to 2trey 9-17fg 4-5ft
SG,"Stephenson, Lance^",37.1,"$7,000",CHARLOTTE HORNETS,@ pho, 103-95,38,   13pt 8rb 7as 2st 5-12fg 3-3ft
PG,"Holiday, Jrue^",36.5,"$7,200",NEW ORLEANS PELICANS,v min, 139-91,28,   24pt 9as 1to 2trey 9-10fg 4-4ft
PG,"Wroten, Tony^",33.8,"$7,600",PHILADELPHIA 76ERS,@ hou, 87-88,35,   19pt 4rb 8as 1st 4to 2trey 7-16fg 3-6ft
PG,"Walker, Kemba^",32,"$7,300",CHARLOTTE HORNETS,@ pho, 103-95,33,   19pt 5rb 4as 1st 1bl 3to 8-16fg 3-3ft
SG,"Antetokounmpo, Giannis",30.9,"$5,200",MILWAUKEE BUCKS,@ orl, 85-101,31,   19pt 7rb 1as 1st 9-15fg 1-1ft
SG,"Korver, Kyle^",30.7,"$5,800",ATLANTA HAWKS,v mia, 114-103,37,   12pt 6rb 7as 2st 3to 4trey 4-7fg 0-0ft
PG,"Teague, Jeff^",29.7,"$7,500",ATLANTA HAWKS,v mia, 114-103,32,   16pt 1rb 9as 1st 3to 1trey 5-11fg 5-5ft
PG,"Lawson, Ty^",28.6,"$8,100",DENVER NUGGETS,@ ind, 108-87,31,   11pt 3rb 10as 1st 3to 1trey 4-13fg 2-2ft
PG,"Cole, Norris^",28.4,"$4,200",MIAMI HEAT,@ atl, 103-114,28,   6pt 2rb 8as 4st 1bl 2to 3-7fg 0-0ft
SG,"Rivers, Austin",28.1,"$3,600",NEW ORLEANS PELICANS,v min, 139-91,25,   17pt 3rb 3as 2st 1bl 3to 1trey 8-9fg 0-0ft
SG,"Ginobili, Manu",27.4,"$5,300",SAN ANTONIO SPURS,@ lal, 93-80,25,   9pt 2rb 8as 2st 1trey 2-9fg 4-4ft
PG,"Burke, Trey^",26.2,"$5,700",UTAH JAZZ,@ nyk, 102-100,35,   13pt 1rb 8as 1bl 2to 3trey 5-9fg 0-0ft
SG,"Sefolosha, Thabo^",25.7,"$3,600",ATLANTA HAWKS,v mia, 114-103,33,   12pt 6rb 1as 1st 3bl 3to 1trey 4-7fg 3-4ft
PG,"Carter-Williams, Michael",25.5,"$8,700",PHILADELPHIA 76ERS,@ hou, 87-88,27,   13pt 5rb 5as 2st 5to 2trey 4-12fg 3-3ft
PG,"Schroder, Dennis",25.4,"$3,900",ATLANTA HAWKS,v mia, 114-103,25,   10pt 2rb 6as 2st 4-10fg 2-2ft
SG,"Bryant, Kobe^",24.8,"$9,200",LOS ANGELES LAKERS,v sas, 80-93,36,   9pt 4rb 6as 1st 2bl 4to 1-14fg 7-9ft
PG,"Lin, Jeremy^",24.8,"$6,000",LOS ANGELES LAKERS,v sas, 80-93,38,   15pt 4rb 4as 1st 3to 1trey 5-11fg 4-4ft
