position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Bledsoe, Eric^",59.3,"$8,000",MILWAUKEE BUCKS,v bkn, 128-133,32:42,   33pt 4rb 11as 2st 1bl 4to 5trey 12-17fg 4-7ft
SG,"Russell, D'Angelo^",45.4,"$9,000",BROOKLYN NETS,@ mil, 133-128,32:36,   25pt 2rb 10as 2st 3to 3trey 10-15fg 2-3ft
SG,"LeVert, Caris",33.4,"$6,100",BROOKLYN NETS,@ mil, 133-128,25:57,   24pt 2rb 6as 2to 4trey 9-12fg 2-4ft
SG,"Connaughton, Pat",33.1,"$5,200",MILWAUKEE BUCKS,v bkn, 128-133,30:32,   13pt 8rb 3as 2st 1trey 6-8fg 0-1ft
PG,"Simmons, Ben^",32.8,"$9,500",PHILADELPHIA 76ERS,@ chi, 116-96,26:15,   14pt 4rb 4as 2st 1bl 1to 6-10fg 2-5ft
SG,"Middleton, Khris^",32.3,"$6,900",MILWAUKEE BUCKS,v bkn, 128-133,29:38,   24pt 4rb 3as 1st 4to 2trey 9-18fg 4-4ft
SG,"Lemon Jr., Walter^",29.1,"$6,000",CHICAGO BULLS,v phi, 96-116,30:01,   8pt 8rb 5as 2st 2to 4-16fg
SG,"Luwawu, Timothe",27.2,"$4,100",CHICAGO BULLS,v phi, 96-116,26:55,   14pt 6rb 1st 1bl 1trey 5-12fg 3-4ft
SG,"Brown, Sterling^",21.3,"$4,500",MILWAUKEE BUCKS,v bkn, 128-133,29:14,   11pt 4rb 5as 2to 1trey 5-7fg 0-2ft
PG,"Dinwiddie, Spencer",17.1,"$5,200",BROOKLYN NETS,@ mil, 133-128,28:56,   10pt 3rb 1as 1st 1to 1trey 3-7fg 3-3ft
PG,"Hill, George",16,"$4,200",MILWAUKEE BUCKS,v bkn, 128-133,24:03,   14pt 2as 1to 2trey 5-8fg 2-2ft
PG,"McConnell, T.J.",15.3,"$3,500",PHILADELPHIA 76ERS,@ chi, 116-96,21:45,   7pt 4rb 1as 1st 1to 3-6fg 1-2ft
SG,"Graham, Treveon",14.5,"$3,500",BROOKLYN NETS,@ mil, 133-128,22:49,   9pt 5rb 1as 2to 3trey 3-9fg
SG,"Alkins, Rawle^",12.8,"$3,700",CHICAGO BULLS,v phi, 96-116,20:13,   7pt 4rb 2as 2to 1trey 2-7fg 2-2ft
PG,"Frazier, Tim",12.7,"$3,500",MILWAUKEE BUCKS,v bkn, 128-133,18:06,   9pt 1rb 1as 1st 2to 2trey 3-5fg 1-2ft
SG,"Sampson, Brandon",12.6,"$3,500",CHICAGO BULLS,v phi, 96-116,25:25,   6pt 3rb 2as 2trey 2-5fg
PG,"Arcidiacono, Ryan",12.4,"$3,700",CHICAGO BULLS,v phi, 96-116,17:59,   7pt 2rb 2as 1trey 3-8fg
PG,"Harrison, Shaquille^",12,"$7,000",CHICAGO BULLS,v phi, 96-116,23:27,   8pt 2as 1st 2to 2trey 3-6fg
SG,"Selden, Wayne^",9.9,"$3,900",CHICAGO BULLS,v phi, 96-116,12:42,   4pt 2rb 3as 1to 2-7fg
SG,"Smith, Zhaire",7.1,"$3,500",PHILADELPHIA 76ERS,@ chi, 116-96,16:08,   3pt 3rb 1as 1to 1trey 1-6fg
SG,"Milton, Shake",5.6,"$3,500",PHILADELPHIA 76ERS,@ chi, 116-96,23:45,   0pt 3rb 2as 1to 0-4fg
SG,"Blakeney, Antonio",0,"$3,600",CHICAGO BULLS,v phi, 96-116,DNP,   
PG,"Napier, Shabazz",0,"$3,500",BROOKLYN NETS,@ mil, 133-128,DNP,   
SG,"Snell, Tony",0,"$3,500",MILWAUKEE BUCKS,v bkn, 128-133,DNP,   
SG,"Brogdon, Malcolm",0,"$6,200",MILWAUKEE BUCKS,v bkn, 128-133,NA,   
SG,"Korkmaz, Furkan",0,"$3,600",PHILADELPHIA 76ERS,@ chi, 116-96,NA,   
SG,"LaVine, Zach",0,"$7,200",CHICAGO BULLS,v phi, 96-116,NA,   
PG,"Dunn, Kris",0,"$5,700",CHICAGO BULLS,v phi, 96-116,NA,   
SG,"DiVincenzo, Donte",0,"$3,500",MILWAUKEE BUCKS,v bkn, 128-133,NA,   
SG,"Butler, Jimmy",0,"$7,900",PHILADELPHIA 76ERS,@ chi, 116-96,NA,   
SG,"Crabbe, Allen",0,"$4,000",BROOKLYN NETS,@ mil, 133-128,NA,   
SF,"Sampson, JaKarr",46.1,"$5,500",CHICAGO BULLS,v phi, 96-116,35:18,   29pt 8rb 1as 2bl 1trey 11-17fg 6-7ft
SF,"Redick, J.J.^",32.5,"$6,100",PHILADELPHIA 76ERS,@ chi, 116-96,24:15,   23pt 5rb 1as 1st 1to 4trey 8-12fg 3-3ft
SF,"Dudley, Jared",30.7,"$3,500",BROOKLYN NETS,@ mil, 133-128,23:23,   16pt 6rb 1as 2st 2trey 4-8fg 6-6ft
PF,"Harris, Tobias^",27.7,"$6,900",PHILADELPHIA 76ERS,@ chi, 116-96,31:52,   16pt 6rb 5as 3to 6-14fg 4-6ft
SF,"Harris, Joe^",24.7,"$5,200",BROOKLYN NETS,@ mil, 133-128,34:44,   14pt 6rb 1as 1st 1to 3trey 5-16fg 1-1ft
PF,"Ilyasova, Ersan",23.4,"$3,500",MILWAUKEE BUCKS,v bkn, 128-133,25:25,   12pt 7rb 1st 1trey 5-10fg 1-1ft
PF,"Bolden, Jonah",20.6,"$5,000",PHILADELPHIA 76ERS,@ chi, 116-96,24:43,   11pt 3rb 2as 1bl 3trey 4-7fg
PF,"Kurucs, Rodions^",20.5,"$3,600",BROOKLYN NETS,@ mil, 133-128,24:01,   11pt 5rb 3as 1to 3trey 4-14fg 0-1ft
SF,"Carroll, DeMarre^",16,"$4,600",BROOKLYN NETS,@ mil, 133-128,26:44,   4pt 5rb 2as 1st 2-8fg
PF,"Wilson, D.J.^",15.4,"$3,600",MILWAUKEE BUCKS,v bkn, 128-133,20:31,   5pt 7rb 2as 1to 1trey 2-7fg
PF,"Scott, Mike^",12.9,"$4,400",PHILADELPHIA 76ERS,@ chi, 116-96,23:17,   3pt 7rb 1as 1trey 1-3fg
PF,"Davis, Ed",12.4,"$4,000",BROOKLYN NETS,@ mil, 133-128,8:28,   10pt 2rb 4-4fg 2-3ft
SF,"Colson, Bonzie",0,"$3,500",MILWAUKEE BUCKS,v bkn, 128-133,DNP,   
SF,"Antetokounmpo, Giannis",0,"$13,000",MILWAUKEE BUCKS,v bkn, 128-133,DNP,   
SF,"Simmons, Jonathon",0,"$3,500",PHILADELPHIA 76ERS,@ chi, 116-96,DNP,   
PF,"Hollis-Jefferson, Rondae",0,"$3,700",BROOKLYN NETS,@ mil, 133-128,DNP,   
PF,"Johnson, Amir",0,"$3,600",PHILADELPHIA 76ERS,@ chi, 116-96,DNP,   
SF,"Pinson, Theo",0,"$3,500",BROOKLYN NETS,@ mil, 133-128,NA,   
PF,"Markkanen, Lauri",0,"$7,100",CHICAGO BULLS,v phi, 96-116,NA,   
SF,"Musa, Dzanan",0,"$3,500",BROOKLYN NETS,@ mil, 133-128,NA,   
SF,"Ennis, James",0,"$3,600",PHILADELPHIA 76ERS,@ chi, 116-96,NA,   
PF,"Williams, Alan",0,"$3,500",BROOKLYN NETS,@ mil, 133-128,NA,   
SF,"Porter, Otto",0,"$6,700",CHICAGO BULLS,v phi, 96-116,NA,   
SF,"Hutchison, Chandler",0,"$4,400",CHICAGO BULLS,v phi, 96-116,NA,   
SF,"Highsmith, Haywood",0,"$3,500",PHILADELPHIA 76ERS,@ chi, 116-96,NA,   
SF,"Mirotic, Nikola",0,"$5,200",MILWAUKEE BUCKS,v bkn, 128-133,NA,   
PF,"Carter Jr., Wendell",0,"$3,500",CHICAGO BULLS,v phi, 96-116,NA,   
C,"Embiid, Joel^",46.5,"$12,200",PHILADELPHIA 76ERS,@ chi, 116-96,27:46,   20pt 10rb 5as 3bl 2to 9-16fg 2-6ft
C,"Lopez, Brook^",27.1,"$6,800",MILWAUKEE BUCKS,v bkn, 128-133,29:49,   7pt 8rb 1as 3bl 1trey 2-8fg 2-2ft
