position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Paul, Chris^",55,"$8,700",LOS ANGELES CLIPPERS,v okc, 99-100,35:58,   32pt 5rb 10as 2st 2to 4trey 11-19fg 6-6ft
PG,"Westbrook, Russell^",54.5,"$10,200",OKLAHOMA CITY THUNDER,@ lac, 100-99,37:19,   33pt 5rb 7as 3st 1to 2trey 11-25fg 9-11ft
SG,"Harden, James^",50.5,"$10,500",HOUSTON ROCKETS,v cha, 102-95,34:58,   36pt 5rb 7as 1bl 4to 2trey 9-16fg 16-19ft
PG,"Wall, John^",45.9,"$9,900",WASHINGTON WIZARDS,v sac, 113-99,39:20,   12pt 2rb 19as 4st 5to 1trey 4-15fg 3-3ft
PG,"Thomas, Isaiah^",41.4,"$8,200",BOSTON CELTICS,v min, 113-99,34:46,   8pt 7rb 12as 4st 1to 3-9fg 2-2ft
PG,"Temple, Garrett^",37.5,"$3,900",WASHINGTON WIZARDS,v sac, 113-99,41:49,   23pt 5rb 3as 2st 5trey 8-17fg 2-2ft
SG,"Butler, Jimmy^",35.6,"$8,500",CHICAGO BULLS,v bkn, 102-105,38:29,   24pt 3rb 4as 1st 1bl 2to 1trey 11-20fg 1-3ft
PG,"Frazier, Tim^",31.9,"$3,500",PORTLAND TRAIL BLAZERS,@ atl, 97-106,47:35,   12pt 7rb 7as 2st 1bl 5to 5-15fg 2-3ft
SG,"Fournier, Evan^",29.7,"$4,700",ORLANDO MAGIC,@ nyk, 107-99,31:37,   16pt 6rb 1as 3st 1to 3trey 6-14fg 1-2ft
PG,"Teague, Jeff^",29.4,"$6,200",ATLANTA HAWKS,v por, 106-97,31:02,   13pt 2rb 8as 2st 2to 4-12fg 5-6ft
PG,"Knight, Brandon",28.4,"$7,200",PHOENIX SUNS,@ uta, 89-110,35:18,   26pt 2rb 2as 3to 2trey 8-17fg 8-8ft
SG,"Hood, Rodney^",28.3,"$4,400",UTAH JAZZ,v pho, 110-89,34:44,   14pt 4rb 1as 3st 1bl 2trey 3-8fg 6-8ft
SG,"Johnson, Joe^",27.1,"$5,300",BROOKLYN NETS,@ chi, 105-102,37:24,   12pt 3rb 5as 2st 2trey 5-15fg
