position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Beal, Bradley^",88.5,"$9,600",WASHINGTON WIZARDS,v tor, 138-140,54:36,   43pt 10rb 15as 3st 2bl 4to 6trey 17-36fg 3-7ft
SG,"Harden, James^",74.8,"$12,800",HOUSTON ROCKETS,@ orl, 109-116,43:01,   38pt 9rb 12as 4st 4to 1trey 11-32fg 15-16ft
PG,"Curry, Stephen^",71.7,"$10,200",GOLDEN STATE WARRIORS,@ dal, 119-114,36:52,   48pt 6rb 5as 1st 2bl 11trey 17-32fg 3-3ft
PG,"Simmons, Ben^",57.9,"$9,500",PHILADELPHIA 76ERS,@ nyk, 108-105,37:00,   20pt 22rb 9as 2to 10-13fg 0-2ft
PG,"Bledsoe, Eric^",50.4,"$6,800",MILWAUKEE BUCKS,@ atl, 133-114,26:15,   24pt 2rb 10as 2st 1bl 2trey 9-13fg 4-4ft
SG,"Burks, Alec^",41.6,"$4,900",CLEVELAND CAVALIERS,@ lal, 101-95,32:53,   17pt 13rb 4as 1st 2trey 4-10fg 7-8ft
PG,"Young, Trae^",40,"$6,600",ATLANTA HAWKS,v mil, 114-133,33:36,   26pt 10rb 4as 4to 1trey 7-16fg 11-13ft
PG,"Ball, Lonzo^",39.6,"$7,100",LOS ANGELES LAKERS,v cle, 95-101,40:41,   13pt 8rb 8as 2st 1to 2trey 5-14fg 1-2ft
PG,"Lillard, Damian^",39.3,"$9,100",PORTLAND TRAIL BLAZERS,@ den, 113-116,38:00,   26pt 4rb 7as 2to 2trey 8-21fg 8-8ft
SG,"Doncic, Luka^",38.7,"$8,400",DALLAS MAVERICKS,v gsw, 114-119,31:57,   26pt 6rb 5as 1st 5to 5trey 8-18fg 5-8ft
SG,"Green, Danny^",36.6,"$4,300",TORONTO RAPTORS,@ was, 140-138,41:44,   16pt 8rb 2st 2bl 1to 3trey 5-12fg 3-4ft
PG,"Lowry, Kyle^",35.5,"$7,700",TORONTO RAPTORS,@ was, 140-138,49:42,   12pt 5rb 11as 2st 5to 2trey 4-15fg 2-3ft
SG,"Wright, Delon",34.7,"$4,000",TORONTO RAPTORS,@ was, 140-138,21:49,   17pt 6rb 3as 1st 1bl 1trey 7-11fg 2-2ft
PG,"Murray, Jamal^",34.3,"$7,200",DENVER NUGGETS,v por, 116-113,33:25,   24pt 4rb 3as 1st 2to 1trey 9-18fg 5-5ft
SG,"Middleton, Khris^",32.2,"$7,300",MILWAUKEE BUCKS,@ atl, 133-114,28:09,   17pt 11rb 4as 4to 8-19fg 1-2ft
SG,"Rivers, Austin^",32.2,"$5,100",HOUSTON ROCKETS,@ orl, 109-116,36:49,   25pt 1rb 2as 1st 4trey 10-14fg 1-1ft
SG,"Iguodala, Andre",31.4,"$4,300",GOLDEN STATE WARRIORS,@ dal, 119-114,29:58,   6pt 7rb 6as 3st 1to 1trey 2-4fg 1-2ft
SG,"Brogdon, Malcolm^",30.8,"$6,200",MILWAUKEE BUCKS,@ atl, 133-114,27:12,   14pt 4rb 4as 2st 1trey 5-13fg 3-4ft
PG,"Mudiay, Emmanuel^",29.8,"$6,000",NEW YORK KNICKS,v phi, 105-108,27:32,   19pt 4rb 4as 1st 3to 1trey 7-17fg 4-4ft
PG,"Ntilikina, Frank",28.4,"$3,700",NEW YORK KNICKS,v phi, 105-108,27:33,   8pt 2rb 6as 2st 1bl 4-11fg 0-2ft
SG,"Ross, Terrence",27.8,"$5,100",ORLANDO MAGIC,v hou, 116-109,28:33,   17pt 4rb 2as 1st 2trey 6-14fg 3-4ft
SG,"Butler, Jimmy^",27.6,"$8,200",PHILADELPHIA 76ERS,@ nyk, 108-105,28:28,   16pt 8rb 2as 1to 7-15fg 2-2ft
PG,"Sexton, Collin^",27.1,"$4,600",CLEVELAND CAVALIERS,@ lal, 101-95,33:26,   17pt 3rb 3as 1st 1to 1trey 7-14fg 2-4ft
SG,"Fournier, Evan^",26,"$5,100",ORLANDO MAGIC,v hou, 116-109,36:52,   19pt 5rb 2as 2to 1trey 6-11fg 6-6ft
SG,"Redick, J.J.^",25.6,"$5,600",PHILADELPHIA 76ERS,@ nyk, 108-105,34:13,   22pt 3rb 2as 3to 3trey 6-13fg 7-8ft
SG,"McCollum, C.J.^",24.1,"$7,000",PORTLAND TRAIL BLAZERS,@ den, 113-116,37:13,   18pt 3rb 3as 2to 4trey 7-19fg
SG,"Beasley, Malik^",23.7,"$3,900",DENVER NUGGETS,v por, 116-113,37:19,   13pt 1rb 3as 2st 1to 3trey 5-9fg
SG,"Hart, Josh^",23.5,"$5,400",LOS ANGELES LAKERS,v cle, 95-101,32:13,   9pt 5rb 1as 1st 2bl 2to 1trey 3-12fg 2-2ft
SG,"Thompson, Klay^",22.3,"$8,100",GOLDEN STATE WARRIORS,@ dal, 119-114,33:53,   16pt 4rb 1as 2trey 7-20fg
SG,"Morris, Monte",21.7,"$4,000",DENVER NUGGETS,v por, 116-113,27:20,   10pt 1rb 3as 2st 5-6fg
PG,"Satoransky, Tomas^",21.4,"$6,400",WASHINGTON WIZARDS,v tor, 138-140,36:13,   4pt 7rb 2as 2st 2-13fg
SG,"Huerter, Kevin^",20.9,"$5,200",ATLANTA HAWKS,v mil, 114-133,37:52,   11pt 2rb 3as 1st 1bl 3to 2trey 3-9fg 3-4ft
PG,"Augustin, D.J.^",20.3,"$4,500",ORLANDO MAGIC,v hou, 116-109,30:43,   9pt 4rb 3as 1st 1to 1trey 3-7fg 2-2ft
PG,"Brunson, Jalen",19.3,"$3,700",DALLAS MAVERICKS,v gsw, 114-119,29:49,   12pt 4rb 1as 1bl 2to 2trey 3-10fg 4-4ft
SG,"Dotson, Damyean^",19.3,"$3,800",NEW YORK KNICKS,v phi, 105-108,36:22,   8pt 4rb 5as 1to 2trey 2-5fg 2-3ft
SG,"Matthews, Wes^",18.9,"$4,600",DALLAS MAVERICKS,v gsw, 114-119,23:29,   8pt 2rb 5as 1bl 2to 2trey 3-11fg
PG,"Hill, George",18.7,"$3,800",MILWAUKEE BUCKS,@ atl, 133-114,26:06,   11pt 1rb 3as 1st 1to 1trey 5-7fg
PG,"Harris, Devin",17.7,"$3,600",DALLAS MAVERICKS,v gsw, 114-119,10:45,   9pt 1rb 3as 1bl 1trey 4-5fg 0-1ft
PG,"Lin, Jeremy",16.9,"$5,200",ATLANTA HAWKS,v mil, 114-133,26:22,   7pt 2rb 5as 1st 3to 2-10fg 3-4ft
