slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,WIN,1183,9,12,0,0,9,9,0,6,1,0,4,1,1,26.1
bartowi01,Will Barton,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,2171,12,25,7,11,1,1,2,8,6,0,0,1,2,25.5
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,LOSS,2244,10,18,3,9,9,11,1,1,9,1,0,6,3,23.7
whiteha01,Hassan Whiteside,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,WIN,2258,10,13,0,0,2,4,3,8,1,2,5,2,3,23.6
evansty01,Tyreke Evans,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,WIN,1968,7,13,1,2,6,8,1,7,10,1,1,2,3,22.2
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,WIN,2381,10,17,2,6,4,4,0,3,7,2,0,3,4,21.3
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1519,10,17,0,3,3,4,0,5,4,3,1,2,0,20.7
boshch01,Chris Bosh,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,WIN,1852,11,19,3,7,4,5,0,6,4,2,0,5,2,20.5
lopezbr01,Brook Lopez,BROOKLYN NETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2376,8,11,0,1,4,5,2,10,5,1,2,4,3,20.2
dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,AWAY,BROOKLYN NETS,WIN,2178,9,12,0,0,2,2,0,10,3,1,1,1,4,19.4
fournev01,Evan Fournier,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,2103,5,8,1,3,6,6,1,2,4,2,0,0,1,19.1
rondora01,Rajon Rondo,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,2324,8,13,1,4,2,2,0,2,13,1,1,5,1,19.1
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,BROOKLYN NETS,WIN,1687,10,19,0,0,4,4,3,7,1,1,2,2,3,18.8
korveky01,Kyle Korver,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,2093,6,8,6,8,1,2,0,2,5,1,0,1,2,18.7
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,WIN,1484,7,13,2,5,5,8,0,3,5,2,1,1,3,18.4
farieke01,Kenneth Faried,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,1454,8,14,0,1,5,7,9,4,0,0,0,1,5,18.1
vucevni01,Nikola Vucevic,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,2027,10,19,0,0,0,0,4,7,4,1,0,1,2,17.6
gordoer01,Eric Gordon,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,WIN,1902,6,11,4,7,4,5,1,2,3,0,1,1,1,17.0
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,AWAY,BROOKLYN NETS,WIN,1677,1,6,0,1,6,7,0,2,15,4,0,2,1,16.5
cartemi01,Michael Carter-Williams,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,WIN,2138,9,16,0,1,2,4,1,8,6,1,1,3,3,16.4
dellama01,Matthew Dellavedova,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1368,7,10,4,6,2,2,0,0,2,2,2,4,1,16.2
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,2121,10,24,0,1,8,8,2,5,1,2,0,3,4,16.2
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,WIN,1642,6,11,0,0,6,9,1,1,7,2,0,2,3,16.2
pattepa01,Patrick Patterson,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,2003,6,12,4,8,2,2,1,7,1,3,0,1,4,15.9
aminual01,Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,LOSS,1933,6,9,4,7,0,0,1,3,2,3,0,2,3,14.9
gayru01,Rudy Gay,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,2431,7,17,1,5,4,4,1,8,1,3,1,2,2,14.6
couside01,DeMarcus Cousins,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,1896,5,13,1,1,4,8,1,8,5,2,4,2,3,14.5
gallida01,Danilo Gallinari,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,1374,3,10,1,2,11,12,0,2,3,0,0,0,0,14.5
casspom01,Omri Casspi,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,2053,6,8,3,4,0,1,0,11,3,1,0,3,2,14.0
foyera01,Randy Foye,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,1268,6,10,5,7,0,0,0,2,3,1,0,1,3,13.9
