slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
perkike01,Kendrick Perkins,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,1599,1,3,0,0,1,2,1,10,2,0,1,3,3,2.5
turneev01,Evan Turner,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,2037,6,16,0,2,1,2,0,2,1,2,0,3,4,2.5
babbilu01,Luke Babbitt,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,751,1,4,1,4,1,1,0,3,0,1,0,0,3,2.3
davisan02,Anthony Davis,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1637,4,11,0,0,0,2,3,4,0,0,1,2,2,2.3
hayesch01,Chuck Hayes,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,1008,1,5,0,0,0,0,1,1,2,1,0,0,0,2.3
ilyaser01,Ersan Ilyasova,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,1444,1,5,1,2,0,0,3,7,1,0,1,2,3,2.3
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,1412,2,6,0,2,0,0,0,5,0,1,0,0,2,2.3
milescj01,C.J. Miles,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1724,4,13,1,7,3,3,0,2,0,0,0,2,2,2.3
foyera01,Randy Foye,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1233,1,4,0,1,2,3,0,1,2,0,0,0,2,2.1
landrca01,Carl Landry,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1665,3,7,0,0,1,2,1,6,1,2,0,4,5,2.1
mohamna01,Nazr Mohammed,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,675,0,2,0,0,2,2,1,2,0,1,0,0,2,2.1
bledser01,Eric Bledsoe,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1242,0,7,0,1,2,2,2,3,2,3,0,1,2,2.0
evansje01,Jeremy Evans,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,254,0,0,0,0,1,2,0,0,1,0,1,0,0,2.0
acyqu01,Quincy Acy,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,294,0,0,0,0,2,2,0,0,0,0,1,0,2,1.9
beaslmi01,Michael Beasley,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,404,1,4,0,0,0,0,1,3,0,0,1,0,0,1.9
beaubro01,Rodrigue Beaubois,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,803,1,4,1,2,0,0,0,1,1,0,1,0,1,1.9
belinma01,Marco Belinelli,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,1075,1,3,0,1,0,0,0,0,2,0,0,0,0,1.7
morrima03,Marcus Morris,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,1289,2,7,1,3,0,0,0,4,0,1,0,1,1,1.7
tylerje01,Jeremy Tyler,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,80,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
westda01,David West,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,2061,3,13,0,0,2,2,1,5,1,1,1,3,0,1.7
bazemke01,Kent Bazemore,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,85,0,0,0,0,2,2,0,0,0,0,0,0,1,1.6
butleji01,Jimmy Butler,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,560,0,0,0,0,0,0,0,3,1,0,0,0,0,1.6
anthojo01,Joel Anthony,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,697,0,1,0,0,2,4,1,1,0,0,0,0,0,1.5
hawessp01,Spencer Hawes,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,1453,3,11,0,1,0,0,2,5,3,0,1,3,2,1.4
jenkich01,Charles Jenkins,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,291,1,2,0,0,0,0,0,1,0,1,0,1,0,1.3
carrode01,DeMarre Carroll,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,766,1,6,0,0,0,0,3,4,0,0,1,1,0,1.2
collija04,Jason Collins,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,1098,1,1,0,0,0,0,0,1,0,1,0,1,2,1.2
ellinwa01,Wayne Ellington,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,1150,2,5,1,2,0,0,0,1,0,1,0,2,1,1.2
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,88,0,0,0,0,2,2,0,0,0,0,0,0,2,1.2
richaja01,Jason Richardson,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,1116,2,4,0,1,0,0,0,2,0,0,0,1,1,1.2
