team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,41,87,6,22,14,14,10,24,23,7,3,11,19
ATLANTA HAWKS,240,42,82,7,19,20,23,13,33,22,7,4,12,20
ORLANDO MAGIC,240,32,78,5,21,21,28,7,33,19,6,7,11,23
CHICAGO BULLS,240,37,87,8,18,17,23,16,38,25,7,2,11,23
DENVER NUGGETS,240,41,86,10,23,25,35,13,34,23,6,4,10,23
CLEVELAND CAVALIERS,240,40,88,8,26,15,23,11,34,27,4,6,13,27
CHARLOTTE BOBCATS,265,46,90,10,26,19,31,17,24,32,13,6,16,20
GOLDEN STATE WARRIORS,265,41,88,11,25,20,23,16,33,26,12,4,18,24
NEW JERSEY NETS,240,35,73,3,7,19,25,6,25,21,3,2,14,22
INDIANA PACERS,240,50,80,12,22,12,21,7,29,31,7,6,9,25
SACRAMENTO KINGS,240,42,82,4,11,12,18,15,27,21,8,3,16,19
LOS ANGELES LAKERS,240,33,80,7,23,22,26,15,21,20,5,4,13,19
DETROIT PISTONS,240,35,92,8,24,9,11,17,26,22,5,6,6,18
MIAMI HEAT,240,33,73,5,24,17,22,9,33,18,3,5,9,16
WASHINGTON WIZARDS,290,46,108,6,18,19,28,13,30,18,7,1,7,24
OKLAHOMA CITY THUNDER,290,44,89,5,21,31,41,13,42,27,3,5,16,20
MEMPHIS GRIZZLIES,240,37,82,1,5,24,26,15,26,19,13,9,14,15
PHILADELPHIA 76ERS,240,35,76,13,20,11,15,11,22,22,7,6,19,24
BOSTON CELTICS,240,27,79,2,18,15,23,8,32,14,13,4,17,19
PHOENIX SUNS,240,32,74,6,17,18,26,6,39,23,7,5,18,21
MILWAUKEE BUCKS,265,42,76,6,15,26,35,7,33,24,6,8,16,28
TORONTO RAPTORS,265,43,92,1,10,23,28,13,27,27,9,2,12,26
MINNESOTA TIMBERWOLVES,240,36,77,8,20,20,24,9,36,21,4,8,25,22
UTAH JAZZ,240,41,93,6,18,20,26,16,27,29,20,2,10,18
