team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,45,98,10,31,22,38,26,31,27,8,4,13,24
ATLANTA HAWKS,240,48,92,12,36,22,28,11,33,29,7,7,11,26
TORONTO RAPTORS,240,44,105,15,38,12,14,17,35,29,9,1,7,16
BROOKLYN NETS,240,41,86,10,32,13,21,9,44,23,3,2,14,19
MINNESOTA TIMBERWOLVES,240,42,86,10,27,16,20,5,33,26,6,3,8,25
DALLAS MAVERICKS,240,43,94,7,39,15,19,12,37,26,2,5,13,20
SAN ANTONIO SPURS,240,31,81,5,27,18,25,11,27,15,9,7,11,14
DENVER NUGGETS,240,47,87,12,33,7,12,8,39,41,6,3,14,20
INDIANA PACERS,240,43,92,6,21,16,22,10,34,31,9,4,11,18
DETROIT PISTONS,240,31,80,11,41,16,24,11,35,21,6,5,18,25
HOUSTON ROCKETS,240,47,88,18,38,23,29,12,36,22,6,7,16,29
LOS ANGELES CLIPPERS,240,38,82,8,26,19,31,9,29,27,11,2,16,22
BOSTON CELTICS,240,38,80,9,24,27,31,6,36,25,8,7,11,21
MIAMI HEAT,240,39,95,12,36,12,20,16,31,25,6,5,15,23
CHARLOTTE HORNETS,240,38,90,12,34,27,32,11,37,19,13,5,11,15
NEW ORLEANS PELICANS,240,40,85,15,41,14,17,7,41,25,7,4,19,27
NEW YORK KNICKS,240,38,85,6,27,18,21,8,31,21,10,5,12,18
ORLANDO MAGIC,240,45,99,11,32,13,20,19,36,29,5,7,13,16
UTAH JAZZ,240,44,77,16,32,14,18,7,38,30,2,9,20,16
PHOENIX SUNS,240,42,91,5,21,8,13,9,22,21,7,3,10,23
MEMPHIS GRIZZLIES,240,31,80,11,33,16,19,4,28,20,10,9,13,16
PORTLAND TRAIL BLAZERS,240,48,94,10,31,10,16,14,40,28,9,3,13,14
CHICAGO BULLS,240,48,90,5,19,14,17,9,40,22,7,5,20,23
WASHINGTON WIZARDS,240,45,97,5,27,19,26,9,30,24,8,9,12,18
