team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,38,83,6,16,18,20,10,49,22,4,6,16,23
DALLAS MAVERICKS,240,35,92,6,24,20,24,9,31,22,7,3,7,20
ATLANTA HAWKS,240,41,94,12,34,19,23,10,27,22,5,4,15,16
LOS ANGELES LAKERS,240,48,86,16,36,20,25,6,43,32,13,6,18,25
UTAH JAZZ,240,37,82,10,32,18,20,8,36,15,6,5,11,18
MIAMI HEAT,240,40,83,9,29,14,20,8,29,21,6,6,8,16
OKLAHOMA CITY THUNDER,240,40,86,8,27,12,21,8,34,23,7,7,11,17
PHOENIX SUNS,240,39,88,17,39,19,23,12,31,24,6,6,7,19
SAN ANTONIO SPURS,240,40,81,11,23,19,26,10,32,26,4,5,14,16
PORTLAND TRAIL BLAZERS,240,48,92,8,23,7,10,9,29,19,7,5,9,24
