team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,38,77,5,11,14,20,8,34,21,10,8,15,27
CLEVELAND CAVALIERS,240,33,79,3,14,22,33,11,31,20,5,4,13,17
PHOENIX SUNS,265,45,102,10,27,10,17,13,33,29,8,5,11,23
INDIANA PACERS,265,39,87,11,23,19,23,12,40,19,7,10,17,15
NEW YORK KNICKS,240,31,80,8,30,21,23,8,35,17,6,5,16,20
MIAMI HEAT,240,32,74,6,22,16,22,6,36,20,9,3,18,18
GOLDEN STATE WARRIORS,240,44,96,13,32,22,24,14,26,21,13,9,13,24
MINNESOTA TIMBERWOLVES,240,42,94,12,25,30,37,25,36,23,9,5,19,23
HOUSTON ROCKETS,240,31,74,11,26,18,21,13,28,17,7,2,16,18
NEW ORLEANS HORNETS,240,37,78,4,13,11,14,10,27,25,8,8,11,19
LOS ANGELES LAKERS,240,37,76,4,15,12,18,9,27,19,7,5,13,13
OKLAHOMA CITY THUNDER,240,34,76,6,16,13,16,12,27,17,11,7,19,15
CHARLOTTE BOBCATS,240,34,85,5,16,13,18,13,26,14,9,2,12,22
ORLANDO MAGIC,240,35,68,10,28,20,32,4,34,26,7,6,13,15
ATLANTA HAWKS,240,29,69,8,21,24,27,15,34,16,10,6,24,22
PORTLAND TRAIL BLAZERS,240,32,82,4,21,15,21,14,20,14,13,2,14,22
MEMPHIS GRIZZLIES,240,33,89,5,11,17,19,18,24,20,9,6,11,26
SAN ANTONIO SPURS,240,30,65,9,21,26,33,6,34,22,7,10,15,20
DALLAS MAVERICKS,240,45,93,8,24,16,22,11,29,28,4,3,6,11
TORONTO RAPTORS,240,41,84,5,14,9,12,10,29,28,6,8,12,22
