team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,37,79,10,24,9,18,5,42,19,2,3,20,21
CHARLOTTE HORNETS,240,33,96,7,31,18,28,13,38,18,9,3,6,21
UTAH JAZZ,240,37,81,17,34,9,14,11,27,24,9,7,12,14
CLEVELAND CAVALIERS,240,42,79,10,22,15,17,8,33,30,9,1,12,15
MILWAUKEE BUCKS,240,38,82,8,27,27,33,8,32,17,12,7,14,34
HOUSTON ROCKETS,240,35,76,11,35,34,42,4,34,16,7,4,15,23
BOSTON CELTICS,240,39,80,14,30,10,14,14,28,21,6,6,16,19
MEMPHIS GRIZZLIES,240,32,79,14,34,15,17,10,28,18,8,3,13,19
LOS ANGELES CLIPPERS,240,35,80,8,28,7,14,12,34,18,3,5,17,22
MIAMI HEAT,240,31,82,12,35,16,21,9,28,22,10,8,8,15
PHOENIX SUNS,240,33,72,11,24,31,35,13,39,22,4,3,23,21
MINNESOTA TIMBERWOLVES,240,40,95,9,27,17,24,10,21,21,14,8,6,19
OKLAHOMA CITY THUNDER,240,36,85,12,27,12,20,16,26,18,9,7,14,22
NEW YORK KNICKS,240,38,69,14,23,21,26,6,29,21,9,3,13,22
DALLAS MAVERICKS,240,39,80,10,28,8,9,4,34,23,4,4,9,16
SAN ANTONIO SPURS,240,39,86,5,25,15,18,9,32,14,5,2,7,14
