team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,35,75,7,13,20,25,12,32,17,8,3,13,24
BROOKLYN NETS,240,36,85,8,22,22,28,18,29,19,7,7,11,18
MIAMI HEAT,240,36,77,13,27,13,16,5,24,24,5,9,11,14
DENVER NUGGETS,240,37,88,6,20,13,19,21,27,19,6,7,13,20
NEW YORK KNICKS,240,39,86,11,26,15,23,10,31,17,6,6,7,19
SAN ANTONIO SPURS,240,38,87,8,29,16,21,13,35,21,4,7,10,20
