team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,30,89,7,25,21,24,11,28,22,6,0,12,25
CHICAGO BULLS,240,37,78,7,14,17,26,14,39,23,4,9,18,26
PHOENIX SUNS,240,45,84,13,23,30,39,11,39,29,4,0,22,25
GOLDEN STATE WARRIORS,240,46,92,9,27,30,37,8,27,24,11,5,12,29
ATLANTA HAWKS,240,41,78,7,17,6,13,7,29,15,4,7,8,17
MILWAUKEE BUCKS,240,37,83,10,27,14,17,13,30,19,4,2,8,14
TORONTO RAPTORS,240,41,83,6,20,18,24,12,30,29,6,1,14,18
MINNESOTA TIMBERWOLVES,240,37,80,6,16,20,22,8,27,23,9,4,12,19
MIAMI HEAT,240,41,74,3,12,14,22,8,33,28,8,5,8,22
NEW JERSEY NETS,240,27,72,5,9,30,38,13,29,19,4,3,13,16
DALLAS MAVERICKS,240,42,81,8,16,7,13,11,25,22,4,6,18,18
NEW ORLEANS HORNETS,240,45,83,12,24,13,17,8,29,33,9,3,10,15
SAN ANTONIO SPURS,240,37,85,8,25,17,24,8,30,18,3,2,9,22
OKLAHOMA CITY THUNDER,240,33,73,2,13,28,32,7,32,16,5,8,12,23
ORLANDO MAGIC,240,36,69,16,31,21,30,6,34,20,3,4,12,15
PHILADELPHIA 76ERS,240,36,84,6,14,15,22,15,25,23,9,0,8,22
MEMPHIS GRIZZLIES,240,38,84,6,12,20,32,14,34,17,9,5,11,11
SACRAMENTO KINGS,240,36,88,3,16,10,14,14,29,19,6,8,14,23
BOSTON CELTICS,240,33,74,6,19,25,33,11,26,15,9,6,18,23
UTAH JAZZ,240,38,74,7,21,27,31,8,32,25,9,5,18,28
