team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,37,98,7,24,13,20,14,35,22,7,6,13,22
BROOKLYN NETS,240,38,87,10,33,17,20,12,40,20,6,4,16,23
HOUSTON ROCKETS,240,33,70,15,32,25,31,5,36,21,6,1,18,22
DALLAS MAVERICKS,240,35,80,8,29,20,24,6,28,13,11,2,9,21
ORLANDO MAGIC,240,33,95,8,26,8,12,14,30,20,8,3,9,13
DETROIT PISTONS,240,48,95,7,19,5,6,9,44,27,8,4,12,11
CHARLOTTE HORNETS,240,35,92,7,22,20,24,13,36,20,10,9,8,20
MIAMI HEAT,240,32,86,14,34,13,20,11,41,19,2,4,19,23
GOLDEN STATE WARRIORS,240,44,91,9,28,25,28,9,40,32,8,2,14,22
NEW ORLEANS PELICANS,240,47,100,5,22,15,23,12,37,29,8,5,13,24
PHOENIX SUNS,265,42,94,5,28,21,32,7,37,15,11,3,15,29
OKLAHOMA CITY THUNDER,265,40,96,5,21,28,38,14,43,13,11,3,22,24
CLEVELAND CAVALIERS,240,33,79,12,32,16,22,9,31,20,8,3,17,15
TORONTO RAPTORS,240,35,90,4,16,17,18,18,33,12,9,3,18,20
LOS ANGELES LAKERS,240,32,84,9,23,16,21,11,32,16,6,7,14,29
UTAH JAZZ,240,31,75,6,25,28,40,13,34,14,4,7,14,18
