team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,44,86,14,33,12,23,10,36,25,9,9,12,18
BROOKLYN NETS,240,39,89,5,17,15,23,11,35,21,8,2,13,18
LOS ANGELES LAKERS,240,32,80,5,18,22,29,8,31,12,6,4,15,21
DETROIT PISTONS,240,41,93,9,24,20,26,17,44,20,11,1,16,21
PHOENIX SUNS,240,36,82,9,31,12,17,11,36,20,8,5,18,24
MEMPHIS GRIZZLIES,240,36,90,5,15,18,24,15,31,23,8,5,12,16
SACRAMENTO KINGS,240,35,88,7,24,18,30,13,28,20,11,5,14,20
OKLAHOMA CITY THUNDER,240,35,86,6,22,22,31,19,43,18,8,6,21,22
DALLAS MAVERICKS,240,38,76,16,31,24,27,6,44,25,5,4,16,17
WASHINGTON WIZARDS,240,42,89,8,27,12,21,6,25,22,9,0,6,22
