team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS PELICANS,240,38,90,11,32,17,25,9,41,16,12,4,16,16
BROOKLYN NETS,240,40,97,9,42,6,11,7,43,22,10,6,16,20
INDIANA PACERS,240,44,94,12,29,12,13,12,22,26,9,4,16,15
DENVER NUGGETS,240,52,90,15,32,21,23,12,35,37,10,5,15,16
DETROIT PISTONS,240,43,88,6,28,15,20,9,31,20,10,4,19,19
GOLDEN STATE WARRIORS,240,50,89,15,29,12,18,6,31,39,14,4,18,14
CHICAGO BULLS,240,35,89,3,18,16,21,14,29,20,5,4,12,12
NEW YORK KNICKS,240,44,92,7,23,9,11,17,31,21,3,7,12,17
DALLAS MAVERICKS,240,43,89,15,34,12,17,8,24,29,11,7,9,20
PHOENIX SUNS,240,38,78,10,18,22,27,13,34,15,2,4,19,23
LOS ANGELES LAKERS,240,35,85,6,20,18,25,9,20,23,6,3,9,25
SAN ANTONIO SPURS,240,49,81,10,21,26,29,7,39,32,5,5,12,20
