team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,44,89,7,17,15,17,14,30,27,7,3,14,17
DETROIT PISTONS,240,44,82,2,8,16,20,6,24,21,8,4,14,18
DALLAS MAVERICKS,240,30,81,2,13,21,25,8,36,16,3,5,11,23
INDIANA PACERS,240,39,83,6,16,19,31,10,36,23,11,5,8,15
PHOENIX SUNS,240,45,92,5,14,7,15,12,26,27,8,8,15,25
LOS ANGELES LAKERS,240,42,89,8,21,22,28,17,31,25,7,9,11,15
NEW YORK KNICKS,240,37,72,5,19,16,21,10,24,18,7,6,13,26
MEMPHIS GRIZZLIES,240,37,76,5,15,26,32,12,23,15,7,6,14,24
GOLDEN STATE WARRIORS,240,43,85,2,15,18,26,17,33,21,3,5,15,26
MINNESOTA TIMBERWOLVES,240,34,79,7,18,23,29,11,23,19,6,12,12,23
OKLAHOMA CITY THUNDER,240,40,74,14,29,16,20,7,29,31,7,7,13,24
NEW ORLEANS HORNETS,240,33,78,7,12,22,28,15,25,23,7,4,11,20
UTAH JAZZ,240,36,81,7,22,14,18,10,30,23,8,6,11,15
PHILADELPHIA 76ERS,240,40,87,10,18,9,10,11,32,20,5,7,10,19
HOUSTON ROCKETS,265,41,88,9,25,26,31,16,31,24,9,3,18,29
PORTLAND TRAIL BLAZERS,265,44,86,10,25,21,29,10,27,21,4,8,15,24
ATLANTA HAWKS,240,42,76,8,15,20,27,10,32,24,8,5,15,14
SACRAMENTO KINGS,240,39,85,8,20,10,14,10,27,25,11,0,14,22
