team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,38,78,7,20,16,22,8,31,15,7,5,14,21
DETROIT PISTONS,240,34,84,5,18,20,30,18,30,15,9,4,15,17
NEW YORK KNICKS,240,36,80,10,27,8,9,8,29,27,6,8,15,17
INDIANA PACERS,240,41,80,6,19,14,20,8,33,26,10,3,13,10
MEMPHIS GRIZZLIES,240,35,86,5,20,9,14,13,25,16,5,1,16,18
LOS ANGELES CLIPPERS,240,41,75,12,25,16,21,8,33,29,11,7,9,19
OKLAHOMA CITY THUNDER,265,35,87,6,25,22,25,18,37,18,7,5,21,23
SAN ANTONIO SPURS,265,37,87,4,14,24,32,11,31,15,12,8,11,22
PHILADELPHIA 76ERS,240,35,77,15,35,13,25,7,25,24,8,6,13,18
TORONTO RAPTORS,240,48,95,10,25,16,19,16,36,25,11,5,13,20
