team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,38,82,6,9,15,19,14,27,19,7,6,16,24
CHICAGO BULLS,240,34,75,12,23,23,30,11,21,23,9,8,11,17
OKLAHOMA CITY THUNDER,240,41,86,11,25,16,24,8,35,17,5,4,15,15
GOLDEN STATE WARRIORS,240,48,94,12,31,6,10,10,29,32,9,7,9,15
NEW ORLEANS PELICANS,240,38,82,5,18,18,22,12,33,21,4,8,12,17
HOUSTON ROCKETS,240,33,86,6,25,18,23,12,31,19,8,4,11,18
MILWAUKEE BUCKS,240,37,75,13,23,21,27,5,22,24,7,2,16,26
SACRAMENTO KINGS,240,38,67,6,14,25,33,4,31,24,5,0,21,23
