team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,16,65,4,16,20,30,11,33,12,5,6,23,16
BOSTON CELTICS,240,33,78,2,13,19,19,8,38,21,13,9,15,21
NEW JERSEY NETS,240,37,77,7,19,14,21,9,23,23,3,1,11,18
CHICAGO BULLS,240,43,75,7,19,17,23,12,31,33,3,4,10,18
PHOENIX SUNS,240,31,83,6,20,19,22,17,35,22,9,4,19,19
DALLAS MAVERICKS,240,33,81,8,25,19,29,12,30,23,11,5,12,17
MEMPHIS GRIZZLIES,240,36,85,2,13,17,23,15,26,18,14,4,18,13
GOLDEN STATE WARRIORS,240,38,76,9,25,5,8,8,31,24,11,6,24,22
ATLANTA HAWKS,240,38,83,3,11,18,21,7,38,19,8,3,12,18
MILWAUKEE BUCKS,240,37,92,5,17,13,17,13,35,25,6,6,13,17
HOUSTON ROCKETS,240,39,86,7,21,22,28,9,33,20,11,3,12,23
MINNESOTA TIMBERWOLVES,240,33,80,5,12,21,27,7,33,22,9,1,20,20
SAN ANTONIO SPURS,240,41,75,7,16,15,20,4,23,28,8,1,10,10
NEW ORLEANS HORNETS,240,42,83,6,12,12,13,11,29,20,8,7,14,14
DETROIT PISTONS,240,28,82,4,14,19,27,11,27,14,10,1,9,11
OKLAHOMA CITY THUNDER,240,41,77,7,16,10,14,9,42,21,4,10,19,22
WASHINGTON WIZARDS,240,32,74,0,7,19,27,9,29,15,3,5,9,17
PHILADELPHIA 76ERS,240,43,83,6,16,11,20,9,37,30,8,3,6,19
SACRAMENTO KINGS,240,32,80,7,18,18,25,11,25,23,8,3,13,22
PORTLAND TRAIL BLAZERS,240,41,88,7,19,12,21,19,34,22,6,2,17,22
