team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,31,73,3,8,19,26,11,35,11,1,3,15,19
DALLAS MAVERICKS,240,30,78,6,20,22,27,10,32,21,7,7,8,24
CLEVELAND CAVALIERS,240,35,83,3,7,16,22,10,37,15,5,6,12,17
INDIANA PACERS,240,35,80,12,27,18,21,7,37,21,7,6,13,21
CHICAGO BULLS,240,34,86,4,20,19,26,14,32,20,11,7,13,19
LOS ANGELES LAKERS,240,32,81,10,25,24,27,10,28,19,9,9,12,18
ATLANTA HAWKS,265,41,89,9,15,10,13,13,32,26,4,3,13,25
NEW JERSEY NETS,265,38,80,6,19,25,33,9,35,23,4,2,10,16
CHARLOTTE BOBCATS,240,44,90,6,15,13,18,15,27,19,13,3,18,22
NEW YORK KNICKS,240,38,73,10,25,24,25,5,26,18,10,9,20,20
PHILADELPHIA 76ERS,265,43,93,6,13,22,31,14,34,29,8,6,15,21
WASHINGTON WIZARDS,265,43,98,10,23,20,26,15,30,25,8,7,15,21
