team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,41,88,11,30,21,26,9,25,26,6,4,17,21
BROOKLYN NETS,240,47,90,10,24,27,31,14,38,23,12,3,12,20
BOSTON CELTICS,240,36,94,8,31,18,22,17,33,23,6,3,13,21
INDIANA PACERS,240,39,84,5,12,20,28,11,34,18,9,7,13,18
SACRAMENTO KINGS,240,38,79,4,18,26,33,5,36,26,17,8,16,17
LOS ANGELES LAKERS,240,37,84,5,26,19,26,10,39,20,10,5,22,23
TORONTO RAPTORS,240,39,83,14,30,15,17,13,35,27,4,8,9,23
MILWAUKEE BUCKS,240,34,77,2,13,19,26,10,27,18,8,3,7,16
DENVER NUGGETS,240,40,80,9,24,21,24,7,30,23,8,1,16,19
ORLANDO MAGIC,240,44,81,8,25,20,25,6,29,28,7,4,13,20
LOS ANGELES CLIPPERS,240,32,69,8,19,15,22,5,22,15,5,4,13,17
SAN ANTONIO SPURS,240,44,82,8,20,12,16,12,30,25,6,4,10,21
