team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,46,90,17,32,14,18,12,30,29,6,1,10,21
ATLANTA HAWKS,240,39,77,12,32,20,22,4,25,26,5,4,9,16
NEW YORK KNICKS,240,28,87,3,17,14,21,9,35,16,4,4,14,17
BOSTON CELTICS,240,40,83,11,26,12,20,5,44,27,8,3,9,22
PHILADELPHIA 76ERS,240,36,76,7,18,29,34,6,27,17,7,5,8,21
BROOKLYN NETS,240,39,77,13,32,25,28,9,30,19,3,9,11,26
MIAMI HEAT,240,36,83,3,28,14,25,6,46,17,8,5,19,25
CLEVELAND CAVALIERS,240,28,80,6,26,29,38,7,38,18,9,5,16,20
MEMPHIS GRIZZLIES,240,39,82,12,26,11,15,14,27,20,10,1,18,21
INDIANA PACERS,240,37,70,10,26,21,31,8,25,20,16,4,14,15
LOS ANGELES LAKERS,240,39,83,4,20,23,30,11,32,18,7,1,16,18
ORLANDO MAGIC,240,44,81,18,32,21,29,4,31,28,13,4,14,23
DALLAS MAVERICKS,240,32,88,10,36,14,26,15,34,18,11,4,12,18
PHOENIX SUNS,240,40,83,11,30,11,15,8,39,23,9,3,17,29
CHICAGO BULLS,240,41,99,13,34,13,22,12,24,19,10,4,6,16
PORTLAND TRAIL BLAZERS,240,46,82,15,32,17,20,5,43,21,3,6,17,19
