team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,39,83,7,19,15,18,7,28,24,15,5,13,18
ATLANTA HAWKS,240,39,79,13,34,14,16,8,36,27,8,8,21,18
MIAMI HEAT,240,34,75,12,31,15,19,11,30,23,9,11,16,19
DALLAS MAVERICKS,240,33,86,8,29,14,16,11,29,20,10,3,12,22
BOSTON CELTICS,240,43,91,17,36,8,10,10,30,28,4,6,9,19
DENVER NUGGETS,240,42,93,10,33,16,21,15,32,31,4,3,10,14
CHARLOTTE HORNETS,240,37,83,9,31,13,20,11,29,18,5,2,16,14
INDIANA PACERS,240,45,83,6,21,9,11,6,32,28,7,3,12,19
PHOENIX SUNS,240,38,82,7,23,26,36,15,22,20,11,2,19,20
MEMPHIS GRIZZLIES,240,47,83,11,22,15,18,12,26,29,7,9,20,27
PHILADELPHIA 76ERS,240,36,82,2,26,21,23,10,33,22,5,4,14,17
MILWAUKEE BUCKS,240,38,80,11,28,20,22,8,34,26,6,8,9,19
