position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Lowry, Kyle^",61.3,$40,TORONTO RAPTORS,@ lal, 123-114,39:02,   41pt 9rb 7as 4to 6trey 12-16fg 11-11ft
SG,"McCollum, C.J.^",60,$35,PORTLAND TRAIL BLAZERS,@ min, 95-89,39:14,   43pt 5rb 3as 3st 1bl 3to 3trey 16-25fg 8-9ft
PG,"Russell, D'Angelo^",45.3,$22,LOS ANGELES LAKERS,v tor, 114-123,30:58,   28pt 4rb 5as 1st 6trey 9-18fg 4-6ft
SG,"Caldwell-Pope, Kentavious^",41.7,$19,DETROIT PISTONS,@ mia, 107-98,39:36,   23pt 6rb 5as 2st 2to 4trey 9-15fg 1-2ft
SG,"DeRozan, DeMar^",39.7,$40,TORONTO RAPTORS,@ lal, 123-114,35:18,   31pt 1rb 3as 1st 1bl 1to 10-25fg 11-13ft
SG,"Korver, Kyle",35.6,$11,ATLANTA HAWKS,v sas, 114-112,39:25,   14pt 8rb 4as 1st 1bl 4trey 5-12fg
PG,"Jackson, Reggie^",35.4,$18,DETROIT PISTONS,@ mia, 107-98,32:39,   27pt 2rb 4as 1st 3to 2trey 10-17fg 5-5ft
PG,"Parker, Tony^",34.1,$11,SAN ANTONIO SPURS,@ atl, 112-114,31:35,   22pt 3rb 6as 1to 1trey 10-18fg 1-2ft
SG,"Young, Nick^",33.9,$16,LOS ANGELES LAKERS,v tor, 114-123,30:20,   26pt 2rb 2st 2to 7trey 8-14fg 3-3ft
PG,"Schroder, Dennis^",32.4,$29,ATLANTA HAWKS,v sas, 114-112,33:25,   16pt 2rb 10as 1bl 3to 7-17fg 2-3ft
PG,"Teague, Jeff^",30.1,$33,INDIANA PACERS,v orl, 117-104,27:12,   12pt 3rb 9as 1st 1bl 3to 5-9fg 2-2ft
SG,"Ellington, Wayne^",29.3,$10,MIAMI HEAT,v det, 98-107,37:15,   18pt 4rb 3as 4trey 7-15fg
PG,"Dunn, Kris",27.1,$10,MINNESOTA TIMBERWOLVES,v por, 89-95,21:15,   11pt 3rb 4as 1st 3bl 2to 1trey 5-7fg
PG,"Johnson, Tyler",25.2,$21,MIAMI HEAT,v det, 98-107,28:58,   11pt 1rb 5as 1st 2bl 1to 1trey 3-10fg 4-5ft
PG,"Brooks, Aaron",22.4,$10,INDIANA PACERS,v orl, 117-104,17:53,   14pt 2rb 2as 1bl 2trey 6-9fg
SG,"Green, Danny^",22.2,$10,SAN ANTONIO SPURS,@ atl, 112-114,31:21,   9pt 6rb 3as 3trey 3-8fg
SG,"Ginobili, Manu",21.6,$10,SAN ANTONIO SPURS,@ atl, 112-114,20:45,   10pt 3rb 3as 2st 1to 1trey 2-5fg 5-5ft
SG,"Crabbe, Allen^",21.6,$10,PORTLAND TRAIL BLAZERS,@ min, 95-89,40:04,   10pt 8rb 1as 1bl 2to 1trey 4-10fg 1-2ft
SG,"Muhammad, Shabazz",20.2,$10,MINNESOTA TIMBERWOLVES,v por, 89-95,22:42,   12pt 6rb 1st 2to 2trey 5-11fg
SG,"Robinson III, Glenn^",19.6,$10,INDIANA PACERS,v orl, 117-104,32:16,   9pt 8rb 1as 1to 1trey 2-6fg 4-4ft
SG,"LaVine, Zach^",19.1,$27,MINNESOTA TIMBERWOLVES,v por, 89-95,35:40,   13pt 3rb 1as 1st 2to 2trey 5-12fg 1-3ft
SG,"Ellis, Monta",18.8,$15,INDIANA PACERS,v orl, 117-104,15:44,   4pt 4rb 4as 1st 1bl 2-3fg
PG,"Joseph, Cory",18.7,$10,TORONTO RAPTORS,@ lal, 123-114,27:03,   8pt 1rb 7as 1bl 3to 4-6fg
SG,"Meeks, Jodie^",18.1,$10,ORLANDO MAGIC,@ ind, 104-117,29:46,   11pt 3rb 2as 1to 3trey 3-9fg 2-2ft
PG,"Watson, C.J.",17.8,$10,ORLANDO MAGIC,@ ind, 104-117,18:45,   3pt 4rb 5as 1st 1trey 1-6fg
SG,"Ross, Terrence",17.5,$10,TORONTO RAPTORS,@ lal, 123-114,23:46,   11pt 5rb 1to 3trey 4-9fg
PG,"Payton, Elfrid",15.1,$21,ORLANDO MAGIC,@ ind, 104-117,28:54,   2pt 3rb 7as 1bl 3to 1-8fg
SG,"Bazemore, Kent^",14.9,$17,ATLANTA HAWKS,v sas, 114-112,19:06,   8pt 2rb 2st 1trey 3-10fg 1-4ft
SG,"McGruder, Rodney^",14.8,$10,MIAMI HEAT,v det, 98-107,33:07,   8pt 4rb 1as 1st 2to 1trey 3-8fg 1-1ft
PG,"Rubio, Ricky^",14,$20,MINNESOTA TIMBERWOLVES,v por, 89-95,26:45,   1pt 6as 2st 0-5fg 1-1ft
PG,"Delaney, Malcolm",11.8,$10,ATLANTA HAWKS,v sas, 114-112,19:35,   4pt 4rb 4as 3to 2-5fg
PG,"Augustin, D.J.^",11,$10,ORLANDO MAGIC,@ ind, 104-117,14:42,   5pt 3as 1st 1to 1trey 2-6fg
SG,"Williams, Louis",10.5,$25,LOS ANGELES LAKERS,v tor, 114-123,17:02,   8pt 1as 2trey 3-11fg 0-2ft
PG,"Mills, Patty",10,$15,SAN ANTONIO SPURS,@ atl, 112-114,21:14,   5pt 3as 1trey 2-8fg
PG,"Smith, Ishmael",9.8,$12,DETROIT PISTONS,@ mia, 107-98,15:21,   0pt 4rb 2as 1bl 0-7fg
SG,"Hezonja, Mario",7.5,$10,ORLANDO MAGIC,@ ind, 104-117,4:24,   5pt 1bl 1trey 1-2fg 2-2ft
SG,"Wilcox, C.J.",5.5,$10,ORLANDO MAGIC,@ ind, 104-117,4:24,   4pt 1as 2-3fg
SG,"Johnson, Stanley",5.1,$10,DETROIT PISTONS,@ mia, 107-98,12:46,   0pt 3rb 1as 0-1fg
PG,"Napier, Shabazz",4.2,$10,PORTLAND TRAIL BLAZERS,@ min, 95-89,8:46,   3pt 1rb 1as 2to 1trey 1-2fg
PG,"Clarkson, Jordan",3.7,$15,LOS ANGELES LAKERS,v tor, 114-123,17:16,   2pt 1rb 1as 1to 1-5fg 0-1ft
SG,"Anderson, Kyle",1.7,$10,SAN ANTONIO SPURS,@ atl, 112-114,7:48,   0pt 1rb 1as 1to
PG,"Jones, Tyus",0,$10,MINNESOTA TIMBERWOLVES,v por, 89-95,00:04,   0pt
SG,"Young, Joseph",0,$10,INDIANA PACERS,v orl, 117-104,2:55,   0pt
