position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Antetokounmpo, Giannis^",52.9,$50,MILWAUKEE BUCKS,v ind, 125-107,33:58,   27pt 7rb 9as 2st 2bl 4to 11-18fg 5-7ft
PG,"Westbrook, Russell^",43.2,$56,OKLAHOMA CITY THUNDER,@ gsw, 96-122,28:52,   20pt 6rb 10as 1st 2bl 6to 2trey 4-15fg 10-14ft
SG,"Bradley, Avery^",41,$24,BOSTON CELTICS,@ cle, 122-128,38:52,   26pt 10rb 2as 1st 3to 2trey 11-20fg 2-2ft
PG,"Thomas, Isaiah^",39.6,$43,BOSTON CELTICS,@ cle, 122-128,33:35,   30pt 3rb 6as 3to 8-19fg 14-14ft
PG,"Curry, Stephen^",38.7,$53,GOLDEN STATE WARRIORS,v okc, 122-96,30:03,   21pt 1rb 7as 2st 1bl 1to 2trey 6-14fg 7-8ft
PG,"Irving, Kyrie^",35.3,$35,CLEVELAND CAVALIERS,v bos, 128-122,34:01,   23pt 4rb 6as 3to 3trey 9-18fg 2-3ft
PG,"Teague, Jeff^",32.3,$28,INDIANA PACERS,@ mil, 107-125,29:54,   16pt 4rb 6as 3st 4to 1trey 4-11fg 7-8ft
SG,"Thompson, Klay^",30.9,$37,GOLDEN STATE WARRIORS,v okc, 122-96,32:58,   18pt 2rb 3as 2st 1bl 2to 4trey 7-15fg
PG,"Nelson, Jameer",30.9,$10,DENVER NUGGETS,@ min, 102-99,33:40,   14pt 7rb 7as 1st 5to 2trey 5-10fg 2-2ft
SG,"Brogdon, Malcolm",30.9,$10,MILWAUKEE BUCKS,v ind, 125-107,24:13,   12pt 2rb 5as 3st 1bl 2trey 3-5fg 4-4ft
SG,"Fournier, Evan^",30.2,$22,ORLANDO MAGIC,v sac, 102-94,35:58,   29pt 1rb 1as 3to 3trey 10-15fg 6-7ft
SG,"Ellis, Monta^",29.6,$25,INDIANA PACERS,@ mil, 107-125,33:39,   6pt 3rb 10as 3st 1to 2-4fg 2-2ft
PG,"Mudiay, Emmanuel^",27.7,$26,DENVER NUGGETS,@ min, 102-99,32:53,   12pt 6rb 3as 5st 6to 4-18fg 4-4ft
SG,"LaVine, Zach^",27.5,$25,MINNESOTA TIMBERWOLVES,v den, 99-102,35:40,   14pt 5rb 3as 1st 2trey 4-13fg 4-6ft
SG,"Oladipo, Victor^",26.6,$34,OKLAHOMA CITY THUNDER,@ gsw, 96-122,30:00,   21pt 3rb 4trey 8-13fg 1-4ft
PG,"Lawson, Ty^",25.4,$19,SACRAMENTO KINGS,@ orl, 94-102,35:07,   11pt 7rb 5as 2to 1trey 5-9fg 0-2ft
PG,"Payton, Elfrid^",25.1,$23,ORLANDO MAGIC,v sac, 102-94,33:35,   6pt 3rb 11as 1to 3-13fg 0-1ft
PG,"Dunn, Kris^",24.5,$15,MINNESOTA TIMBERWOLVES,v den, 99-102,29:52,   3pt 5rb 9as 3st 4to 1-6fg 1-2ft
PG,"Smart, Marcus",22.9,$17,BOSTON CELTICS,@ cle, 122-128,28:15,   14pt 2rb 2as 1bl 3trey 5-9fg 1-2ft
SG,"Shumpert, Iman",22.6,$11,CLEVELAND CAVALIERS,v bos, 128-122,25:48,   15pt 3rb 2as 2trey 3-7fg 7-8ft
SG,"McLemore, Ben",17.8,$10,SACRAMENTO KINGS,@ orl, 94-102,27:46,   11pt 4rb 1as 1st 2to 1trey 5-7fg
SG,"Smith, J.R.^",17.4,$17,CLEVELAND CAVALIERS,v bos, 128-122,35:17,   3pt 2rb 1as 3st 2bl 1trey 1-5fg
PG,"Christon, Semaj",15.1,$10,OKLAHOMA CITY THUNDER,@ gsw, 96-122,19:08,   4pt 3rb 3as 2st 1to 2-6fg
PG,"Brooks, Aaron",14.5,$10,INDIANA PACERS,@ mil, 107-125,14:02,   8pt 5as 1st 4to 2trey 3-4fg
PG,"Augustin, D.J.",13.5,$10,ORLANDO MAGIC,v sac, 102-94,14:25,   8pt 5as 3to 2trey 3-8fg
PG,"Rozier, Terry",12.9,$11,BOSTON CELTICS,@ cle, 122-128,15:58,   7pt 2rb 2as 1trey 3-5fg
SG,"Clark, Ian",12.1,$10,GOLDEN STATE WARRIORS,v okc, 122-96,19:03,   8pt 3rb 1trey 3-5fg 1-1ft
SG,"Abrines, Alex",10.6,$10,OKLAHOMA CITY THUNDER,@ gsw, 96-122,19:20,   5pt 3rb 1as 1trey 1-6fg 2-2ft
