position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
NA,"Paul, Chris^",40.6,N/A,HOUSTON ROCKETS,v , 144-,25:47,   11pt 3rb 12as 4st 4to 3trey 4-9fg 0-1ft
NA,"Ariza, Trevor^",36,N/A,HOUSTON ROCKETS,v , 144-,24:02,   18pt 10rb 2as 1st 4trey 6-14fg 2-2ft
NA,"Harden, James^",35.6,N/A,HOUSTON ROCKETS,v , 144-,26:29,   9pt 3rb 10as 1st 2bl 1to 1trey 4-11fg
NA,"McCollum, C.J.^",34.4,N/A,PORTLAND TRAIL BLAZERS,v tor, 106-101,22:09,   15pt 2rb 4as 3st 1bl 1to 4trey 5-11fg 1-1ft
NA,"Whiteside, Hassan^",33.8,N/A,MIAMI HEAT,@ bkn, 88-107,17:36,   19pt 9rb 2bl 2to 8-12fg 3-4ft
NA,"Johnson, Tyler",33.8,N/A,MIAMI HEAT,@ bkn, 88-107,23:04,   21pt 9rb 1bl 1to 1trey 6-13fg 8-8ft
NA,"Lowry, Kyle^",33.6,N/A,TORONTO RAPTORS,@ por, 101-106,25:18,   23pt 3rb 6as 1st 5to 2trey 5-11fg 11-14ft
NA,"McKinnie, Alfonzo",33.6,N/A,TORONTO RAPTORS,@ por, 101-106,24:14,   13pt 8rb 4st 1to 3trey 5-7fg
NA,"Capela, Clint^",32.2,N/A,HOUSTON ROCKETS,v , 144-,19:02,   16pt 11rb 1st 7-10fg 2-4ft
NA,"Lillard, Damian^",31,N/A,PORTLAND TRAIL BLAZERS,v tor, 106-101,26:10,   16pt 5rb 8as 3to 2trey 5-14fg 4-4ft
NA,"Hollis-Jefferson, Rondae^",30.8,N/A,BROOKLYN NETS,v mia, 107-88,24:08,   10pt 9rb 4as 2st 2to 5-9fg
NA,"Butler, Jimmy^",30,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,26:14,   16pt 5rb 4as 1st 1to 4-6fg 8-9ft
NA,"Towns, Karl-Anthony^",29.1,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,26:14,   16pt 8rb 3as 1to 2trey 5-15fg 4-4ft
NA,"Green, Draymond^",28.2,N/A,GOLDEN STATE WARRIORS,v min, 97-111,23:58,   5pt 6rb 8as 2bl 2to 1trey 2-4fg
NA,"Gordon, Aaron^",28,N/A,ORLANDO MAGIC,v dal, 112-89,20:16,   17pt 10rb 1to 1trey 6-12fg 4-5ft
NA,"Curry, Stephen^",27.2,N/A,GOLDEN STATE WARRIORS,v min, 97-111,23:58,   14pt 6rb 4as 1bl 3to 3trey 5-9fg 1-2ft
NA,"Durant, Kevin^",26.4,N/A,GOLDEN STATE WARRIORS,v min, 97-111,25:23,   20pt 2rb 2as 1bl 2to 2trey 8-13fg 2-2ft
NA,"Nurkic, Jusuf^",26.2,N/A,PORTLAND TRAIL BLAZERS,v tor, 106-101,17:46,   12pt 6rb 1st 2bl 2to 5-14fg 2-2ft
NA,"Pachulia, Zaza^",25.2,N/A,GOLDEN STATE WARRIORS,v min, 97-111,18:36,   10pt 6rb 4as 1bl 1to 5-8fg
NA,"Dieng, Gorgui",24.5,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,21:46,   9pt 10rb 1as 1bl 1to 1trey 3-6fg 2-2ft
NA,"Gordon, Eric",23.5,N/A,HOUSTON ROCKETS,v , 144-,18:58,   17pt 3as 1bl 1to 5trey 5-8fg 2-2ft
NA,"Olynyk, Kelly",23,N/A,MIAMI HEAT,@ bkn, 88-107,24:46,   7pt 5rb 2st 2bl 2to 1trey 3-9fg 0-1ft
NA,"Withey, Jeff",22.6,N/A,DALLAS MAVERICKS,@ orl, 89-112,19:09,   11pt 8rb 1st 1to 3trey 4-7fg
NA,"Kilpatrick, Sean",22.4,N/A,BROOKLYN NETS,v mia, 107-88,18:13,   14pt 7rb 1trey 4-8fg 5-5ft
NA,"Jones, Tyus",22.4,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,19:39,   10pt 2rb 6as 1st 2to 1trey 3-5fg 3-3ft
NA,"Powell, Norman^",22.2,N/A,TORONTO RAPTORS,@ por, 101-106,25:20,   15pt 1rb 2as 1st 3trey 4-14fg 4-5ft
NA,"Gibson, Taj^",21.9,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,27:38,   13pt 7rb 1as 1to 1trey 5-11fg 2-3ft
NA,"Wiggins, Andrew^",21.6,N/A,MINNESOTA TIMBERWOLVES,@ gsw, 111-97,25:05,   14pt 3rb 2as 1st 2to 2trey 5-11fg 2-2ft
NA,"Mbah a Moute, Luc",21.4,N/A,HOUSTON ROCKETS,v , 144-,16:13,   12pt 2rb 2as 2st 2to 2trey 5-6fg
NA,"Ferrell, Yogi",21.3,N/A,DALLAS MAVERICKS,@ orl, 89-112,14:43,   12pt 4rb 3as 2trey 4-9fg 2-2ft
NA,"Clavell, Gian",21.2,N/A,DALLAS MAVERICKS,@ orl, 89-112,30:20,   9pt 6rb 2st 1to 1trey 2-11fg 4-7ft
NA,"Booker, Trevor",21.1,N/A,BROOKLYN NETS,v mia, 107-88,16:58,   4pt 8rb 3as 1st 1bl 3to 2-4fg
NA,"Hilario, Nene",21,N/A,HOUSTON ROCKETS,v , 144-,10:28,   10pt 5rb 2bl 1to 5-5fg
NA,"Ross, Terrence^",20.6,N/A,ORLANDO MAGIC,v dal, 112-89,15:16,   2pt 3rb 4as 2st 1bl 1-1fg
NA,"Lin, Jeremy^",20.6,N/A,BROOKLYN NETS,v mia, 107-88,24:29,   16pt 3rb 4as 5to 2trey 5-7fg 4-5ft
NA,"Powell, Dwight^",20.2,N/A,DALLAS MAVERICKS,@ orl, 89-112,24:11,   11pt 6rb 1st 1to 2trey 3-7fg 3-4ft
NA,"Swanigan, Caleb",20.1,N/A,PORTLAND TRAIL BLAZERS,v tor, 106-101,17:57,   6pt 8rb 3as 1st 3to 2-5fg 2-2ft
