position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",61.7,$51,HOUSTON ROCKETS,v okc, 113-109,38:48,   41pt 6rb 7as 2st 1bl 6to 5trey 15-35fg 6-7ft
PG,"Irving, Kyrie^",57.5,$38,BOSTON CELTICS,v phi, 121-114,39:33,   40pt 10rb 3as 1st 2to 5trey 17-33fg 1-1ft
PG,"Westbrook, Russell^",54.3,$48,OKLAHOMA CITY THUNDER,@ hou, 109-113,37:55,   21pt 9rb 9as 4st 1bl 6to 2trey 6-20fg 7-10ft
SG,"Brogdon, Malcolm^",37.2,$17,MILWAUKEE BUCKS,@ nyk, 109-95,26:49,   17pt 6rb 4as 3st 2to 1trey 7-14fg 2-2ft
PG,"Rondo, Rajon",36,$18,LOS ANGELES LAKERS,@ gsw, 127-101,23:00,   15pt 5rb 10as 1trey 6-11fg 2-2ft
PG,"Simmons, Ben^",35.8,$39,PHILADELPHIA 76ERS,@ bos, 114-121,37:58,   11pt 14rb 8as 4to 4-9fg 3-7ft
PG,"Iguodala, Andre",35,$10,GOLDEN STATE WARRIORS,v lal, 101-127,26:55,   23pt 5rb 4as 3trey 9-12fg 2-2ft
PG,"Lillard, Damian^",34,$37,PORTLAND TRAIL BLAZERS,@ uta, 96-117,34:18,   20pt 5rb 4as 1bl 1to 2trey 9-21fg
PG,"Rubio, Ricky^",31.6,$17,UTAH JAZZ,v por, 117-96,30:52,   14pt 3rb 6as 2st 1bl 4to 2trey 5-11fg 2-3ft
SG,"Hardaway Jr., Tim^",31.5,$22,NEW YORK KNICKS,v mil, 95-109,33:15,   14pt 10rb 3as 1st 2to 1trey 4-18fg 5-6ft
SG,"Gordon, Eric^",31.2,$13,HOUSTON ROCKETS,v okc, 113-109,39:23,   17pt 6rb 4as 1st 1bl 5to 3trey 7-18fg
PG,"Schroder, Dennis",30,$17,OKLAHOMA CITY THUNDER,@ hou, 109-113,34:25,   10pt 5rb 6as 1st 1bl 1to 5-11fg
PG,"Bledsoe, Eric^",26.7,$25,MILWAUKEE BUCKS,@ nyk, 109-95,28:39,   11pt 6rb 5as 1st 2to 4-8fg 3-4ft
PG,"Curry, Stephen^",25.7,$41,GOLDEN STATE WARRIORS,v lal, 101-127,36:48,   15pt 1rb 5as 1st 1to 2trey 5-17fg 3-3ft
SG,"Redick, J.J.^",25.6,$15,PHILADELPHIA 76ERS,@ bos, 114-121,38:54,   17pt 3rb 1st 1bl 1to 4trey 5-16fg 3-5ft
SG,"Mitchell, Donovan^",25.4,$27,UTAH JAZZ,v por, 117-96,31:09,   19pt 2rb 2as 1st 2to 2trey 8-18fg 1-4ft
PG,"McConnell, T.J.",24.7,$10,PHILADELPHIA 76ERS,@ bos, 114-121,23:53,   2pt 6rb 7as 1st 1bl 1to 1-2fg
PG,"Exum, Dante",22.4,$10,UTAH JAZZ,v por, 117-96,17:08,   15pt 2rb 4as 1to 1trey 7-9fg
SG,"McCollum, C.J.^",21.1,$23,PORTLAND TRAIL BLAZERS,@ uta, 96-117,33:44,   11pt 3rb 3as 1st 1bl 4to 1trey 4-14fg 2-4ft
SG,"Korver, Kyle",20.6,$10,UTAH JAZZ,v por, 117-96,21:01,   10pt 3rb 2st 1bl 2to 2trey 4-6fg
PG,"Mudiay, Emmanuel^",20.1,$19,NEW YORK KNICKS,v mil, 95-109,33:32,   11pt 3rb 5as 1st 5to 1trey 5-14fg
PG,"Rozier, Terry",17.5,$14,BOSTON CELTICS,v phi, 121-114,19:40,   10pt 5rb 1as 2trey 3-6fg 2-2ft
SG,"Ingram, Brandon^",17.4,$18,LOS ANGELES LAKERS,@ gsw, 127-101,24:09,   14pt 2rb 2as 2to 1trey 4-9fg 5-6ft
SG,"Smart, Marcus^",17.3,$18,BOSTON CELTICS,v phi, 121-114,29:36,   6pt 4rb 3as 1st 1to 2trey 2-8fg
SG,"Brown, Jaylen",16.6,$12,BOSTON CELTICS,v phi, 121-114,20:16,   4pt 3rb 2as 1st 1bl 2-7fg
SG,"Hart, Josh",16.2,$10,LOS ANGELES LAKERS,@ gsw, 127-101,28:58,   12pt 1rb 1st 1bl 3to 2trey 4-9fg 2-2ft
PG,"Hill, George",14.6,$10,MILWAUKEE BUCKS,@ nyk, 109-95,27:33,   5pt 3rb 4as 1trey 2-4fg
PG,"Ball, Lonzo^",13.6,$22,LOS ANGELES LAKERS,@ gsw, 127-101,24:11,   6pt 3rb 4as 2to 1trey 2-6fg 1-2ft
SG,"Curry, Seth",13,$10,PORTLAND TRAIL BLAZERS,@ uta, 96-117,14:34,   8pt 2as 1st 1to 2trey 3-4fg
SG,"Stephenson, Lance",12.2,$10,LOS ANGELES LAKERS,@ gsw, 127-101,11:29,   11pt 1rb 3trey 4-6fg
SG,"Ferguson, Terrance^",12.2,$10,OKLAHOMA CITY THUNDER,@ hou, 109-113,23:59,   8pt 1rb 1bl 2trey 3-9fg
SG,"Thompson, Klay^",11.1,$27,GOLDEN STATE WARRIORS,v lal, 101-127,33:09,   5pt 3rb 3as 2to 1trey 2-7fg
SG,"Shamet, Landry",10.7,$10,PHILADELPHIA 76ERS,@ bos, 114-121,14:06,   5pt 1rb 1as 1st 1trey 2-4fg
SG,"Dotson, Damyean",10.3,$10,NEW YORK KNICKS,v mil, 95-109,19:07,   2pt 4rb 3as 1to 1-2fg
PG,"Burke, Trey",9.8,$10,NEW YORK KNICKS,v mil, 95-109,14:28,   2pt 4rb 2as 1-7fg
SG,"Brown, Sterling",9.6,$10,MILWAUKEE BUCKS,@ nyk, 109-95,14:24,   3pt 3rb 2as 1trey 1-5fg
SG,"Trier, Allonzo",9.4,$10,NEW YORK KNICKS,v mil, 95-109,17:50,   8pt 2rb 1to 4-10fg 0-2ft
SG,"Livingston, Shaun",8.6,$10,GOLDEN STATE WARRIORS,v lal, 101-127,15:19,   7pt 3rb 2to 3-6fg 1-2ft
SG,"Thomas, Lance",7.8,$10,NEW YORK KNICKS,v mil, 95-109,12:17,   2pt 4rb 1st 2to 1-3fg
SG,"Snell, Tony",6.9,$10,MILWAUKEE BUCKS,@ nyk, 109-95,14:25,   0pt 2rb 1as 1bl 0-3fg
SG,"Mykhailiuk, Sviatoslav",6,$10,LOS ANGELES LAKERS,@ gsw, 127-101,1:50,   6pt 2trey 2-2fg
