position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PF,"Bolden, Jonah^",13.9,$11,PHILADELPHIA 76ERS,@ dal, 102-122,29:58,   2pt 7rb 1as 1bl 1to 1-6fg
SF,"Stauskas, Nik",13.7,$10,CLEVELAND CAVALIERS,@ pho, 113-122,17:10,   9pt 1rb 1as 1bl 1to 3trey 3-8fg
PF,"Siakam, Pascal^",13.6,$33,TORONTO RAPTORS,v orl, 121-109,27:43,   6pt 3rb 4as 2to 1trey 2-9fg 1-2ft
PF,"Chriss, Marquese",13.4,$10,CLEVELAND CAVALIERS,@ pho, 113-122,9:30,   6pt 7rb 1to 3-5fg
PF,"Thomas, Lance",13.3,$10,NEW YORK KNICKS,v chi, 113-105,31:31,   6pt 4rb 1as 1bl 2to 3-6fg
SF,"Broekhoff, Ryan",13,$10,DALLAS MAVERICKS,v phi, 122-102,16:22,   7pt 5rb 3-8fg 1-2ft
PF,"Nowitzki, Dirk^",13,$10,DALLAS MAVERICKS,v phi, 122-102,17:23,   7pt 5rb 1trey 3-10fg
PF,"Layman, Jake",12.2,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,13:59,   11pt 1rb 1trey 3-6fg 4-6ft
SF,"O'Neale, Royce",11.7,$10,UTAH JAZZ,v cha, 111-102,22:46,   9pt 1rb 1as 1trey 4-6fg
SF,"Nwaba, David",11.3,$10,CLEVELAND CAVALIERS,@ pho, 113-122,15:40,   2pt 4rb 1as 1bl 1-4fg
SF,"Dudley, Jared",10.9,$10,BROOKLYN NETS,v mil, 121-131,21:35,   2pt 2rb 1as 2st 1to 1-6fg
SF,"Powell, Norman",10.7,$10,TORONTO RAPTORS,v orl, 121-109,16:49,   7pt 1rb 1as 1st 2to 1trey 3-6fg
PF,"Osman, Cedi^",10.5,$19,CLEVELAND CAVALIERS,@ pho, 113-122,32:37,   3pt 3as 1st 1-12fg 1-1ft
SF,"Brown, Bruce^",10.4,$10,DETROIT PISTONS,@ ind, 102-111,19:28,   0pt 2rb 2as 2st 1to 0-1fg
PF,"Kurucs, Rodions^",9.8,$10,BROOKLYN NETS,v mil, 121-131,16:40,   4pt 4rb 1st 2to 1trey 1-5fg 1-2ft
SF,"Robinson III, Glenn",9.7,$10,DETROIT PISTONS,@ ind, 102-111,13:11,   7pt 1rb 1as 1trey 2-4fg 2-2ft
PF,"Niang, Georges",9,$10,UTAH JAZZ,v cha, 111-102,9:20,   4pt 5rb 1to 1-6fg 2-2ft
SF,"Bates-Diop, Keita",8.2,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,13:03,   7pt 1rb 2trey 2-4fg 1-2ft
SF,"Bridges, Miles^",7,$17,CHARLOTTE HORNETS,@ uta, 102-111,26:20,   0pt 5rb 1st 2to 0-5fg
PF,"Tolliver, Anthony",6.2,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,19:36,   6pt 1rb 1to 2trey 2-7fg
PF,"Martin, Jarell",6.2,$10,ORLANDO MAGIC,@ tor, 109-121,5:45,   5pt 1rb 1trey 1-3fg 2-2ft
PF,"Jones, Derrick^",5.4,$10,MIAMI HEAT,@ bos, 105-110,17:26,   1pt 2rb 1bl 1to 0-1fg 1-2ft
PF,"Anderson, Ryan",4.8,$10,MIAMI HEAT,@ bos, 105-110,6:09,   0pt 4rb 0-1fg
