position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",58.2,$60,HOUSTON ROCKETS,v uta, 100-93,38:42,   26pt 6rb 6as 3st 4bl 5to 3trey 10-26fg 3-5ft
SG,"Williams, Louis",47.8,$30,LOS ANGELES CLIPPERS,@ gsw, 129-121,34:29,   33pt 4rb 10as 5to 1trey 12-19fg 8-9ft
PG,"Rubio, Ricky^",41.9,$25,UTAH JAZZ,@ hou, 93-100,34:53,   17pt 2rb 11as 3st 3to 1trey 7-15fg 2-2ft
PG,"Beverley, Patrick^",41.8,$17,LOS ANGELES CLIPPERS,@ gsw, 129-121,36:46,   17pt 14rb 4as 1st 1to 5trey 6-13fg
PG,"Paul, Chris^",38.1,$33,HOUSTON ROCKETS,v uta, 100-93,37:01,   15pt 8rb 5as 3st 3to 1trey 6-16fg 2-2ft
PG,"Curry, Stephen^",33.6,$42,GOLDEN STATE WARRIORS,v lac, 121-129,38:05,   24pt 3rb 4as 1bl 3to 4trey 7-15fg 6-6ft
SG,"Gordon, Eric^",29.1,$15,HOUSTON ROCKETS,v uta, 100-93,39:30,   15pt 3rb 3as 2st 1bl 3to 4trey 5-13fg 1-2ft
SG,"Iguodala, Andre",28.8,$12,GOLDEN STATE WARRIORS,v lac, 121-129,27:14,   3pt 4rb 8as 2st 1bl 1trey 1-7fg
SG,"Thompson, Klay^",26.6,$25,GOLDEN STATE WARRIORS,v lac, 121-129,37:03,   22pt 3rb 2as 2to 4trey 9-20fg
SG,"Mitchell, Donovan^",18.7,$36,UTAH JAZZ,@ hou, 93-100,39:02,   12pt 6rb 1as 1st 5to 4-22fg 4-5ft
SG,"House, Danuel",13.8,$10,HOUSTON ROCKETS,v uta, 100-93,19:52,   7pt 4rb 1st 1to 2trey 2-3fg 1-2ft
PG,"Shamet, Landry^",13.1,$10,LOS ANGELES CLIPPERS,@ gsw, 129-121,36:50,   6pt 3rb 3as 1to 1trey 1-4fg 3-3ft
PG,"Gilgeous-Alexander, Shai^",13.1,$19,LOS ANGELES CLIPPERS,@ gsw, 129-121,19:19,   6pt 3rb 3as 1to 2-3fg 2-2ft
PG,"Livingston, Shaun",7.4,$10,GOLDEN STATE WARRIORS,v lac, 121-129,11:41,   2pt 2rb 2as 1-2fg
