position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Walker, Kemba^",49.8,$38,CHARLOTTE HORNETS,v tor, 113-78,28:50,   32pt 4rb 8as 2to 6trey 11-16fg 4-5ft
PG,"Antetokounmpo, Giannis^",39.8,$52,MILWAUKEE BUCKS,@ orl, 96-112,35:42,   17pt 14rb 5as 1st 4to 1trey 6-17fg 4-4ft
PG,"Conley, Mike^",39.6,$33,MEMPHIS GRIZZLIES,v sac, 107-91,34:01,   16pt 8rb 8as 2st 3to 2trey 6-13fg 2-2ft
SG,"Williams, Louis",39.3,$19,LOS ANGELES LAKERS,v ind, 108-96,29:32,   27pt 4rb 3as 1st 1bl 3to 4trey 7-15fg 9-10ft
PG,"Curry, Stephen^",39.2,$42,GOLDEN STATE WARRIORS,@ hou, 125-108,32:57,   24pt 1rb 7as 1st 1to 5trey 8-18fg 3-5ft
PG,"Payton, Elfrid^",37.8,$20,ORLANDO MAGIC,v mil, 112-96,37:29,   20pt 4rb 6as 3st 3to 2trey 6-11fg 6-6ft
SG,"Harden, James^",36.9,$62,HOUSTON ROCKETS,v gsw, 108-125,34:56,   17pt 7rb 11as 1st 7to 6-13fg 5-5ft
SG,"Bogdanovic, Bojan^",36.2,$13,BROOKLYN NETS,@ nor, 143-114,27:18,   23pt 6rb 2as 1st 1bl 2to 2trey 6-13fg 9-9ft
PG,"Schroder, Dennis^",35.6,$27,ATLANTA HAWKS,v chi, 102-93,26:32,   25pt 3rb 6as 1st 5to 2trey 11-14fg 1-1ft
PG,"Lillard, Damian^",35.5,$41,PORTLAND TRAIL BLAZERS,@ phi, 92-93,36:04,   30pt 5rb 1as 1st 5to 2trey 12-25fg 4-5ft
SG,"LeVert, Caris",34.5,$10,BROOKLYN NETS,@ nor, 143-114,24:57,   17pt 5rb 6as 1st 1bl 3to 3trey 6-6fg 2-2ft
PG,"Lowry, Kyle^",32.2,$44,TORONTO RAPTORS,@ cha, 78-113,34:23,   24pt 1rb 3as 1st 1to 3trey 7-18fg 7-7ft
PG,"Williams, Deron^",30.3,$21,DALLAS MAVERICKS,v uta, 107-112,35:08,   16pt 4rb 8as 3to 1trey 6-14fg 3-5ft
SG,"McCollum, C.J.^",29.8,$39,PORTLAND TRAIL BLAZERS,@ phi, 92-93,35:20,   16pt 4rb 4as 3st 4to 2trey 5-18fg 4-4ft
SG,"Temple, Garrett^",29.1,$10,SACRAMENTO KINGS,@ mem, 91-107,33:11,   14pt 3rb 3as 1st 2bl 2trey 5-9fg 2-3ft
SG,"Brogdon, Malcolm^",28.9,$18,MILWAUKEE BUCKS,@ orl, 96-112,35:18,   16pt 2rb 5as 1st 1to 4trey 6-11fg
PG,"Holiday, Jrue^",27.1,$30,NEW ORLEANS PELICANS,v bkn, 114-143,27:44,   12pt 3rb 8as 1st 3to 1trey 4-12fg 3-4ft
SG,"DeRozan, DeMar^",26.6,$42,TORONTO RAPTORS,@ cha, 78-113,30:33,   23pt 3rb 2as 4to 2trey 8-17fg 5-6ft
PG,"Lawson, Ty",26.3,$11,SACRAMENTO KINGS,@ mem, 91-107,22:42,   13pt 4rb 5as 1st 1to 4-10fg 5-7ft
PG,"Clarkson, Jordan",26,$12,LOS ANGELES LAKERS,v ind, 108-96,33:16,   12pt 5rb 3as 5st 7to 1trey 5-12fg 1-1ft
SG,"Batum, Nicolas^",24.3,$33,CHARLOTTE HORNETS,v tor, 113-78,31:03,   13pt 4rb 6as 1st 5to 1trey 4-11fg 4-5ft
SG,"Allen, Tony^",24,$14,MEMPHIS GRIZZLIES,v sac, 107-91,30:32,   13pt 10rb 1to 6-11fg 1-2ft
SG,"Johnson, Joe",24,$10,UTAH JAZZ,@ dal, 112-107,31:24,   15pt 5rb 1as 1bl 1to 1trey 7-11fg
