position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harden, James^",92.4,$58,HOUSTON ROCKETS,v mia, 121-118,43:52,   58pt 7rb 10as 4st 1bl 4to 8trey 16-32fg 18-18ft
PG,"Westbrook, Russell^",54.7,$55,OKLAHOMA CITY THUNDER,v phi, 104-108,37:32,   23pt 11rb 11as 1st 1bl 4to 1trey 8-24fg 6-9ft
PG,"Simmons, Ben^",51.1,$38,PHILADELPHIA 76ERS,@ okc, 108-104,41:05,   11pt 13rb 11as 2st 2bl 4to 5-9fg 1-4ft
PG,"Curry, Stephen^",48.6,$41,GOLDEN STATE WARRIORS,@ orl, 96-103,37:23,   33pt 8rb 6as 3to 5trey 12-33fg 4-4ft
PG,"Joseph, Cory",41,$10,INDIANA PACERS,v min, 122-115,29:20,   8pt 5rb 12as 1st 2bl 2trey 3-6fg
PG,"Dragic, Goran",37.5,$13,MIAMI HEAT,@ hou, 118-121,24:54,   21pt 5rb 5as 1st 3trey 5-12fg 8-8ft
SG,"Mitchell, Donovan^",37.1,$32,UTAH JAZZ,@ den, 111-104,35:40,   24pt 8rb 5as 4to 4trey 9-19fg 2-4ft
PG,"Winslow, Justise^",36.4,$20,MIAMI HEAT,@ hou, 118-121,31:06,   19pt 7rb 8as 3to 3trey 7-13fg 2-4ft
PG,"Collison, Darren^",33.9,$22,INDIANA PACERS,v min, 122-115,28:49,   8pt 7rb 9as 1st 1bl 2to 1-9fg 6-6ft
PG,"Smith Jr., Dennis^",32.4,$26,NEW YORK KNICKS,v cle, 118-125,28:55,   16pt 2rb 8as 1bl 1to 3trey 6-13fg 1-1ft
PG,"Murray, Jamal^",30.3,$24,DENVER NUGGETS,v uta, 104-111,32:01,   21pt 4rb 3as 4trey 8-16fg 1-4ft
PG,"Sexton, Collin^",30.1,$17,CLEVELAND CAVALIERS,@ nyk, 125-118,31:32,   22pt 3rb 3as 2trey 7-15fg 6-9ft
SG,"Korver, Kyle",29.6,$10,UTAH JAZZ,@ den, 111-104,22:10,   22pt 3rb 2as 1st 2to 6trey 8-15fg
SG,"Ross, Terrence",29.3,$16,ORLANDO MAGIC,v gsw, 103-96,26:39,   16pt 4rb 5as 1st 2to 4trey 5-14fg 2-2ft
PG,"Teague, Jeff^",28.7,$23,MINNESOTA TIMBERWOLVES,@ ind, 115-122,28:52,   13pt 6rb 5as 1st 1bl 5to 4-9fg 5-7ft
PG,"Clarkson, Jordan",27.9,$19,CLEVELAND CAVALIERS,@ nyk, 125-118,28:57,   22pt 2rb 1as 1st 1to 3trey 7-13fg 5-6ft
SG,"Trier, Allonzo",27.3,$11,NEW YORK KNICKS,v cle, 118-125,32:00,   22pt 4rb 1as 1to 2trey 8-15fg 4-5ft
PG,"Paul, Chris^",27.2,$37,HOUSTON ROCKETS,v mia, 121-118,34:06,   14pt 6rb 4as 1st 3to 1trey 4-12fg 5-5ft
PG,"Augustin, D.J.^",26.5,$12,ORLANDO MAGIC,v gsw, 103-96,26:59,   14pt 3as 1st 2bl 1to 2trey 6-11fg
