position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Dunn, Kris^",53.2,$23,CHICAGO BULLS,@ cha, 119-111,41:15,   20pt 6rb 12as 3st 1to 8-24fg 4-6ft
SG,"Oladipo, Victor^",50.1,$43,INDIANA PACERS,v cle, 106-102,36:15,   33pt 8rb 5as 1st 3to 6trey 11-24fg 5-10ft
SG,"Barton, Will^",49.7,$26,DENVER NUGGETS,@ orl, 103-89,43:23,   19pt 6rb 5as 4st 2bl 2to 1trey 8-16fg 2-3ft
PG,"Bledsoe, Eric^",48.8,$32,MILWAUKEE BUCKS,v dal, 109-102,35:09,   24pt 4rb 4as 3st 2bl 1to 1trey 6-17fg 11-12ft
SG,"DeRozan, DeMar^",42.4,$35,TORONTO RAPTORS,@ mem, 116-107,35:59,   26pt 7rb 6as 1st 4to 6-15fg 14-14ft
PG,"Irving, Kyrie^",40.7,$44,BOSTON CELTICS,@ sas, 102-105,36:07,   36pt 1rb 1as 1st 1to 6trey 13-21fg 4-4ft
SG,"Holiday, Justin^",40.6,$20,CHICAGO BULLS,@ cha, 119-111,38:50,   17pt 8rb 2as 2st 2bl 1to 1trey 6-15fg 4-4ft
PG,"Lowry, Kyle^",40.2,$39,TORONTO RAPTORS,@ mem, 116-107,36:47,   16pt 6rb 8as 2st 1to 4trey 5-14fg 2-2ft
SG,"Evans, Tyreke^",37.6,$30,MEMPHIS GRIZZLIES,v tor, 107-116,27:24,   27pt 3rb 4as 1st 2to 3trey 10-19fg 4-4ft
PG,"Mudiay, Emmanuel",35.5,$10,DENVER NUGGETS,@ orl, 103-89,31:22,   18pt 5rb 5as 2st 2to 2trey 8-16fg
SG,"Batum, Nicolas^",35.2,$21,CHARLOTTE HORNETS,v chi, 111-119,42:17,   9pt 6rb 10as 1st 1bl 2to 1trey 4-14fg
SG,"Matthews, Wes^",33.3,$15,DALLAS MAVERICKS,@ mil, 102-109,37:41,   29pt 4rb 1as 2to 5trey 11-15fg 2-2ft
SG,"Thompson, Klay^",33.3,$30,GOLDEN STATE WARRIORS,@ det, 102-98,35:43,   21pt 4rb 5as 1st 3to 2trey 8-18fg 3-3ft
SG,"Nwaba, David",33.2,$10,CHICAGO BULLS,@ cha, 119-111,32:02,   11pt 6rb 4as 3bl 5-7fg 1-2ft
PG,"Walker, Kemba^",30.7,$38,CHARLOTTE HORNETS,v chi, 111-119,42:17,   20pt 1rb 5as 1st 1to 3trey 5-16fg 7-7ft
PG,"Rozier, Terry",30.3,$10,BOSTON CELTICS,@ sas, 102-105,23:12,   13pt 4rb 1as 4st 1to 1trey 5-11fg 2-2ft
SG,"Bradley, Avery^",28.8,$17,DETROIT PISTONS,v gsw, 98-102,31:28,   25pt 4rb 1to 4trey 9-17fg 3-4ft
PG,"Brogdon, Malcolm",28.6,$16,MILWAUKEE BUCKS,v dal, 109-102,40:42,   14pt 3rb 6as 1st 1to 1trey 6-10fg 1-1ft
SG,"Holiday, Jrue^",26.5,$28,NEW ORLEANS PELICANS,v sac, 109-116,37:45,   14pt 5rb 5as 1bl 4to 1trey 6-12fg 1-1ft
PG,"Fox, De'Aaron^",26.2,$14,SACRAMENTO KINGS,@ nor, 116-109,36:27,   14pt 1rb 4as 2st 1to 1trey 5-14fg 3-4ft
SG,"Moore, E'Twaun^",24.8,$11,NEW ORLEANS PELICANS,v sac, 109-116,39:56,   8pt 4rb 2as 3st 4-10fg
PG,"Barea, Jose",24.8,$16,DALLAS MAVERICKS,@ mil, 102-109,28:58,   8pt 4rb 6as 2st 3to 2-8fg 4-6ft
SG,"Stephenson, Lance",24.4,$13,INDIANA PACERS,v cle, 106-102,22:01,   7pt 7rb 4as 1st 1trey 3-6fg
PG,"Harrison, Andrew^",24.3,$10,MEMPHIS GRIZZLIES,v tor, 107-116,29:16,   6pt 4rb 7as 1st 3-6fg
SG,"Brown, Jaylen^",24,$21,BOSTON CELTICS,@ sas, 102-105,30:41,   15pt 5rb 2as 1st 3to 1trey 7-10fg 0-2ft
PG,"Parker, Tony^",24,$11,SAN ANTONIO SPURS,v bos, 105-102,19:24,   11pt 5rb 4as 1st 2to 5-10fg 1-2ft
SG,"Smith, J.R.^",23,$10,CLEVELAND CAVALIERS,@ ind, 102-106,33:57,   15pt 5rb 1st 1to 5trey 5-12fg
SG,"Carter, Vince",22.8,$10,SACRAMENTO KINGS,@ nor, 116-109,32:17,   6pt 4rb 2as 1st 2bl 3-6fg
SG,"Clark, Ian^",22.1,$10,NEW ORLEANS PELICANS,v sac, 109-116,27:50,   15pt 3rb 3as 1to 2trey 6-8fg 1-1ft
PG,"Payton, Elfrid^",22,$27,ORLANDO MAGIC,v den, 89-103,31:01,   11pt 6as 1st 1to 2trey 3-10fg 3-4ft
PG,"VanVleet, Fred",21.7,$10,TORONTO RAPTORS,@ mem, 116-107,21:43,   12pt 1rb 3as 1st 1bl 2to 3trey 4-8fg 1-2ft
PG,"Mason III, Frank",21.5,$10,SACRAMENTO KINGS,@ nor, 116-109,25:31,   12pt 5rb 3as 1st 4to 1trey 4-10fg 3-4ft
PG,"Chalmers, Mario",20.5,$14,MEMPHIS GRIZZLIES,v tor, 107-116,26:02,   7pt 5rb 3as 2st 3to 1trey 2-4fg 2-2ft
SG,"Beasley, Malik",20.3,$10,DENVER NUGGETS,@ orl, 103-89,28:40,   12pt 4rb 3as 1to 2trey 5-9fg
PG,"Jackson, Reggie^",19.6,$22,DETROIT PISTONS,v gsw, 98-102,26:57,   16pt 3rb 2as 3to 2trey 7-16fg 0-2ft
SG,"Ginobili, Manu",19.3,$10,SAN ANTONIO SPURS,v bos, 105-102,24:28,   11pt 4rb 3as 1to 2trey 3-8fg 3-4ft
PG,"Calderon, Jose^",19.1,$10,CLEVELAND CAVALIERS,@ ind, 102-106,22:01,   9pt 3rb 3as 1st 1to 1trey 3-5fg 2-2ft
PG,"Joseph, Cory",18.8,$10,INDIANA PACERS,v cle, 106-102,22:28,   12pt 4rb 2as 1to 2trey 4-8fg 2-2ft
PG,"Mills, Patty",18.6,$12,SAN ANTONIO SPURS,v bos, 105-102,27:05,   8pt 3rb 4as 1st 2to 2-6fg 4-4ft
PG,"Smith, Ishmael",18.2,$10,DETROIT PISTONS,v gsw, 98-102,21:03,   6pt 1rb 4as 2st 1to 3-7fg
SG,"Galloway, Langston",18,$10,DETROIT PISTONS,v gsw, 98-102,14:05,   6pt 5rb 2as 1st 2trey 2-6fg
SG,"Hill, George^",17.9,$10,SACRAMENTO KINGS,@ nor, 116-109,18:27,   9pt 2rb 3as 1st 1to 1trey 4-8fg
SG,"Wade, Dwyane",17.2,$19,CLEVELAND CAVALIERS,@ ind, 102-106,25:34,   9pt 1rb 4as 1st 2to 1trey 4-6fg
SG,"Harris, Gary^",16.5,$21,DENVER NUGGETS,@ orl, 103-89,23:57,   12pt 5rb 1as 3to 5-11fg 2-2ft
SG,"Graham, Treveon",16.4,$10,CHARLOTTE HORNETS,v chi, 111-119,18:32,   12pt 2rb 2as 1to 2trey 4-7fg 2-2ft
PG,"Livingston, Shaun^",16.1,$13,GOLDEN STATE WARRIORS,@ det, 102-98,24:34,   10pt 3rb 1as 1bl 2to 4-7fg 2-4ft
SG,"McLemore, Ben",15.9,$10,MEMPHIS GRIZZLIES,v tor, 107-116,17:00,   10pt 2rb 1as 1st 1to 1trey 3-6fg 3-5ft
PG,"Collison, Darren^",15.5,$23,INDIANA PACERS,v cle, 106-102,21:30,   6pt 5rb 3as 1to 2trey 2-5fg
SG,"Harris, Devin",15.2,$10,DALLAS MAVERICKS,@ mil, 102-109,23:33,   7pt 1rb 2as 2st 2to 1trey 1-7fg 4-5ft
SG,"Liggins, DeAndre",14.5,$10,MILWAUKEE BUCKS,v dal, 109-102,19:00,   2pt 5rb 1as 2st 1to 1-2fg
SG,"Forbes, Bryn",13.7,$10,SAN ANTONIO SPURS,v bos, 105-102,34:49,   6pt 1rb 1as 2st 1to 2trey 2-3fg
PG,"Ferrell, Yogi^",13.4,$10,DALLAS MAVERICKS,@ mil, 102-109,22:41,   5pt 2rb 4as 1trey 2-4fg
