team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,29,80,4,30,22,26,9,19,14,12,5,14,20
BOSTON CELTICS,240,31,70,8,21,21,26,12,39,20,11,3,25,28
CLEVELAND CAVALIERS,240,37,86,3,17,15,20,15,26,16,7,1,13,19
CHARLOTTE BOBCATS,240,36,77,9,29,20,22,8,29,26,6,10,12,17
MEMPHIS GRIZZLIES,240,35,78,5,8,10,18,11,34,19,9,6,13,16
CHICAGO BULLS,240,31,75,2,13,13,14,6,32,16,4,2,13,19
PORTLAND TRAIL BLAZERS,240,38,83,7,26,15,21,14,35,17,5,6,19,29
DALLAS MAVERICKS,240,37,79,4,13,25,34,9,29,17,10,4,9,22
LOS ANGELES LAKERS,240,45,97,12,27,24,30,12,35,30,8,6,14,21
DENVER NUGGETS,240,54,99,14,24,12,21,7,36,36,8,4,12,24
ATLANTA HAWKS,240,39,86,8,34,11,13,10,26,26,7,1,17,22
GOLDEN STATE WARRIORS,240,43,80,6,19,19,24,11,33,28,12,3,16,17
INDIANA PACERS,240,34,74,7,16,11,15,7,28,22,7,6,17,22
HOUSTON ROCKETS,240,40,76,13,28,19,25,6,28,26,8,4,12,15
DETROIT PISTONS,240,38,94,4,13,21,30,19,36,17,6,4,12,23
MINNESOTA TIMBERWOLVES,240,41,91,6,20,26,33,14,36,25,7,3,10,19
MILWAUKEE BUCKS,240,40,89,5,20,19,25,16,29,24,3,6,9,22
NEW ORLEANS PELICANS,240,42,84,8,20,20,23,11,31,31,4,9,9,26
UTAH JAZZ,240,30,73,6,27,15,20,12,35,13,4,3,19,16
NEW YORK KNICKS,240,42,85,12,31,12,18,8,27,24,9,7,7,19
SACRAMENTO KINGS,240,30,72,5,19,22,37,9,30,14,9,2,17,23
TORONTO RAPTORS,240,34,73,10,21,21,28,6,31,21,9,6,12,29
