team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,265,35,91,4,14,29,36,12,36,17,11,3,15,27
INDIANA PACERS,265,39,79,9,22,22,28,6,42,24,7,7,20,33
NEW YORK KNICKS,240,36,77,9,18,20,26,4,29,27,5,9,8,19
LOS ANGELES LAKERS,240,38,90,5,18,13,21,15,36,18,6,4,13,26
CLEVELAND CAVALIERS,265,44,91,14,26,26,30,11,26,19,8,2,12,22
SAN ANTONIO SPURS,265,49,87,8,26,19,27,9,32,28,6,9,13,26
HOUSTON ROCKETS,240,34,79,7,32,16,24,8,29,19,8,2,9,22
UTAH JAZZ,240,44,92,11,33,10,17,22,35,23,5,10,12,18
MEMPHIS GRIZZLIES,240,31,80,3,19,22,30,14,27,18,9,3,21,29
WASHINGTON WIZARDS,240,40,80,5,17,22,31,10,32,25,11,5,13,24
