team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,38,80,5,10,14,21,11,33,18,8,7,13,20
CHICAGO BULLS,240,36,90,3,13,15,21,15,26,19,6,8,12,20
NEW YORK KNICKS,240,32,76,3,20,14,20,11,33,18,8,3,22,23
CLEVELAND CAVALIERS,240,34,78,9,20,14,26,14,30,28,10,2,18,21
MINNESOTA TIMBERWOLVES,240,34,77,9,21,28,33,11,38,20,10,12,15,12
DALLAS MAVERICKS,240,39,95,6,22,6,10,16,30,22,7,7,13,24
MIAMI HEAT,240,37,71,5,15,22,25,6,20,24,7,1,11,20
DETROIT PISTONS,240,36,72,7,22,19,25,14,29,19,5,6,17,24
PORTLAND TRAIL BLAZERS,240,34,83,8,21,17,20,12,31,25,5,4,12,15
GOLDEN STATE WARRIORS,240,41,79,11,20,8,14,5,25,33,10,3,11,18
MILWAUKEE BUCKS,240,39,91,14,29,13,17,10,33,26,8,8,10,17
HOUSTON ROCKETS,240,38,93,8,31,15,20,16,36,22,5,6,12,15
LOS ANGELES CLIPPERS,240,37,87,8,23,9,14,17,25,20,8,4,12,25
LOS ANGELES LAKERS,240,32,66,8,16,24,32,10,26,20,4,8,16,15
NEW ORLEANS HORNETS,240,35,75,1,7,20,21,8,24,16,11,8,17,24
OKLAHOMA CITY THUNDER,240,34,64,5,13,28,33,5,26,21,10,8,21,17
NEW JERSEY NETS,265,37,82,12,27,11,14,12,33,21,5,3,17,15
PHILADELPHIA 76ERS,265,35,79,5,14,15,19,7,30,21,10,2,13,20
DENVER NUGGETS,240,50,91,2,13,20,25,17,31,29,10,8,13,18
SACRAMENTO KINGS,240,34,78,9,20,16,22,12,23,19,7,4,16,24
ATLANTA HAWKS,240,35,80,6,17,7,10,6,28,17,8,8,16,17
SAN ANTONIO SPURS,240,42,82,11,23,10,15,9,35,29,10,3,17,16
TORONTO RAPTORS,290,43,96,10,28,15,19,9,33,23,6,10,16,30
UTAH JAZZ,290,39,90,4,18,24,36,9,39,16,9,5,18,21
CHARLOTTE BOBCATS,240,28,78,1,9,18,25,13,25,13,12,13,19,12
WASHINGTON WIZARDS,240,39,83,3,10,11,16,15,36,23,10,13,22,28
