team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,30,73,7,20,13,21,16,27,26,6,5,16,19
ATLANTA HAWKS,240,33,82,5,12,12,17,13,24,21,10,2,13,18
PHOENIX SUNS,240,33,77,12,23,25,33,7,26,20,7,7,10,24
BOSTON CELTICS,240,44,82,4,12,23,34,10,35,24,7,3,11,26
SAN ANTONIO SPURS,240,44,83,6,19,15,18,11,37,28,3,6,15,25
CLEVELAND CAVALIERS,240,36,91,6,13,21,28,16,27,19,8,2,9,21
CHARLOTTE BOBCATS,240,29,79,4,17,18,23,6,22,20,6,1,13,25
DENVER NUGGETS,240,45,74,8,21,22,27,5,44,34,8,5,16,19
MINNESOTA TIMBERWOLVES,240,40,76,7,16,29,37,8,39,28,6,5,16,20
DETROIT PISTONS,240,39,89,5,25,22,31,14,24,29,10,5,10,24
HOUSTON ROCKETS,240,38,91,13,31,14,19,9,30,29,4,2,7,19
LOS ANGELES CLIPPERS,240,41,85,2,9,22,27,12,39,29,4,6,11,16
NEW ORLEANS HORNETS,240,33,71,3,14,19,26,8,25,19,8,5,14,19
NEW YORK KNICKS,240,42,77,10,22,13,20,9,32,28,6,2,16,22
INDIANA PACERS,240,28,82,3,13,30,39,10,33,16,9,5,17,25
OKLAHOMA CITY THUNDER,240,38,79,9,20,28,34,9,37,26,13,9,16,31
PORTLAND TRAIL BLAZERS,240,40,87,6,13,21,25,14,24,24,11,4,10,20
SACRAMENTO KINGS,240,42,79,5,14,13,17,9,27,16,4,3,16,21
GOLDEN STATE WARRIORS,240,36,85,7,20,27,34,14,40,24,6,7,13,25
WASHINGTON WIZARDS,240,36,89,4,16,26,36,11,29,16,5,4,10,27
