team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,32,86,11,28,22,25,12,26,22,10,4,12,20
CLEVELAND CAVALIERS,240,41,85,11,29,16,19,11,40,27,4,8,14,22
WASHINGTON WIZARDS,240,38,78,7,19,14,20,9,33,22,10,0,11,19
DETROIT PISTONS,240,36,79,8,26,15,21,8,30,20,3,2,13,17
NEW YORK KNICKS,240,34,80,12,25,27,34,19,26,20,4,8,11,22
HOUSTON ROCKETS,240,35,81,12,28,20,28,16,26,18,6,4,12,26
MILWAUKEE BUCKS,240,34,79,5,17,13,19,13,30,19,9,5,23,19
INDIANA PACERS,240,47,91,15,30,14,23,11,31,28,15,5,14,13
PHILADELPHIA 76ERS,240,31,82,10,31,19,24,10,33,16,7,8,16,30
MIAMI HEAT,240,30,69,5,18,31,45,9,36,16,7,14,16,19
SACRAMENTO KINGS,240,31,81,7,20,28,31,10,37,23,11,5,14,16
ORLANDO MAGIC,240,38,92,9,31,6,8,15,35,27,8,7,17,26
MEMPHIS GRIZZLIES,240,32,74,1,9,17,17,7,28,19,13,2,16,23
SAN ANTONIO SPURS,240,34,72,7,21,17,22,7,33,20,7,6,17,20
