team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,41,90,12,33,22,22,11,34,29,9,7,14,14
BOSTON CELTICS,240,42,89,12,31,12,14,6,33,28,9,4,13,19
SAN ANTONIO SPURS,240,43,82,9,22,17,22,11,38,27,10,5,18,18
CLEVELAND CAVALIERS,240,31,79,8,29,20,27,10,25,16,14,1,17,16
CHARLOTTE HORNETS,240,38,88,10,31,18,23,8,36,23,5,3,5,13
DETROIT PISTONS,240,34,92,10,41,13,15,18,37,20,3,7,9,18
LOS ANGELES CLIPPERS,240,38,79,10,19,18,29,6,33,26,7,4,20,22
GOLDEN STATE WARRIORS,240,53,97,12,37,13,15,11,37,34,16,8,9,22
PHOENIX SUNS,240,43,93,11,34,16,21,8,34,26,8,0,13,18
HOUSTON ROCKETS,240,53,100,27,57,16,21,12,40,34,12,5,9,16
BROOKLYN NETS,240,40,88,11,36,17,22,17,35,23,7,4,15,13
INDIANA PACERS,240,41,85,10,27,4,7,5,28,27,6,3,13,18
UTAH JAZZ,240,38,84,13,42,20,28,10,25,25,11,4,11,17
LOS ANGELES LAKERS,240,46,89,7,25,14,21,16,33,28,5,5,16,21
DALLAS MAVERICKS,265,45,98,12,41,27,34,11,40,31,4,5,6,23
MEMPHIS GRIZZLIES,265,42,98,19,44,24,28,10,43,32,4,4,7,24
ATLANTA HAWKS,240,40,100,17,45,10,19,9,39,25,2,3,11,28
MILWAUKEE BUCKS,240,40,91,9,41,26,34,11,50,19,8,10,14,23
OKLAHOMA CITY THUNDER,240,48,92,14,34,22,26,14,32,27,6,4,13,30
MINNESOTA TIMBERWOLVES,240,46,85,10,23,24,29,6,26,29,9,5,13,24
WASHINGTON WIZARDS,240,43,103,10,34,14,18,21,29,24,12,4,8,16
NEW YORK KNICKS,240,41,80,17,34,14,19,7,36,24,5,9,15,14
DENVER NUGGETS,240,42,95,13,33,11,20,12,30,24,9,4,10,26
PORTLAND TRAIL BLAZERS,240,41,89,9,28,24,29,17,41,22,5,5,16,16
NEW ORLEANS PELICANS,240,52,101,19,42,10,12,14,41,28,4,11,15,16
SACRAMENTO KINGS,240,50,109,16,40,13,17,16,31,27,10,4,6,13
MIAMI HEAT,265,41,100,13,34,14,19,12,43,27,5,2,11,22
TORONTO RAPTORS,265,39,87,16,41,23,27,4,43,26,7,5,11,17
