team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,29,69,13,38,26,33,10,27,18,7,6,17,14
ATLANTA HAWKS,240,43,84,6,21,14,17,11,27,27,10,4,12,22
PHOENIX SUNS,265,39,91,3,26,27,35,12,39,19,13,2,15,24
BROOKLYN NETS,265,34,97,8,22,24,29,18,39,21,5,1,20,29
TORONTO RAPTORS,240,37,91,7,22,13,15,5,27,21,5,5,5,18
CHARLOTTE HORNETS,240,40,85,5,20,18,20,11,45,26,3,5,15,15
DALLAS MAVERICKS,240,32,87,6,20,19,26,3,31,17,15,1,11,20
GOLDEN STATE WARRIORS,240,38,81,11,23,17,19,9,42,28,5,11,22,21
DETROIT PISTONS,240,37,102,6,29,13,17,19,31,20,12,5,12,22
HOUSTON ROCKETS,240,38,91,6,28,21,25,13,42,23,6,6,19,16
CHICAGO BULLS,240,31,86,5,23,17,19,14,30,20,5,3,11,25
INDIANA PACERS,240,34,80,6,20,24,33,15,36,23,7,4,11,22
LOS ANGELES LAKERS,240,39,84,5,12,7,9,5,39,22,6,9,9,26
MEMPHIS GRIZZLIES,240,34,77,1,11,28,33,7,35,18,7,1,8,12
BOSTON CELTICS,240,36,79,10,23,22,25,7,30,19,8,1,11,17
NEW ORLEANS PELICANS,240,38,80,8,21,14,15,9,36,22,5,6,18,15
SACRAMENTO KINGS,240,38,85,10,27,28,38,19,24,18,6,6,14,16
ORLANDO MAGIC,240,48,85,13,24,10,12,8,29,29,10,5,10,24
UTAH JAZZ,240,27,71,6,12,29,41,12,37,17,9,5,18,20
PHILADELPHIA 76ERS,240,32,88,10,32,9,18,13,30,22,13,4,13,29
DENVER NUGGETS,240,45,86,6,17,15,23,8,30,21,7,3,13,26
SAN ANTONIO SPURS,240,43,79,9,24,25,33,3,33,24,8,8,9,20
MIAMI HEAT,240,37,79,10,27,13,19,8,29,18,5,2,14,19
WASHINGTON WIZARDS,240,38,82,7,23,16,18,10,33,24,6,4,15,21
