team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,265,37,81,5,15,23,25,8,35,23,7,5,16,25
ATLANTA HAWKS,265,39,90,3,13,25,30,14,33,21,10,3,12,23
NEW ORLEANS HORNETS,240,37,83,6,21,20,23,15,28,14,8,5,14,15
DALLAS MAVERICKS,240,45,87,4,15,14,17,12,31,31,9,3,13,20
DENVER NUGGETS,240,28,78,7,25,26,33,12,31,15,11,2,20,20
LOS ANGELES LAKERS,240,36,79,8,16,15,21,12,35,22,16,6,17,19
WASHINGTON WIZARDS,240,35,83,3,9,16,20,13,37,19,4,5,12,22
NEW JERSEY NETS,240,32,91,3,14,18,24,19,29,21,5,7,10,21
TORONTO RAPTORS,240,38,87,6,15,17,24,14,31,15,6,2,18,23
OKLAHOMA CITY THUNDER,240,43,83,6,12,27,33,7,31,23,12,7,12,25
MIAMI HEAT,240,30,77,6,16,14,18,11,27,17,1,4,13,22
ORLANDO MAGIC,240,32,70,7,24,25,30,8,29,15,5,7,7,19
LOS ANGELES CLIPPERS,240,31,83,5,20,25,31,11,38,14,4,5,15,18
SACRAMENTO KINGS,240,38,88,5,14,16,24,11,32,17,9,5,9,23
PHOENIX SUNS,240,43,84,8,15,16,23,10,29,23,7,9,12,20
SAN ANTONIO SPURS,240,43,85,4,14,23,28,10,31,23,6,4,11,16
