team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,40,93,10,33,37,47,15,37,24,9,8,15,22
ATLANTA HAWKS,240,45,101,12,38,17,19,16,35,29,6,6,14,38
BOSTON CELTICS,240,45,89,9,32,13,18,8,33,31,9,6,12,22
CHARLOTTE HORNETS,240,43,89,15,41,16,22,8,36,18,5,3,13,16
CLEVELAND CAVALIERS,240,35,79,8,21,24,34,11,25,16,8,3,9,22
DETROIT PISTONS,240,41,89,13,38,18,19,13,37,26,5,4,10,27
UTAH JAZZ,240,36,74,11,25,11,16,3,33,26,6,10,18,18
INDIANA PACERS,240,49,93,12,25,11,17,11,33,35,13,3,9,17
DALLAS MAVERICKS,240,30,88,10,32,18,21,7,36,17,8,4,9,19
MEMPHIS GRIZZLIES,240,37,79,12,30,12,14,5,40,29,8,11,15,21
DENVER NUGGETS,240,40,94,12,41,6,9,13,30,30,6,4,17,20
MILWAUKEE BUCKS,240,40,88,11,36,13,22,13,38,21,8,3,15,16
SAN ANTONIO SPURS,240,45,94,12,24,24,30,18,26,22,7,0,15,20
NEW ORLEANS PELICANS,240,59,102,10,26,12,14,14,28,34,10,5,10,23
PHOENIX SUNS,240,44,87,13,33,13,24,5,26,25,9,4,13,34
PHILADELPHIA 76ERS,240,41,84,6,22,31,42,13,40,24,8,1,19,27
OKLAHOMA CITY THUNDER,240,45,108,12,41,11,16,13,40,22,8,3,13,22
SACRAMENTO KINGS,240,45,102,16,38,11,17,14,45,29,7,4,15,18
